Fiscal_Year,Query_Run,Customer,SubCustomer,AnnualSubCustomerVendorRank,ContractorDisplayName,ParentID,JointVenture,SumOfobligatedAmount,SumOfnumberOfActions,WarningFlag
2005,59:34.8,State and IAP,USAID,0,073272692^!,73272692,NULL,6575256,1,1
2005,59:34.8,State and IAP,USAID,0,122190242^!,122190242,NULL,6575256,1,1
2005,59:34.8,State and IAP,USAID,35,DEVTECH SYSTEMS^,DEVTECH SYSTEMS,0,6403451,5,0
2005,59:34.8,State and IAP,State,0,360685051^!,360685051,NULL,6326641.76,33,1
2005,59:34.8,State and IAP,State,0,322707076^!,322707076,NULL,6288352.42,12,1
2005,59:34.8,State and IAP,State,58,Securitas AB,SECURITAS AB,0,6257307.96,7,0
2005,59:34.8,State and IAP,State,59,AMERICAN SYSTEMS^,AMERICAN SYSTEMS,0,6247734.9,51,0
2005,59:34.8,State and IAP,State,60,Mythics,MYTHICS,0,6198667.31,10,0
2005,59:34.8,State and IAP,State,0,122705259^!,122705259,NULL,6026833.53,50,1
2005,59:34.8,State and IAP,MILLENNIUM CHALLENGE CORPORATION,0,198236437^!,198236437,NULL,6000000,2,1
2005,59:34.8,State and IAP,State,0,088639765^!,88639765,NULL,6000000,2,1
2005,59:34.8,State and IAP,USAID,36,MACFADDEN & ASSOCIATES^,MACFADDEN & ASSOCIATES,0,5999800,5,0
2005,59:34.8,State and IAP,USAID,37,ACDI/VOCA^,ACDI/VOCA,0,5973332,3,0
2005,59:34.8,State and IAP,USAID,38,ICMA^,ICMA,0,5914437,4,0
2005,59:34.8,State and IAP,State,0,127459480^!,127459480,NULL,5910000,15,1
2005,59:34.8,State and IAP,State,0,556126928^!,556126928,NULL,5814316.32,12,1
2005,59:34.8,State and IAP,State,0,040767357^!,40767357,NULL,5781807.18,14,1
2005,59:34.8,State and IAP,USAID,39,EAST WEST MANAGEMENT INSTITUTE^,EAST WEST MANAGEMENT INSTITUTE,0,5750000,2,0
2005,59:34.8,State and IAP,USAID,40,DEVELOPMENT ASSOCIATES^,DEVELOPMENT ASSOCIATES,0,5712702,6,0
2005,59:34.8,State and IAP,USAID,0,092402064^!,92402064,NULL,5663809,3,1
2005,59:34.8,State and IAP,State,61,General Electric,GENERAL ELECTRIC,0,5662883.07,26,0
2005,59:34.8,State and IAP,State,0,690542048^!,690542048,NULL,5630366.3,1,1
2005,59:34.8,State and IAP,USAID,0,NULL,Unranked Vendor,NULL,5533779.28,365,1
2005,59:34.8,State and IAP,State,0,645056854^!,645056854,NULL,5500000,2,1
2005,59:34.8,State and IAP,USAID,41,AMS^,AMS,0,5332461,2,0
2005,59:34.8,State and IAP,USAID,0,929902690^!,929902690,NULL,5300618,1,1
2005,59:34.8,State and IAP,USAID,0,111093092^!,111093092,NULL,5299000,4,1
2005,59:34.8,State and IAP,State,62,MCNEIL TECHNOLOGIES^,MCNEIL TECHNOLOGIES,0,5294523.84,16,0
2005,59:34.8,State and IAP,State,63,LB & B ASSOCIATES^,LB & B ASSOCIATES,0,5267100,39,0
2005,59:34.8,State and IAP,USAID,42,PACT^,PACT,0,5192173,NULL,0
2005,59:34.8,State and IAP,State,0,877501676^!,877501676,NULL,5181589.98,4,1
2005,59:34.8,State and IAP,USAID,43,CASALS & ASSOCIATES^,CASALS & ASSOCIATES,0,5154000,4,0
2005,59:34.8,State and IAP,USAID,44,PAL TECH^,PAL TECH,0,5093487,2,0
2005,59:34.8,State and IAP,State,0,366834323^!,366834323,NULL,5078066.41,11,1
2005,59:34.8,State and IAP,State,64,Anteon,ANTEON [GENERAL DYNAMICS],0,5076950.24,5,0
2005,59:34.8,State and IAP,USAID,45,CGI,CGI GROUP,0,4987062.66,4,0
2005,59:34.8,State and IAP,State,0,950012166^!,950012166,NULL,4898310,1,1
2005,59:34.8,State and IAP,State,0,482891348^!,482891348,NULL,4807999,2,1
2005,59:34.8,State and IAP,State,0,175399245^!,175399245,NULL,4800000,4,1
2005,59:34.8,State and IAP,State,0,077310233^!,77310233,NULL,4629236.97,3,1
2005,59:34.8,State and IAP,USAID,0,239839699^!,239839699,NULL,4594040,1,1
2005,59:34.8,State and IAP,State,0,750075178^!,750075178,NULL,4586200,1,1
2005,59:34.8,State and IAP,State,0,621286939^!,621286939,NULL,4579200,2,1
2005,59:34.8,State and IAP,USAID,46,BARENTS GROUP^,BARENTS GROUP,0,4543650,6,0
2005,59:34.8,State and IAP,State,0,166654298^!,166654298,NULL,4500576,3,1
2005,59:34.8,State and IAP,State,0,422134882^!,422134882,NULL,4472723.51,2,1
2005,59:34.8,State and IAP,State,0,153634175^!,153634175,NULL,4442378.36,6,1
2005,59:34.8,State and IAP,State,0,880423806^!,880423806,NULL,4350000,10,1
2005,59:34.8,State and IAP,State,0,116841466^!,116841466,NULL,4338929.29,21,1
2005,59:34.8,State and IAP,USAID,47,SAIC,SAIC,0,4308265,5,0
2005,59:34.8,State and IAP,State,0,033324117^!,33324117,NULL,4254455.39,30,1
2005,59:34.8,State and IAP,State,0,615378007^!,615378007,NULL,4178704.01,29,1
2005,59:34.8,State and IAP,State,65,MAXIMUS^,MAXIMUS,0,4107166.57,10,0
2005,59:34.8,State and IAP,State,0,147586762^!,147586762,NULL,4046194.98,5,1
2005,59:34.8,State and IAP,USAID,48,FLORIDA INTERNATIONAL UNIVERSI^,FLORIDA INTERNATIONAL UNIVERSI,0,4045212,5,0
2005,59:34.8,State and IAP,USAID,49,Deloitte,DELOITTE,0,4000000,2,0
2005,59:34.8,State and IAP,USAID,0,059007500^!,59007500,NULL,4000000,2,1
2005,59:34.8,State and IAP,State,66,RAI^,RAI,0,3998405.58,43,0
2005,59:34.8,State and IAP,State,0,084581433^!,84581433,NULL,3979650,4,1
2005,59:34.8,State and IAP,USAID,0,133086418^!,133086418,NULL,3968569,6,1
2005,59:34.8,State and IAP,State,0,784371478^!,784371478,NULL,3926183.3,4,1
2005,59:34.8,State and IAP,State,0,366719305^!,366719305,NULL,3911563,1,1
2005,59:34.8,State and IAP,State,0,880175401^!,880175401,NULL,3904195.49,17,1
2005,59:34.8,State and IAP,State,0,633273094^!,633273094,NULL,3897973.05,3,1
2005,59:34.8,State and IAP,USAID,50,General Dynamics,GENERAL DYNAMICS,0,3874147,2,0
2005,59:34.8,State and IAP,State,0,534821298^!,534821298,NULL,3857812.86,3,1
2005,59:34.8,State and IAP,State,0,826504649^!,826504649,NULL,3852381.09,25,1
2005,59:34.8,State and IAP,State,0,957449812^!,957449812,NULL,3847267.35,31,1
2005,59:34.8,State and IAP,USAID,51,NEXANT^,NEXANT,0,3842977,10,0
2005,59:34.8,State and IAP,State,67,Exxon Mobil,EXXON MOBIL,0,3785318.1,16,0
2005,59:34.8,State and IAP,State,68,ITT,ITT,0,3612627.01,1,0
2005,59:34.8,State and IAP,State,69,MVM,MVM,0,3600000,1,0
2005,59:34.8,State and IAP,State,70,XEROX^,XEROX,0,3574489.63,110,0
2005,59:34.8,State and IAP,State,0,141090170^!,141090170,NULL,3460230.01,11,1
2005,59:34.8,State and IAP,State,0,120439869^!,120439869,NULL,3368893.7,33,1
2005,59:34.8,State and IAP,State,0,880239715^!,880239715,NULL,3350000,7,1
2005,59:34.8,State and IAP,State,0,964303945^!,964303945,NULL,3345034,9,1
2005,59:34.8,State and IAP,State,0,102388969^!,102388969,NULL,3333677.67,25,1
2005,59:34.8,State and IAP,State,0,787361302^!,787361302,NULL,3333152,6,1
2005,59:34.8,State and IAP,State,71,AVAYA^,AVAYA,0,3287904.35,11,0
2005,59:34.8,State and IAP,USAID,0,787361302^!,787361302,NULL,3248867,16,1
2005,59:34.8,State and IAP,State,0,126925267^!,126925267,NULL,3228886.07,2,1
2005,59:34.8,State and IAP,State,72,RGII TECHNOLOGIES^,RGII TECHNOLOGIES,0,3203083.51,38,0
2005,59:34.8,State and IAP,State,0,645343174^!,645343174,NULL,3195006.73,2,1
2005,59:34.8,State and IAP,State,0,106748192^!,106748192,NULL,3165524.81,10,1
2005,59:34.8,State and IAP,State,0,038792495^!,38792495,NULL,3130473,3,1
2005,59:34.8,State and IAP,State,0,132456521^!,132456521,NULL,3129600,5,1
2005,59:34.8,State and IAP,State,0,006437144^!,6437144,NULL,3125152.21,2,1
2005,59:34.8,State and IAP,State,0,025070918^!,25070918,NULL,3124891,3,1
2005,59:34.8,State and IAP,State,73,Dell,DELL,0,3124521.56,132,0
2005,59:34.8,State and IAP,State,0,051950293^!,51950293,NULL,3123030,5,1
2005,59:34.8,State and IAP,State,0,053607107^!,53607107,NULL,3089391,10,1
2005,59:34.8,State and IAP,State,74,MISSION ESSENTIAL PERSONNEL^,MISSION ESSENTIAL PERSONNEL,0,3064145.04,2,0
2005,59:34.8,State and IAP,State,0,114361843^!,114361843,NULL,3057000,5,1
2005,59:34.8,State and IAP,State,75,COMTEQ FEDERAL^,COMTEQ FEDERAL,0,3039279.61,378,0
2005,59:34.8,State and IAP,USAID,52,THE MITCHELL GROUP^,THE MITCHELL GROUP,0,3018023,6,0
2005,59:34.8,State and IAP,State,0,027007293^!,27007293,NULL,2988340.96,7,1
2005,59:34.8,State and IAP,State,0,101919660^!,101919660,NULL,2960963.21,14,1
2005,59:34.8,State and IAP,State,76,PAE GOVERNMENT SERVICESORP^,PAE GOVERNMENT SERVICESORP,0,2871873.12,4,0
2005,59:34.8,State and IAP,State,0,880392717^!,880392717,NULL,2838701.74,9,1
2005,59:34.8,State and IAP,State,0,165272696^!,165272696,NULL,2837000,2,1
2005,59:34.8,State and IAP,USAID,0,847494010^!,847494010,NULL,2819286,5,1
2005,59:34.8,State and IAP,State,0,827527953^!,827527953,NULL,2800173.22,1,1
2005,59:34.8,State and IAP,State,0,014454172^!,14454172,NULL,2749553.49,8,1
2005,59:34.8,State and IAP,State,77,HERMAN MILLER^,HERMAN MILLER,0,2705168.09,197,0
2005,59:34.8,State and IAP,State,0,130935922^!,130935922,NULL,2700000,2,1
2005,59:34.8,State and IAP,State,0,649502390^!,649502390,NULL,2673356.22,4,1
2005,59:34.8,State and IAP,USAID,0,611278102^!,611278102,NULL,2661754,1,1
2005,59:34.8,State and IAP,State,78,NATIONAL ACADEMY OF SCIENCES^,NATIONAL ACADEMY OF SCIENCES,0,2606304,7,0
2005,59:34.8,State and IAP,USAID,0,175399245^!,175399245,NULL,2581335,7,1
2005,59:34.8,State and IAP,State,0,063786032^!,63786032,NULL,2557313,17,1
2005,59:34.8,State and IAP,USAID,53,LOGICAL TECHNICAL SERVICES^,LOGICAL TECHNICAL SERVICES,0,2533114,7,0
2005,59:34.8,State and IAP,State,0,253678080^!,253678080,NULL,2514698.2,2,1
2005,59:34.8,State and IAP,State,0,645474789^!,645474789,NULL,2512441.72,1,1
2005,59:34.8,State and IAP,USAID,0,120140889^!,120140889,NULL,2500000,1,1
2005,59:34.8,State and IAP,USAID,54,PFSCM*,PARTNERSHIP FOR SUPPLY CHAIN MANAGEMENT,1,2500000,NULL,0
2005,59:34.8,State and IAP,State,0,824598650^!,824598650,NULL,2500000,1,1
2005,59:34.8,State and IAP,State,0,861233120^!,861233120,NULL,2457600,5,1
2005,59:34.8,State and IAP,MILLENNIUM CHALLENGE CORPORATION,0,958760654^!,958760654,NULL,2457595.64,7,1
2005,59:34.8,State and IAP,State,0,124375804^!,124375804,NULL,2450848.8,8,1
2005,59:34.8,State and IAP,USAID,55,JUAREZ & ASSOCIATES^,JUAREZ & ASSOCIATES,0,2433339,2,0
2005,59:34.8,State and IAP,State,0,101913770^!,101913770,NULL,2432586,13,1
2005,59:34.8,State and IAP,State,0,633272807^!,633272807,NULL,2381213,1,1
2005,59:34.8,State and IAP,State,0,057874737^!,57874737,NULL,2372987.81,29,1
2005,59:34.8,State and IAP,State,0,332430540^!,332430540,NULL,2356425.61,6,1
2005,59:34.8,State and IAP,State,0,660448614^!,660448614,NULL,2350780.77,4,1
2005,59:34.8,State and IAP,USAID,0,055990261^!,55990261,NULL,2341719,2,1
2005,59:34.8,State and IAP,USAID,56,STATE UNIVERSITY OF NEW YORK^,STATE UNIVERSITY OF NEW YORK,0,2329247,4,0
2005,59:34.8,State and IAP,State,0,095080441^!,95080441,NULL,2263127.4,4,1
2005,59:34.8,State and IAP,State,0,618432553^!,618432553,NULL,2254048.93,4,1
2005,59:34.8,State and IAP,USAID,57,DPK CONSULTING^,DPK CONSULTING,0,2235280,4,0
2005,59:34.8,State and IAP,State,79,Sprint,SPRINT,0,2231013.67,46,0
2005,59:34.8,State and IAP,State,80,Ch2M Hill,CH2M HILL,0,2221043,10,0
2005,59:34.8,State and IAP,USAID,0,040201563^!,40201563,NULL,2200000,2,1
2005,59:34.8,State and IAP,State,81,IMMIXGROUP,IMMIXGROUP,0,2196591.91,28,0
2005,59:34.8,State and IAP,State,82,Hewlett-Packard,HEWLETT PACKARD,0,2173648.09,64,0
2005,59:34.8,State and IAP,USAID,0,NULL,Unranked Vendor,0,2145979.11,137,0
2005,59:34.8,State and IAP,USAID,0,112951889^!,112951889,NULL,2118558,8,1
2005,59:34.8,State and IAP,USAID,0,Classified Domestic Contractor^,Classified Domestic Contractor,0,2105789,8,0
2005,59:34.8,State and IAP,State,83,Unisys,UNISYS,0,2080304.49,8,0
2005,59:34.8,State and IAP,State,0,051695096^!,51695096,NULL,2075814,7,1
2005,59:34.8,State and IAP,State,84,CIVILIAN POLICE INTERNATIONAL^,CIVILIAN POLICE INTERNATIONAL,0,2074809.22,6,0
2005,59:34.8,State and IAP,State,0,325857977^!,325857977,NULL,2072306.09,15,1
2005,59:34.8,State and IAP,State,0,954642328^!,954642328,NULL,2072010.56,4,1
2005,59:34.8,State and IAP,State,85,OLIN^,OLIN,0,2063031.3,9,0
2005,59:34.8,State and IAP,USAID,58,TRIUMPH GROUP^,TRIUMPH GROUP,0,2061217,8,0
2005,59:34.8,State and IAP,USAID,0,068512610^!,68512610,NULL,2031667,1,1
2005,59:34.8,State and IAP,USAID,59,AVAYA^,AVAYA,0,2016218.36,11,0
2005,59:34.8,State and IAP,State,86,EMC^,EMC,0,2014774,2,0
2005,59:34.8,State and IAP,State,0,626525836^!,626525836,NULL,2009267.17,27,1
2005,59:34.8,State and IAP,State,0,128502130^!,128502130,NULL,2000000,1,1
2005,59:34.8,State and IAP,USAID,0,556974558^!,556974558,NULL,1993900,7,1
2005,59:34.8,State and IAP,State,87,DEUTSCHE TELEKOM AG^,DEUTSCHE TELEKOM AG,0,1986668.75,234,0
2005,59:34.8,State and IAP,State,88,NOBLIS^,NOBLIS,0,1968071,5,0
2005,59:34.8,State and IAP,State,89,CANON^,CANON,0,1942860.61,38,0
2005,59:34.8,State and IAP,PEACE CORPS,0,**VARIABLE^,**VARIABLE,0,1935212,12,0
2005,59:34.8,State and IAP,State,90,NCI,NCI INFORMATION SYSTEMS,0,1912744.42,15,0
2005,59:34.8,State and IAP,USAID,0,037188526^!,37188526,NULL,1892793,4,1
2005,59:34.8,State and IAP,USAID,60,SOUTHALL WALKER INTERNATIONAL^,SOUTHALL WALKER INTERNATIONAL,0,1874302,7,0
2005,59:34.8,State and IAP,USAID,0,614877736^!,614877736,NULL,1821905,3,1
2005,59:34.8,State and IAP,USAID,0,106741978^!,106741978,NULL,1800000,2,1
2005,59:34.8,State and IAP,State,91,LMI Government Consulting,LOGISTICS MANAGEMENT INSTITUTE,0,1787711.54,17,0
2005,59:34.8,State and IAP,State,92,COLT DEFENSE^,COLT DEFENSE,0,1760954.85,15,0
2005,59:34.8,State and IAP,State,93,ABACUS TECHNOLOGY^,ABACUS TECHNOLOGY,0,1756943.34,5,0
2005,59:34.8,State and IAP,State,94,OSI^,OSI,0,1745440,2,0
2005,59:34.8,State and IAP,USAID,0,826771565^!,826771565,NULL,1726751,1,1
2005,59:34.8,State and IAP,USAID,0,081124596^!,81124596,NULL,1724224,2,1
2005,59:34.8,State and IAP,USAID,61,"Sealift, Inc.",SEALIFT HOLDINGS,0,1704262,4,0
2005,59:34.8,State and IAP,USAID,0,932296486^!,932296486,NULL,1666667,1,1
2005,59:34.8,State and IAP,NULL,0,068512610^!,68512610,NULL,1660890,2,1
2005,59:34.8,State and IAP,USAID,62,AP Moller Maersk,AP Moller MAERSK,0,1657434,6,0
2005,59:34.8,State and IAP,State,95,CETROM^,CETROM,0,1653626.78,4,0
2005,59:34.8,State and IAP,State,96,OPE TECHNOLOGY GROUP^,OPE TECHNOLOGY GROUP,0,1639588.18,5,0
2005,59:34.8,State and IAP,State,97,JOHNSON CONTROLS^,JOHNSON CONTROLS,0,1637850.44,13,0
2005,59:34.8,State and IAP,State,98,EADS,EADS NV,0,1599932,1,0
2005,59:34.8,State and IAP,USAID,63,COOPERS & LYBRAND ASSOCIATES^,COOPERS & LYBRAND ASSOCIATES,0,1599137,2,0
2005,59:34.8,State and IAP,State,99,MACFADDEN & ASSOCIATES^,MACFADDEN & ASSOCIATES,0,1559909,5,0
2005,59:34.8,State and IAP,State,100,GARTNER^,GARTNER,0,1532973.88,7,0
2005,59:34.8,State and IAP,State,0,NULL,Unranked Vendor,0,1520728.25,22,1
2005,59:34.8,State and IAP,PEACE CORPS,0,092538073^!,92538073,NULL,1478048,NULL,1
2005,59:34.8,State and IAP,USAID,64,Qinetiq Group,QINETIQ GROUP,0,1437693,3,0
2005,59:34.8,State and IAP,MILLENNIUM CHALLENGE CORPORATION,1,KIMBALL^,KIMBALL,0,1386793.95,1,0
2005,59:34.8,State and IAP,USAID,0,832162536^!,832162536,NULL,1381700,13,1
2005,59:34.8,State and IAP,USAID,65,CAMP DRESSER & MCKEE^,CAMP DRESSER & MCKEE,0,1320000,4,0
2005,59:34.8,State and IAP,USAID,66,FURNITURE BRANDS INTERNATIONAL^,FURNITURE BRANDS INTERNATIONAL,0,1289890,33,0
2005,59:34.8,State and IAP,State,111,General Dynamics,GENERAL DYNAMICS,0,1182621.27,11,0
2005,59:34.8,State and IAP,USAID,0,055300578^!,55300578,NULL,1180000,2,1
2005,59:34.8,State and IAP,USAID,0,048855415^!,48855415,NULL,1169690,2,1
2005,59:34.8,State and IAP,USAID,67,USAID/BANGLADESH^,USAID/BANGLADESH,0,1162866,14,0
2005,59:34.8,State and IAP,State,113,Deloitte,DELOITTE,0,1154084,12,0
2005,59:34.8,State and IAP,NULL,0,943356014^!,943356014,NULL,1139986,10,1
2005,59:34.8,State and IAP,USAID,0,869967232^!,869967232,NULL,1139320,3,1
2005,59:34.8,State and IAP,USAID,0,621603943^!,621603943,NULL,1120239,3,1
2005,59:34.8,State and IAP,PEACE CORPS,2,McKesson,MCKESSON,0,1110576.23,390,0
2005,59:34.8,State and IAP,USAID,68,COMTEQ FEDERAL^,COMTEQ FEDERAL,0,1083695.02,77,0
2005,59:34.8,State and IAP,NULL,0,927732776^!,927732776,NULL,1071067,6,1
2005,59:34.8,State and IAP,USAID,0,960336873^!,960336873,NULL,1068333,2,1
2005,59:34.8,State and IAP,PEACE CORPS,0,158988795^!,158988795,NULL,1067592,NULL,1
2005,59:34.8,State and IAP,USAID,0,105851138^!,105851138,NULL,1020000,1,1
2005,59:34.8,State and IAP,State,117,Tetra Tech,TETRA TECH,0,1018836.12,10,0
2005,59:34.8,State and IAP,USAID,69,Honeywell,HONEYWELL,0,1005801,10,0
2005,59:34.8,State and IAP,USAID,0,006639710^!,6639710,NULL,996620,1,1
2005,59:34.8,State and IAP,USAID,0,786736111^!,786736111,NULL,981081,6,1
2005,59:34.8,State and IAP,MILLENNIUM CHALLENGE CORPORATION,0,004833810^!,4833810,NULL,976604.2,9,1
2005,59:34.8,State and IAP,PEACE CORPS,0,029909384^!,29909384,NULL,974515.1,16,1
2005,59:34.8,State and IAP,MILLENNIUM CHALLENGE CORPORATION,0,070923854^!,70923854,NULL,951059.96,7,1
2005,59:34.8,State and IAP,USAID,0,826135345^!,826135345,NULL,930573,3,1
2005,59:34.8,State and IAP,State,0,**VARIABLE^,**VARIABLE,0,909652.14,28,0
2005,59:34.8,State and IAP,USAID,70,AT&T,AT&T,0,880000,4,0
2005,59:34.8,State and IAP,USAID,0,361150469^!,361150469,NULL,877907,10,1
2005,59:34.8,State and IAP,USAID,0,932606379^!,932606379,NULL,859981,5,1
2005,59:34.8,State and IAP,USAID,71,G4S,G4S PLC,0,830677,3,0
2005,59:34.8,State and IAP,USAID,0,948688213^!,948688213,NULL,804359,1,1
2005,59:34.8,State and IAP,MILLENNIUM CHALLENGE CORPORATION,0,008425894^!,8425894,NULL,802500,2,1
2005,59:34.8,State and IAP,USAID,0,883233900^!,883233900,NULL,799206,7,1
2005,59:34.8,State and IAP,USAID,72,International Shipholding,INTERNATIONAL SHIPHOLDING,0,779516,3,0
2005,59:34.8,State and IAP,USAID,73,JORGE SCIENTIFIC^,JORGE SCIENTIFIC,0,771889,5,0
2005,59:34.8,State and IAP,PEACE CORPS,0,095417929^!,95417929,NULL,761550.54,NULL,1
2005,59:34.8,State and IAP,PEACE CORPS,3,HEALTH TECHNOLO^,HEALTH TECHNOLO,0,750000,NULL,0
2005,59:34.8,State and IAP,State,0,NULL,Unranked Vendor,1,749033,15,0
2005,59:34.8,State and IAP,USAID,0,091341131^!,91341131,NULL,725132,1,1
2005,59:34.8,State and IAP,USAID,74,Motorola,MOTOROLA,0,718739,12,0
2005,59:34.8,State and IAP,USAID,0,002495724^!,2495724,NULL,708247,1,1
2005,59:34.8,State and IAP,USAID,0,009853664^!,9853664,NULL,699000,1,1
2005,59:34.8,State and IAP,PEACE CORPS,0,007640436^!,7640436,NULL,681140,24,1
2005,59:34.8,State and IAP,USAID,75,COMPUTER EQUITY^,COMPUTER EQUITY,0,670000,3,0
2005,59:34.8,State and IAP,State,132,MITRE,THE MITRE,0,650000,NULL,0
2005,59:34.8,State and IAP,NULL,0,133807524^!,133807524,NULL,648536,7,1
2005,59:34.8,State and IAP,USAID,0,127177793^!,127177793,NULL,641773,16,1
2005,59:34.8,State and IAP,State,0,Classified Domestic Contractor^,Classified Domestic Contractor,0,631106.79,61,0
2005,59:34.8,State and IAP,USAID,0,643770308^!,643770308,NULL,600000,2,1
2005,59:34.8,State and IAP,USAID,0,787711977^!,787711977,NULL,600000,2,1
2005,59:34.8,State and IAP,NULL,0,177971348^!,177971348,NULL,596490.52,1,1
2005,59:34.8,State and IAP,USAID,76,Panalpina^,Panalpina,0,595572,8,0
2005,59:34.8,State and IAP,PEACE CORPS,0,077789493^!,77789493,NULL,585000,NULL,1
2005,59:34.8,State and IAP,USAID,77,Hewlett-Packard,HEWLETT PACKARD,0,565076.49,22,0
2005,59:34.8,State and IAP,USAID,78,MARSH & MCLENNAN^,MARSH & MCLENNAN,0,560610,2,0
2005,59:34.8,State and IAP,USAID,0,003423001^!,3423001,NULL,559283,5,1
2005,59:34.8,State and IAP,MILLENNIUM CHALLENGE CORPORATION,2,Battelle,BEARINGPOINT [NORTH AMERICAN PUBLIC SERVICES],0,541962,4,0
2005,59:34.8,State and IAP,USAID,0,187373162^!,187373162,NULL,522600,5,1
2005,59:34.8,State and IAP,MILLENNIUM CHALLENGE CORPORATION,0,112951889^!,112951889,NULL,510778.89,10,1
2005,59:34.8,State and IAP,PEACE CORPS,4,NAVIGANT INTERNATIONAL^,NAVIGANT INTERNATIONAL,0,509000,4,0
2005,59:34.8,State and IAP,PEACE CORPS,5,Hewlett-Packard,HEWLETT PACKARD,0,505876,3,0
2005,59:34.8,State and IAP,USAID,0,003137015^!,3137015,NULL,500000,2,1
2005,59:34.8,State and IAP,USAID,0,556140267^!,556140267,NULL,498931.72,2,1
2005,59:34.8,State and IAP,MILLENNIUM CHALLENGE CORPORATION,0,606632917^!,606632917,NULL,493960,2,1
2005,59:34.8,State and IAP,PEACE CORPS,6,SRA International,SRA INTERNATIONAL,0,492000,1,0
2005,59:34.8,State and IAP,USAID,0,878933498^!,878933498,NULL,490100,4,1
2005,59:34.8,State and IAP,USAID,0,114391543^!,114391543,NULL,481746,13,1
2005,59:34.8,State and IAP,NULL,0,073476590^!,73476590,NULL,478818,1,1
2005,59:34.8,State and IAP,USAID,79,Stinger Ghaffarian Technologies,STINGER GHAFFARIAN TECHNOLOGIES,0,470000,3,0
2005,59:34.8,State and IAP,USAID,0,874432297^!,874432297,NULL,464006,3,1
2005,59:34.8,State and IAP,USAID,0,081821105^!,81821105,NULL,461476,4,1
2005,59:34.8,State and IAP,USAID,0,002545291^!,2545291,NULL,459180,2,1
2005,59:34.8,State and IAP,USAID,0,780514696^!,780514696,NULL,450804,12,1
2005,59:34.8,State and IAP,USAID,80,Dyncorp International,DYNCORP INTERNATIONAL,0,449841,4,0
2005,59:34.8,State and IAP,USAID,81,AECOM Technology,AECOM TECHNOLOGY,0,449733,3,0
2005,59:34.8,State and IAP,PEACE CORPS,0,793639220^!,793639220,NULL,444227.37,NULL,1
2005,59:34.8,State and IAP,USAID,0,938319324^!,938319324,NULL,441522,1,1
2005,59:34.8,State and IAP,USAID,82,XEROX^,XEROX,0,437296,6,0
2005,59:34.8,State and IAP,USAID,0,126497122^!,126497122,NULL,425000,2,1
2005,59:34.8,State and IAP,USAID,83,INSTITUTE OF INTERNATIONAL EDU^,INSTITUTE OF INTERNATIONAL EDU,0,425000,1,0
2005,59:34.8,State and IAP,USAID,84,MEDITERRANEAN SHIPPING COMPANY^,MEDITERRANEAN SHIPPING COMPANY,0,424108,7,0
2005,59:34.8,State and IAP,USAID,0,118500540^!,118500540,NULL,400000,1,1
2005,59:34.8,State and IAP,USAID,85,MOUNTAIN STATES GROUP^,MOUNTAIN STATES GROUP,0,399672,1,0
2005,59:34.8,State and IAP,USAID,86,Dell,DELL,0,397914,31,0
2005,59:34.8,State and IAP,USAID,87,SIBLEY INTERNATIONAL^,SIBLEY INTERNATIONAL,0,397781,2,0
2005,59:34.8,State and IAP,MILLENNIUM CHALLENGE CORPORATION,3,WILBUR SMITH ASSOCIATES^,WILBUR SMITH ASSOCIATES,0,393868,3,0
2005,59:34.8,State and IAP,USAID,88,BAE Systems,BAE SYSTEMS,0,389744,7,0
2005,59:34.8,State and IAP,USAID,89,CDW^,CDW,0,387210,36,0
2005,59:34.8,State and IAP,PEACE CORPS,7,CACI,CACI,0,385875.95,5,0
2005,59:34.8,State and IAP,USAID,90,General Electric,GENERAL ELECTRIC,0,385686,5,0
2005,59:34.8,State and IAP,NULL,0,088808444^!,88808444,NULL,380178,6,1
2005,59:34.8,State and IAP,PEACE CORPS,0,077818706^!,77818706,NULL,380000,NULL,1
2005,59:34.8,State and IAP,USAID,0,040542953^!,40542953,NULL,375000,1,1
2005,59:34.8,State and IAP,State,154,Raytheon,RAYTHEON,0,372536.82,10,0
2005,59:34.8,State and IAP,PEACE CORPS,0,009645623^!,9645623,NULL,353673.03,18,1
2005,59:34.8,State and IAP,PEACE CORPS,0,534823849^!,534823849,NULL,344453,2,1
2005,59:34.8,State and IAP,USAID,0,883738291^!,883738291,NULL,342472,6,1
2005,59:34.8,State and IAP,USAID,0,847414760^!,847414760,NULL,341603,2,1
2005,59:34.8,State and IAP,MILLENNIUM CHALLENGE CORPORATION,4,Booz Allen Hamilton,BOOZ ALLEN HAMILTON,0,340416.03,3,0
2005,59:34.8,State and IAP,USAID,0,305119414^!,305119414,NULL,340000,1,1
2005,59:34.8,State and IAP,PEACE CORPS,0,001527217^!,1527217,NULL,335401.56,1,1
2005,59:34.8,State and IAP,State,157,Hensel Phelps,HENSEL PHELPS CONSTRUCTION,0,333188,4,0
2005,59:34.8,State and IAP,PEACE CORPS,0,781691720^!,781691720,NULL,331400,NULL,1
2005,59:34.8,State and IAP,PEACE CORPS,0,168430267^!,168430267,NULL,330858.82,6,1
2005,59:34.8,State and IAP,PEACE CORPS,8,BBDO WORLDWIDE^,BBDO WORLDWIDE,0,327870.97,4,0
2005,59:34.8,State and IAP,USAID,0,948269196^!,948269196,NULL,322776,1,1
