Fiscal_Year,Query_Run,Customer,SubCustomer,AnnualSubCustomerVendorRank,ContractorDisplayName,ParentID,JointVenture,SumOfobligatedAmount,SumOfnumberOfActions,WarningFlag
2000,59:34.8,State and IAP,USAID,20,KPMG^,KPMG,0,5200000,6,0
2000,59:34.8,State and IAP,State,0,499252963^!,499252963,NULL,4666000,2,1
2000,59:34.8,State and IAP,State,0,385991054^!,385991054,NULL,4568000,1,1
2000,59:34.8,State and IAP,State,33,Booz Allen Hamilton,BOOZ ALLEN HAMILTON,0,4535102.77,17,0
2000,59:34.8,State and IAP,State,34,WACKENHUT [G4S]^,WACKENHUT [G4S],0,4515075.09,6,0
2000,59:34.8,State and IAP,State,0,385992961^!,385992961,NULL,4436000,2,1
2000,59:34.8,State and IAP,State,0,824598650^!,824598650,NULL,4362142,1,1
2000,59:34.8,State and IAP,USAID,21,MANAGEMENT SYSTEMS INTERNATION^,MANAGEMENT SYSTEMS INTERNATION,0,4325000,14,0
2000,59:34.8,State and IAP,USAID,22,COOPERS & LYBRAND ASSOCIATES^,COOPERS & LYBRAND ASSOCIATES,0,4312000,8,0
2000,59:34.8,State and IAP,USAID,0,873004824^!,873004824,NULL,4290000,6,1
2000,59:34.8,State and IAP,State,0,182894535^!,182894535,NULL,4214000,8,1
2000,59:34.8,State and IAP,USAID,23,PAL TECH^,PAL TECH,0,4105000,5,0
2000,59:34.8,State and IAP,PEACE CORPS,1,HEALTH TECHNOLO^,HEALTH TECHNOLO,0,4102000,3,0
2000,59:34.8,State and IAP,USAID,24,AP Moller Maersk,AP Moller MAERSK,0,4093000,3,0
2000,59:34.8,State and IAP,State,35,US INVESTIGATIONS SERVICES^,US INVESTIGATIONS SERVICES,0,4080000,23,0
2000,59:34.8,State and IAP,State,0,47062435^!,47062435,NULL,4051961.44,8,1
2000,59:34.8,State and IAP,State,0,150771038^!,150771038,NULL,4024000,8,1
