fiscal_year,Customer,SubCustomer,PlatformPortfolio,SumOfnumberOfActions,SumOfobligatedAmount
NULL,Defense,Army,NULL,NULL,NULL
1987,Defense,Army,Electronics and Communications,NULL,-171000
1988,Defense,Navy,Weapons and Ammunition,NULL,1732000
1989,Defense,Army,Aircraft and Drones,NULL,89000
1989,Defense,Navy,Other R&D and Knowledge Based,NULL,37910000
1989,Defense,Other DoD,Missile and Space Systems,NULL,-32000
1990,Defense,Air Force,Missile and Space Systems,NULL,7471474000
1990,Defense,Army,Missile and Space Systems,NULL,1869255000
1990,Defense,DLA,Missile and Space Systems,NULL,1201000
1990,Defense,Navy,NULL,NULL,NULL
1990,Defense,Navy,Land Vehicles,NULL,259799000
1990,Defense,Navy,Other Services,NULL,2760677300
1990,Defense,Navy,Weapons and Ammunition,NULL,3298247714
1990,Defense,Other DoD,Other Products,NULL,93753000
1991,Defense,Air Force,Other Products,NULL,2567498000
1991,Defense,Air Force,Weapons and Ammunition,NULL,644519000
1991,Defense,Navy,Other R&D and Knowledge Based,3,3870357934
1991,Defense,Other DoD,Aircraft and Drones,NULL,1698000
1991,Defense,Other DoD,Missile and Space Systems,NULL,13465000
1992,Defense,Army,Missile and Space Systems,NULL,3109020054
1992,Defense,Army,Weapons and Ammunition,NULL,2813478302
1992,Defense,DLA,Missile and Space Systems,NULL,348613
1992,Defense,Navy,Land Vehicles,1,296097273
1992,Defense,Navy,Other Services,2,2940228573
1992,Defense,Other DoD,Other Products,NULL,853501731
1993,Defense,Air Force,Facilities and Construction,NULL,4302101409
1993,Defense,Air Force,Weapons and Ammunition,NULL,1053349826
1993,Defense,Army,Other Products,NULL,506103072
1993,Defense,DLA,Other Products,NULL,6755274066
1993,Defense,Navy,Facilities and Construction,1619,5119032099
1993,Defense,Navy,Ships & Submarines,151,7403404324
1994,Defense,Air Force,Other R&D and Knowledge Based,10424,5459478384
1994,Defense,Army,Weapons and Ammunition,754,885216004
1994,Defense,MilitaryHealth,Other Services,154,511658746
1994,Defense,Other DoD,Other Products,3766,869600482
1994,Defense,Other DoD,Weapons and Ammunition,149,150792549
1995,Defense,Air Force,Facilities and Construction,19003,5072318139
1995,Defense,Air Force,Land Vehicles,520,205626087
1995,Defense,Air Force,Other Services,2917,2061763873
1995,Defense,Air Force,Weapons and Ammunition,1302,865431913
1995,Defense,Army,Other Products,2962,509293882
1995,Defense,DLA,Facilities and Construction,3313,485428637
1995,Defense,DLA,Other Products,12598,5394156969
1995,Defense,DLA,Weapons and Ammunition,114,14331657
1995,Defense,MDA,Other R&D and Knowledge Based,301,251001833
1995,Defense,Navy,Aircraft and Drones,3972,6458349848
1995,Defense,Navy,Electronics and Communications,16227,4408835622
1995,Defense,Navy,Facilities and Construction,20099,6467329549
1995,Defense,Navy,Ships & Submarines,7142,7775863825
1995,Defense,Other DoD,Other R&D and Knowledge Based,1664,986321347
1996,Defense,Air Force,Other R&D and Knowledge Based,9680,4787846067
1996,Defense,DLA,Other R&D and Knowledge Based,487,85623373
1996,Defense,Other DoD,Land Vehicles,13,2836769
1996,Defense,Other DoD,Weapons and Ammunition,13,20430594
1997,Defense,Air Force,Land Vehicles,549,191895847
1997,Defense,Air Force,Other Services,3011,2151771133
1997,Defense,Air Force,Unmanned,8,8225795
1997,Defense,Army,Facilities and Construction,36485,10320733948
1997,Defense,Army,Land Vehicles,2182,2644979969
1997,Defense,DLA,Facilities and Construction,3341,469761993
1988,Defense,Navy,Electronics and Communications,NULL,1712000
1988,Defense,Other DoD,Other R&D and Knowledge Based,NULL,258000
1989,Defense,Army,Facilities and Construction,NULL,62719000
1989,Defense,Army,Other R&D and Knowledge Based,NULL,700000
1989,Defense,Navy,Aircraft and Drones,NULL,86248000
1989,Defense,Navy,Electronics and Communications,NULL,115449946
1990,Defense,Air Force,Electronics and Communications,NULL,5729387000
1990,Defense,Air Force,Other Services,NULL,1340586000
1990,Defense,Air Force,Ships & Submarines,NULL,6649000
1990,Defense,Air Force,Unmanned,NULL,73867000
1990,Defense,Army,Facilities and Construction,NULL,5219084000
1990,Defense,Army,Land Vehicles,NULL,3332883000
1990,Defense,Army,Other R&D and Knowledge Based,NULL,1773375000
1990,Defense,DLA,NULL,NULL,NULL
1990,Defense,DLA,Facilities and Construction,NULL,501958000
1990,Defense,DLA,Land Vehicles,NULL,96449000
1990,Defense,DLA,Other R&D and Knowledge Based,NULL,45584000
1990,Defense,Navy,Aircraft and Drones,NULL,8318339432
1990,Defense,Navy,Missile and Space Systems,NULL,4419842000
1990,Defense,Navy,Unmanned,NULL,29287000
1990,Defense,Other DoD,Facilities and Construction,NULL,64615000
1991,Defense,Air Force,Ships & Submarines,NULL,6151000
1991,Defense,Army,Land Vehicles,NULL,5601200000
1991,Defense,DLA,Land Vehicles,NULL,132094000
1992,Defense,Army,Other Services,NULL,1183327562
1992,Defense,Army,Unmanned,NULL,723882
1992,Defense,DLA,Other Services,NULL,35817959
1992,Defense,Other DoD,Other Services,NULL,325880806
1992,Defense,Other DoD,Ships & Submarines,NULL,217204
1993,Defense,Air Force,Electronics and Communications,NULL,6028097003
1993,Defense,Army,Other Services,NULL,1281514230
1993,Defense,Army,Ships & Submarines,NULL,85437681
1993,Defense,Army,Unmanned,NULL,2709876
1993,Defense,DLA,Electronics and Communications,NULL,332398850
1993,Defense,DLA,Other Services,NULL,11755887
1993,Defense,DLA,Ships & Submarines,NULL,14411201
1993,Defense,Navy,Missile and Space Systems,19,3394875658
1993,Defense,Navy,Other Products,61,594719627
1993,Defense,Other DoD,Facilities and Construction,NULL,151678418
1993,Defense,Other DoD,Other Services,NULL,461594116
1994,Defense,Air Force,Aircraft and Drones,6450,16767329626
1994,Defense,Army,Ships & Submarines,268,68750925
1994,Defense,DLA,Ships & Submarines,161,20602397
1994,Defense,Navy,Other Products,3350,642507610
1994,Defense,Other DoD,Electronics and Communications,6523,2109906701
1995,Defense,Air Force,Aircraft and Drones,6475,13060673216
1995,Defense,Air Force,Missile and Space Systems,1709,3490459183
1995,Defense,MilitaryHealth,Other R&D and Knowledge Based,34,-44198856
1995,Defense,Navy,Weapons and Ammunition,1693,1377959100
1995,Defense,Other DoD,Electronics and Communications,6339,1744854535
1996,Defense,Army,Electronics and Communications,17514,5277383660
1996,Defense,DLA,Electronics and Communications,4306,408522140
1996,Defense,Navy,Weapons and Ammunition,1739,1413330564
1996,Defense,Other DoD,Missile and Space Systems,13,31565030
1997,Defense,Army,Aircraft and Drones,1112,1467832674
1997,Defense,Army,Electronics and Communications,16624,5187402586
1997,Defense,DLA,Aircraft and Drones,4674,441047160
1997,Defense,Navy,Land Vehicles,646,164436998
1998,Defense,Air Force,Missile and Space Systems,1316,3605461345
1998,Defense,Air Force,Other Products,3960,2455575442
NULL,Defense,Air Force,NULL,1,259871
1988,Defense,Army,Electronics and Communications,NULL,34000
1989,Defense,Navy,NULL,NULL,NULL
