fiscal_year,Customer,SubCustomer,PlatformPortfolio,SumOfnumberOfActions,SumOfobligatedAmount
1989,Defense,Navy,Land Vehicles,NULL,1751000
1989,Defense,Navy,Weapons and Ammunition,NULL,33508000
1990,Defense,Air Force,Other Products,NULL,2336468000
1990,Defense,Army,Aircraft and Drones,NULL,4185460000
1990,Defense,DLA,Aircraft and Drones,NULL,68005000
1990,Defense,Navy,Other R&D and Knowledge Based,2,3356027162
1990,Defense,Other DoD,Aircraft and Drones,NULL,67000
1990,Defense,Other DoD,Missile and Space Systems,NULL,7544000
1991,Defense,Army,Missile and Space Systems,NULL,3685775000
1991,Defense,Army,Weapons and Ammunition,NULL,3134083000
1991,Defense,DLA,Missile and Space Systems,NULL,1259000
1991,Defense,Navy,Land Vehicles,NULL,393155796
1991,Defense,Navy,Other Services,NULL,2970926079
1991,Defense,Other DoD,Other Products,NULL,98704000
1992,Defense,Air Force,Other Products,NULL,2704760681
1992,Defense,Air Force,Weapons and Ammunition,NULL,777687971
1992,Defense,Army,Other Products,NULL,628753489
1992,Defense,DLA,Other Products,NULL,5717094775
1992,Defense,Navy,Facilities and Construction,3,5468077987
1992,Defense,Navy,Other R&D and Knowledge Based,3,3877120392
1992,Defense,Navy,Ships & Submarines,1,6423602702
1992,Defense,Other DoD,Aircraft and Drones,NULL,6330538
1993,Defense,Army,Missile and Space Systems,NULL,3353884798
1993,Defense,Army,Weapons and Ammunition,NULL,2169771840
1993,Defense,Navy,Other Services,106,2040065569
1993,Defense,Other DoD,Other Products,NULL,792926411
1993,Defense,Other DoD,Weapons and Ammunition,NULL,47939988
1994,Defense,Air Force,Facilities and Construction,19421,5288977704
1994,Defense,Air Force,Land Vehicles,1010,1158180282
1994,Defense,Air Force,Weapons and Ammunition,1390,1071451907
1994,Defense,Army,Other Products,2240,439408804
1994,Defense,DLA,Other Products,11529,5746926260
1994,Defense,DLA,Weapons and Ammunition,78,6598719
1994,Defense,MDA,Other R&D and Knowledge Based,398,343747860
1994,Defense,Navy,Electronics and Communications,16306,5389931975
1994,Defense,Navy,Facilities and Construction,22707,8128676373
1994,Defense,Navy,Ships & Submarines,6864,5051098317
1995,Defense,Air Force,Other R&D and Knowledge Based,9233,4598671894
1995,Defense,MilitaryHealth,Other Services,237,1344041248
1995,Defense,Other DoD,Land Vehicles,17,9510486
1995,Defense,Other DoD,Weapons and Ammunition,2,113226
1996,Defense,Air Force,Facilities and Construction,19294,5009700510
1996,Defense,Air Force,Land Vehicles,510,163272463
1996,Defense,Air Force,Other Services,3197,2232102712
1996,Defense,Air Force,Unmanned,3,105209
1996,Defense,Army,Facilities and Construction,36155,10060825032
1996,Defense,DLA,Facilities and Construction,3403,417577800
1996,Defense,DLA,Land Vehicles,1479,147637134
1996,Defense,DLA,Weapons and Ammunition,191,15627345
1996,Defense,MilitaryHealth,Electronics and Communications,7,412601
1996,Defense,Navy,Aircraft and Drones,4044,5883211730
1996,Defense,Navy,Electronics and Communications,16471,4413995763
1996,Defense,Navy,Unmanned,3,1706603
1996,Defense,Other DoD,Other R&D and Knowledge Based,1916,794023378
1997,Defense,Air Force,Other R&D and Knowledge Based,9373,4512334510
1997,Defense,Air Force,Ships & Submarines,38,5985573
1997,Defense,Army,Other R&D and Knowledge Based,13138,4328958326
NULL,Defense,Navy,NULL,NULL,NULL
1989,Defense,Army,Ships & Submarines,NULL,11018000
1989,Defense,Navy,Missile and Space Systems,NULL,54508000
1990,Defense,Army,Unmanned,NULL,3661000
1990,Defense,Army,Weapons and Ammunition,NULL,930840000
1990,Defense,Other DoD,Electronics and Communications,NULL,653075000
1990,Defense,Other DoD,Other Services,NULL,643549000
1990,Defense,Other DoD,Weapons and Ammunition,NULL,1075000
1991,Defense,Air Force,Facilities and Construction,NULL,5086669000
1991,Defense,Army,Aircraft and Drones,NULL,3272802000
1991,Defense,Army,Ships & Submarines,NULL,52801000
1991,Defense,DLA,Aircraft and Drones,NULL,66587000
1991,Defense,Navy,Electronics and Communications,NULL,6404981122
1991,Defense,Navy,Unmanned,NULL,18976503
1992,Defense,Air Force,Missile and Space Systems,NULL,4240863302
1992,Defense,DLA,Other R&D and Knowledge Based,NULL,41890010
1992,Defense,Other DoD,Weapons and Ammunition,NULL,852010
1993,Defense,Army,Aircraft and Drones,NULL,2979357872
1993,Defense,Army,Land Vehicles,NULL,3720696711
1993,Defense,DLA,Aircraft and Drones,NULL,50295908
1993,Defense,DLA,Land Vehicles,NULL,105854971
1993,Defense,Navy,Electronics and Communications,245,5072671902
1993,Defense,Navy,Other R&D and Knowledge Based,144,4111850314
1993,Defense,Navy,Unmanned,NULL,180486812
1993,Defense,Other DoD,Aircraft and Drones,NULL,5277240
1993,Defense,Other DoD,Missile and Space Systems,NULL,49284401
1994,Defense,Air Force,Electronics and Communications,14296,5620152826
1994,Defense,Air Force,Missile and Space Systems,1796,3764822465
1994,Defense,Army,Other R&D and Knowledge Based,8060,2644404415
1994,Defense,DLA,Other R&D and Knowledge Based,269,49566876
1994,Defense,MilitaryHealth,Facilities and Construction,20,8214786
1994,Defense,MilitaryHealth,Other R&D and Knowledge Based,64,354684912
1994,Defense,Navy,Land Vehicles,1262,1279064037
1994,Defense,Navy,Missile and Space Systems,1035,3468538002
1994,Defense,Navy,Other Services,6177,2907419789
1995,Defense,Army,Land Vehicles,1858,2193960902
1995,Defense,Army,Other Services,3423,1123706450
1995,Defense,Army,Unmanned,9,42377147
1995,Defense,DLA,Land Vehicles,1091,113410063
1995,Defense,DLA,Other Services,44,5058783
1995,Defense,Navy,Other R&D and Knowledge Based,15068,4518991127
1995,Defense,Navy,Unmanned,7,-1808810
1995,Defense,Other DoD,Aircraft and Drones,29,27422117
1995,Defense,Other DoD,Missile and Space Systems,7,1810881
1996,Defense,Air Force,Electronics and Communications,14079,4557103540
1996,Defense,Army,Other R&D and Knowledge Based,13317,4213044005
1996,Defense,Army,Ships & Submarines,311,93947964
1996,Defense,DLA,Ships & Submarines,177,21393170
1996,Defense,MilitaryHealth,Facilities and Construction,6,4607760
1996,Defense,Navy,Land Vehicles,797,140126666
1996,Defense,Navy,Missile and Space Systems,945,2844222629
1996,Defense,Navy,Other Services,5570,2888722480
1997,Defense,Army,Other Products,3431,539648183
1997,Defense,Army,Other Services,4342,1486825512
1997,Defense,Army,Unmanned,2,288582
1997,Defense,DLA,Other Products,18572,6156599618
1997,Defense,DLA,Other Services,55,25758767
1997,Defense,Navy,Facilities and Construction,19861,6365843896
1997,Defense,Navy,Ships & Submarines,5505,6099779775
1997,Defense,Other DoD,Aircraft and Drones,94,48667053
1997,Defense,Other DoD,Electronics and Communications,7236,1900938572
NULL,Defense,Other DoD,NULL,NULL,NULL
1988,Defense,Navy,Other Services,NULL,1378000
1989,Defense,Army,Electronics and Communications,NULL,4052000
1989,Defense,Army,Other Services,NULL,1014000
1989,Defense,Navy,Ships & Submarines,NULL,131363000
1989,Defense,Other DoD,Other Products,NULL,500000
1989,Defense,Other DoD,Other Services,NULL,762000
1990,Defense,Air Force,Facilities and Construction,NULL,3877335000
1990,Defense,Air Force,Other R&D and Knowledge Based,NULL,4546920000
1990,Defense,Air Force,Weapons and Ammunition,NULL,864801000
1990,Defense,Army,Ships & Submarines,NULL,74215000
1990,Defense,DLA,Ships & Submarines,NULL,15087000
1990,Defense,Navy,Other Products,NULL,751077000
1991,Defense,Air Force,Aircraft and Drones,NULL,15043386000
1991,Defense,Air Force,Land Vehicles,NULL,139139000
1991,Defense,Air Force,Missile and Space Systems,NULL,6779425000
1991,Defense,Army,Other Products,NULL,1101170000
1991,Defense,DLA,Other Products,NULL,10190485000
1991,Defense,Navy,Facilities and Construction,NULL,6253219282
1991,Defense,Other DoD,Electronics and Communications,NULL,1286782000
1991,Defense,Other DoD,Other R&D and Knowledge Based,NULL,2234756000
1991,Defense,Other DoD,Weapons and Ammunition,NULL,1533000
1992,Defense,Navy,Electronics and Communications,5,6298084307
1992,Defense,Navy,Weapons and Ammunition,1,2228034573
1992,Defense,Other DoD,Land Vehicles,NULL,4743271
1992,Defense,Other DoD,Missile and Space Systems,NULL,18052194
1993,Defense,Air Force,Other Services,NULL,1813425293
1993,Defense,Air Force,Unmanned,NULL,596578
1993,Defense,Army,Electronics and Communications,NULL,3989216512
1993,Defense,Army,Facilities and Construction,NULL,9512112386
1993,Defense,Army,Other R&D and Knowledge Based,NULL,3056973486
1993,Defense,DLA,Facilities and Construction,NULL,605134350
1993,Defense,DLA,Other R&D and Knowledge Based,NULL,42188235
1993,Defense,DLA,Weapons and Ammunition,NULL,7120191
1993,Defense,Navy,Aircraft and Drones,82,7201937634
1993,Defense,Navy,Land Vehicles,26,160055579
1994,Defense,Air Force,Ships & Submarines,48,6709617
1994,Defense,Army,Aircraft and Drones,1312,1907192614
1994,Defense,Army,Land Vehicles,456,119729192
1994,Defense,Army,Missile and Space Systems,1538,2756839692
1994,Defense,DLA,Aircraft and Drones,958,89628343
1994,Defense,DLA,Land Vehicles,853,103077319
1994,Defense,DLA,Missile and Space Systems,37,5448145
1994,Defense,Navy,Unmanned,23,123376097
1994,Defense,Other DoD,Aircraft and Drones,217,15290819
1995,Defense,Air Force,Other Products,4391,2915095518
1995,Defense,MDA,Electronics and Communications,7,592440
1995,Defense,Navy,Other Services,6413,3506537910
1995,Defense,Other DoD,Ships & Submarines,12,23383865
1996,Defense,Army,Other Services,4181,1636203402
1996,Defense,Army,Unmanned,3,2437862
1996,Defense,DLA,Other Services,40,4036792
1996,Defense,MilitaryHealth,Other Services,310,1386279949
1996,Defense,Navy,Other R&D and Knowledge Based,15509,4515232028
1996,Defense,Navy,Ships & Submarines,5565,5815591313
1996,Defense,Other DoD,Other Products,241,81044746
1996,Defense,Other DoD,Other Services,263,159634189
1997,Defense,Air Force,Electronics and Communications,13480,4904174171
1997,Defense,Air Force,Facilities and Construction,16681,4478514380
1997,Defense,Air Force,Weapons and Ammunition,1336,780915613
1988,Defense,Navy,Facilities and Construction,NULL,572670
1988,Defense,Navy,Other R&D and Knowledge Based,NULL,197000
1988,Defense,Navy,Ships & Submarines,NULL,88000
1989,Defense,Army,NULL,NULL,NULL
1989,Defense,Navy,Other Products,NULL,7566000
1989,Defense,Navy,Other Services,NULL,407216000
1989,Defense,Other DoD,Facilities and Construction,NULL,4572000
1990,Defense,Air Force,NULL,NULL,NULL
1990,Defense,Air Force,Aircraft and Drones,NULL,14602995000
1990,Defense,Air Force,Land Vehicles,NULL,181834000
1990,Defense,Army,Electronics and Communications,NULL,3936279000
1990,Defense,Army,Other Products,NULL,717429000
1990,Defense,DLA,Electronics and Communications,NULL,414306000
1990,Defense,DLA,Other Products,NULL,7941542000
1990,Defense,DLA,Weapons and Ammunition,NULL,2784000
1990,Defense,Navy,Facilities and Construction,NULL,4898857305
1990,Defense,Navy,Ships & Submarines,NULL,8635988493
1991,Defense,Air Force,Other R&D and Knowledge Based,NULL,4294728000
1991,Defense,Navy,Other Products,1,847746216
1991,Defense,Navy,Weapons and Ammunition,NULL,2909467377
1991,Defense,Other DoD,Land Vehicles,NULL,6670000
1992,Defense,Air Force,Land Vehicles,NULL,207040088
1992,Defense,Air Force,Other Services,NULL,1635289151
1992,Defense,Air Force,Unmanned,NULL,69371656
1992,Defense,Army,Electronics and Communications,NULL,3851364241
1992,Defense,Army,Facilities and Construction,NULL,10106944428
1992,Defense,DLA,Electronics and Communications,NULL,348128728
1992,Defense,DLA,Facilities and Construction,NULL,575948199
1992,Defense,DLA,Weapons and Ammunition,NULL,3483978
1992,Defense,Navy,Aircraft and Drones,10,7630107981
1992,Defense,Other DoD,Other R&D and Knowledge Based,NULL,2895305375
1993,Defense,Air Force,Other R&D and Knowledge Based,NULL,4474935466
1993,Defense,Air Force,Ships & Submarines,NULL,7061515
1993,Defense,DLA,Missile and Space Systems,NULL,1089345
1993,Defense,Navy,Weapons and Ammunition,47,2103641444
1993,Defense,Other DoD,Land Vehicles,NULL,626394
1994,Defense,Air Force,Other Products,2982,1701687587
1994,Defense,Air Force,Other Services,3432,2715320956
1994,Defense,Air Force,Unmanned,3,619471
1994,Defense,Army,Facilities and Construction,26186,8478113592
1994,Defense,DLA,Facilities and Construction,3210,442252029
1994,Defense,MilitaryHealth,Electronics and Communications,12,2098385
1994,Defense,Navy,Aircraft and Drones,4037,6669522313
1994,Defense,Other DoD,Facilities and Construction,1463,418378653
1994,Defense,Other DoD,Other R&D and Knowledge Based,1286,806520117
1994,Defense,Other DoD,Ships & Submarines,11,1332465
1995,Defense,Air Force,Ships & Submarines,42,7204644
1995,Defense,Army,Missile and Space Systems,1358,2499867493
1995,Defense,Army,Weapons and Ammunition,1187,1827371200
1995,Defense,DLA,Missile and Space Systems,24,1984282
1995,Defense,Other DoD,Other Products,205,41184467
1996,Defense,Air Force,Other Products,5107,3542853339
1996,Defense,Air Force,Weapons and Ammunition,1316,1055737773
1996,Defense,MDA,Electronics and Communications,2,348205
1996,Defense,MDA,Other R&D and Knowledge Based,335,299956885
1996,Defense,Other DoD,Facilities and Construction,830,154666348
1996,Defense,Other DoD,Ships & Submarines,32,33541476
1997,Defense,Air Force,Aircraft and Drones,6084,11781670465
1997,Defense,Army,Missile and Space Systems,1751,3163059117
1997,Defense,Army,Weapons and Ammunition,1458,1961857739
NULL,Defense,NULL,NULL,NULL,NULL
1988,Defense,Navy,Land Vehicles,NULL,-263000
1988,Defense,Navy,Missile and Space Systems,NULL,1708000
1988,Defense,Navy,Other Products,NULL,-221000
1988,Defense,Other DoD,Facilities and Construction,NULL,44000
1989,Defense,Army,Other Products,NULL,90000
1989,Defense,Army,Weapons and Ammunition,NULL,176174000
1989,Defense,Navy,Facilities and Construction,NULL,352404000
1989,Defense,Other DoD,Electronics and Communications,NULL,17436000
1990,Defense,Army,NULL,NULL,NULL
1990,Defense,Navy,Electronics and Communications,1,7256994999
1991,Defense,Air Force,Other Services,NULL,2838175000
1991,Defense,Army,Electronics and Communications,NULL,3580873000
1991,Defense,DLA,Electronics and Communications,NULL,448105000
1991,Defense,DLA,Facilities and Construction,NULL,711889000
1991,Defense,DLA,Weapons and Ammunition,NULL,6347000
1991,Defense,Navy,Aircraft and Drones,2,6618543040
1991,Defense,Navy,Ships & Submarines,NULL,7011570416
1991,Defense,Other DoD,Other Services,NULL,276005000
1992,Defense,Air Force,Facilities and Construction,NULL,4724161781
1992,Defense,Air Force,Other R&D and Knowledge Based,NULL,4729968744
1992,Defense,Air Force,Ships & Submarines,NULL,3923479
1992,Defense,Army,Aircraft and Drones,NULL,3148641581
1992,Defense,DLA,Aircraft and Drones,NULL,51278826
1992,Defense,DLA,Land Vehicles,NULL,105290898
1992,Defense,Navy,Unmanned,NULL,84513575
1993,Defense,Air Force,Land Vehicles,NULL,118525628
1993,Defense,Air Force,Missile and Space Systems,NULL,4654020018
1993,Defense,Air Force,Other Products,NULL,2555310340
1993,Defense,Other DoD,Other R&D and Knowledge Based,NULL,2689823385
1994,Defense,Army,Other Services,2942,872756848
1994,Defense,DLA,Other Services,32,2318144
1994,Defense,Navy,Other R&D and Knowledge Based,15075,4496079635
1994,Defense,Navy,Weapons and Ammunition,1922,1975067592
1994,Defense,Other DoD,Land Vehicles,403,490699928
1994,Defense,Other DoD,Missile and Space Systems,8,858806
1995,Defense,Air Force,Electronics and Communications,13983,4800736552
1995,Defense,Air Force,Unmanned,5,-1231650
1995,Defense,Army,Facilities and Construction,33021,10195379076
1995,Defense,Army,Other R&D and Knowledge Based,11803,3984238928
1995,Defense,DLA,Other R&D and Knowledge Based,283,58587947
1995,Defense,DLA,Ships & Submarines,171,22788809
1995,Defense,MilitaryHealth,Electronics and Communications,22,7818658
1995,Defense,MilitaryHealth,Facilities and Construction,9,8976539
1995,Defense,Navy,Land Vehicles,681,166674882
1995,Defense,Navy,Missile and Space Systems,977,3389282433
1995,Defense,Other DoD,Facilities and Construction,762,220428950
1996,Defense,Air Force,Aircraft and Drones,6312,14715175447
1996,Defense,Air Force,Ships & Submarines,44,5305541
1996,Defense,Army,Land Vehicles,2352,2679269309
1996,Defense,Army,Missile and Space Systems,1531,2725254085
1996,Defense,Army,Other Products,3596,540613822
1996,Defense,Army,Weapons and Ammunition,1446,2238676614
1996,Defense,DLA,Missile and Space Systems,41,4982656
1996,Defense,DLA,Other Products,16362,5841497928
1996,Defense,Navy,Facilities and Construction,21559,6992577136
1996,Defense,Other DoD,Aircraft and Drones,116,48093305
1996,Defense,Other DoD,Electronics and Communications,8343,1986973243
1997,Defense,MDA,Other R&D and Knowledge Based,330,387225520
1997,Defense,Navy,Other Services,5667,3214545181
1988,Defense,Army,Facilities and Construction,NULL,-35000
1988,Defense,Navy,Aircraft and Drones,NULL,448000
1989,Defense,Army,Land Vehicles,NULL,66726000
1989,Defense,Other DoD,Other R&D and Knowledge Based,NULL,62940000
1990,Defense,Army,Other Services,NULL,770552000
1990,Defense,DLA,Other Services,NULL,101674000
1990,Defense,Other DoD,NULL,NULL,NULL
1990,Defense,Other DoD,Land Vehicles,NULL,2470000
1990,Defense,Other DoD,Other R&D and Knowledge Based,NULL,1864905000
1991,Defense,Air Force,Electronics and Communications,NULL,6166948000
1991,Defense,Air Force,Unmanned,NULL,58446000
1991,Defense,Army,Facilities and Construction,NULL,10131056000
1991,Defense,Army,Other R&D and Knowledge Based,NULL,3123784000
1991,Defense,Army,Other Services,NULL,1209068000
1991,Defense,Army,Unmanned,NULL,1230000
1991,Defense,DLA,Other R&D and Knowledge Based,NULL,36650000
1991,Defense,DLA,Other Services,NULL,75418000
1991,Defense,DLA,Ships & Submarines,NULL,14638000
1991,Defense,Navy,Missile and Space Systems,NULL,4641006079
1991,Defense,Other DoD,Facilities and Construction,NULL,92233000
1992,Defense,Air Force,Aircraft and Drones,NULL,14446145476
1992,Defense,Air Force,Electronics and Communications,NULL,5063510707
1992,Defense,Army,Land Vehicles,NULL,3307519114
1992,Defense,Army,Other R&D and Knowledge Based,NULL,2837056446
1992,Defense,Army,Ships & Submarines,NULL,126979899
1992,Defense,DLA,Ships & Submarines,NULL,22663053
1992,Defense,Navy,Missile and Space Systems,NULL,4581472129
1992,Defense,Navy,Other Products,2,816913121
1992,Defense,Other DoD,Electronics and Communications,NULL,1890626005
1992,Defense,Other DoD,Facilities and Construction,NULL,148421730
1993,Defense,Air Force,Aircraft and Drones,NULL,14445026338
1993,Defense,Other DoD,Electronics and Communications,NULL,1741775411
1993,Defense,Other DoD,Ships & Submarines,NULL,13964534
1994,Defense,Army,Electronics and Communications,9932,2433014103
1994,Defense,Army,Unmanned,3,22875719
1994,Defense,DLA,Electronics and Communications,2366,218010712
1994,Defense,Other DoD,Other Services,111,79374099
1995,Defense,Army,Aircraft and Drones,1410,2268123511
1995,Defense,Army,Electronics and Communications,15136,4773284718
1995,Defense,Army,Ships & Submarines,273,75838619
1995,Defense,DLA,Aircraft and Drones,1606,166210137
1995,Defense,DLA,Electronics and Communications,3328,373973167
1995,Defense,Navy,Other Products,3237,563544421
1995,Defense,Other DoD,Other Services,133,131071479
1996,Defense,Air Force,Missile and Space Systems,1481,3011887343
1996,Defense,Army,Aircraft and Drones,1480,2194545458
1996,Defense,DLA,Aircraft and Drones,3127,278353391
1996,Defense,MilitaryHealth,Other R&D and Knowledge Based,21,3530196
1996,Defense,Navy,Other Products,3341,563574626
1997,Defense,Air Force,Missile and Space Systems,1275,3128987001
1997,Defense,Air Force,Other Products,4322,2998581588
1997,Defense,MilitaryHealth,Other R&D and Knowledge Based,25,-1361020
1997,Defense,Navy,Other R&D and Knowledge Based,16191,5273878017
1997,Defense,Navy,Weapons and Ammunition,1382,1622027398
1997,Defense,Other DoD,Missile and Space Systems,9,1920880
1998,Defense,MilitaryHealth,Facilities and Construction,1,-66702
1998,Defense,Navy,Land Vehicles,674,167640217
1998,Defense,Navy,Other R&D and Knowledge Based,16620,5087073472
1998,Defense,Navy,Weapons and Ammunition,1627,1558849198
1998,Defense,Other DoD,Missile and Space Systems,7,1077929
1997,Defense,Other DoD,Other Services,280,107191737
1998,Defense,Air Force,Electronics and Communications,12594,4551900929
1998,Defense,Air Force,Other R&D and Knowledge Based,9354,4781260894
1998,Defense,Army,Ships & Submarines,265,103003359
1998,Defense,DLA,Ships & Submarines,167,13895829
1999,Defense,Air Force,Land Vehicles,585,164583581
1999,Defense,Air Force,Missile and Space Systems,1340,3604875896
1999,Defense,Air Force,Other Services,3549,2111424238
1999,Defense,Army,Other Products,3510,714939932
1999,Defense,Army,Unmanned,27,35890120
1999,Defense,DLA,Facilities and Construction,2925,625738876
1999,Defense,DLA,Other Products,22436,5219747391
1999,Defense,DLA,Weapons and Ammunition,311,23479523
1999,Defense,MilitaryHealth,Other R&D and Knowledge Based,33,6554553
1999,Defense,Navy,Aircraft and Drones,3794,6806676235
1999,Defense,Navy,Facilities and Construction,19959,6471510008
1999,Defense,Navy,Ships & Submarines,6773,6213134556
