fiscal_year,Query_Run_Date,SingleYearObligatedAmount,SingleYearbaseandexercisedoptionsvalue,SingleYearMaxOfbaseandalloptions,CountOfPIID,CountofModnumber,SumOfobligatedAmount,SumOfnumberOfActions
2008,42039.73265,Deobligation,$1 - <$5 million,$1 - <$5 million,17,37,-1145088.53,37
2011,42039.73265,$250 thousand - <$1 million,$5 - <$25 million,$100 - <$500 million,1,2,926368.5,2
2010,42039.73265,$5 - <$25 million,$25 - <$100 million,Zero value,6,61,114706256.2,105
2007,42039.73265,$250 thousand - <$1 million,Deobligation,Deobligation,107,356,53381206.7,356
1989,42039.73265,$250 thousand - <$1 million,NULL,NULL,351,626,175072000,NULL
2002,42039.73265,Less than $250 thousand,$1 - <$5 million,$5 - <$25 million,1,4,136400,4
2011,42039.73265,Less than $250 thousand,$1 - <$5 million,$1 - <$5 million,192,326,18099586.66,335
2006,42039.73265,$250 thousand - <$1 million,Zero value,Less than $250 thousand,1,2,521002,2
2006,42039.73265,$250 thousand - <$1 million,$5 - <$25 million,$25 - <$100 million,12,32,7141003,40
2008,42039.73265,$1 - <$5 million,$1 - <$5 million,Deobligation,176,838,355957516,841
2009,42039.73265,$250 thousand - <$1 million,Less than $250 thousand,Deobligation,27,117,11806351.95,117
2010,42039.73265,Deobligation,Zero value,Zero value,16395,19711,-2290054108,20484
2006,42039.73265,Less than $250 thousand,$250 thousand - <$1 million,Zero value,32,62,3405264.9,62
2004,42039.73265,$25 - <$100 million,Less than $250 thousand,Less than $250 thousand,1,7,40750000,7
2012,42039.73265,Less than $250 thousand,$250 thousand - <$1 million,Less than $250 thousand,36,126,5849762.46,127
2010,42039.73265,$100 - <$500 million,$1 - <$5 million,$1 - <$5 million,4,55,988913651.9,57
2006,42039.73265,Zero value,$1 - <$5 million,$100 - <$500 million,1,1,0,1
2012,42039.73265,$250 thousand - <$1 million,Less than $250 thousand,Less than $250 thousand,307,1246,145375543.1,1282
2002,42039.73265,$5 - <$25 million,$25 - <$100 million,Greater than $500 million,1,4,16026586,8
2006,42039.73265,$250 thousand - <$1 million,$100 - <$500 million,$100 - <$500 million,17,24,6570943.5,24
2003,42039.73265,Zero value,NULL,$25 - <$100 million,119,121,0,NULL
2013,42039.73265,$1 - <$5 million,$5 - <$25 million,Deobligation,19,128,68654227.73,152
2009,42039.73265,$25 - <$100 million,$5 - <$25 million,$250 thousand - <$1 million,1,3,48422590.91,3
1998,42039.73265,$1 - <$5 million,NULL,NULL,8173,54658,17786796339,55544
2002,42039.73265,Greater than $500 million,Greater than $500 million,Greater than $500 million,1,9,737100000,9
2001,42039.73265,$1 - <$5 million,$1 - <$5 million,$1 - <$5 million,23,52,45593734.11,53
2003,42039.73265,$5 - <$25 million,Zero value,$100 - <$500 million,1,3,16411490,28
2006,42039.73265,$1 - <$5 million,Zero value,$25 - <$100 million,1,1,2302327,1
2014,42039.73265,Deobligation,Deobligation,$1 - <$5 million,6,13,-562704.291,13
2003,42039.73265,Less than $250 thousand,$250 thousand - <$1 million,Zero value,1,2,242404,2
2009,42039.73265,$25 - <$100 million,$1 - <$5 million,$25 - <$100 million,2,24,100419002.2,24
2004,42039.73265,$1 - <$5 million,Less than $250 thousand,Less than $250 thousand,5,24,9762661.45,25
1989,42039.73265,$25 - <$100 million,NULL,NULL,7,22,260555000,NULL
2010,42039.73265,$25 - <$100 million,$25 - <$100 million,$250 thousand - <$1 million,3,30,139471965.3,30
2007,42039.73265,$1 - <$5 million,$25 - <$100 million,Greater than $500 million,1,33,4580942.97,33
2003,42039.73265,$1 - <$5 million,$1 - <$5 million,$1 - <$5 million,73,123,159632676.2,139
2006,42039.73265,Zero value,$1 - <$5 million,$25 - <$100 million,1,1,0,1
2014,42039.73265,$1 - <$5 million,Deobligation,Deobligation,123,682,267107408.6,719
2010,42039.73265,$250 thousand - <$1 million,Less than $250 thousand,Zero value,55,192,23565041.86,200
2012,42039.73265,$1 - <$5 million,$5 - <$25 million,$100 - <$500 million,1,1,3673605.03,1
2014,42039.73265,$5 - <$25 million,Deobligation,$250 thousand - <$1 million,1,13,8204070.93,13
2009,42039.73265,$250 thousand - <$1 million,$250 thousand - <$1 million,Zero value,1206,2712,584491208.9,2742
2012,42039.73265,Less than $250 thousand,$250 thousand - <$1 million,Zero value,60,185,9473422.72,188
2010,42039.73265,$100 - <$500 million,$5 - <$25 million,$1 - <$5 million,1,77,306320712.3,77
2014,42039.73265,Less than $250 thousand,$250 thousand - <$1 million,Less than $250 thousand,29,113,5298466.122,113
2009,42039.73265,Deobligation,Less than $250 thousand,Less than $250 thousand,164,316,-10324982.12,326
2006,42039.73265,Zero value,NULL,Less than $250 thousand,1713,2513,0,NULL
2010,42039.73265,$250 thousand - <$1 million,$250 thousand - <$1 million,$250 thousand - <$1 million,46393,80524,22513091905,109398
2003,42039.73265,Zero value,Less than $250 thousand,$250 thousand - <$1 million,4,4,0,4
2007,42039.73265,$250 thousand - <$1 million,$25 - <$100 million,$100 - <$500 million,1,4,628384,4
2013,42039.73265,Deobligation,Zero value,$1 - <$5 million,1,1,-36676.8594,1
2009,42039.73265,$1 - <$5 million,$100 - <$500 million,Greater than $500 million,2,2,7013773.01,2
2012,42039.73265,$250 thousand - <$1 million,$250 thousand - <$1 million,$25 - <$100 million,10,21,5587395.53,127
2009,42039.73265,Zero value,$250 thousand - <$1 million,$250 thousand - <$1 million,531,655,0,712
2010,42039.73265,Zero value,$25 - <$100 million,Zero value,1,1,0,1
2009,42039.73265,Zero value,Less than $250 thousand,$1 - <$5 million,37,43,0,43
2011,42039.73265,$250 thousand - <$1 million,$5 - <$25 million,$25 - <$100 million,13,26,7432200.86,26
2002,42039.73265,$1 - <$5 million,$25 - <$100 million,$25 - <$100 million,3,5,9902839,6
2010,42039.73265,$250 thousand - <$1 million,$25 - <$100 million,$25 - <$100 million,7,18,2943713.64,21
2004,42039.73265,$5 - <$25 million,$5 - <$25 million,Deobligation,1,16,13937415.44,16
2013,42039.73265,Zero value,$1 - <$5 million,Deobligation,1,1,0,1
2009,42039.73265,Less than $250 thousand,$1 - <$5 million,Zero value,11,45,1594352.22,45
2009,42039.73265,$1 - <$5 million,$250 thousand - <$1 million,$250 thousand - <$1 million,184,1069,356463676.9,1092
2010,42039.73265,Zero value,Less than $250 thousand,$1 - <$5 million,10,12,0,12
2014,42039.73265,$5 - <$25 million,$25 - <$100 million,Zero value,14,219,241072162.4,275
2006,42039.73265,$5 - <$25 million,$250 thousand - <$1 million,$250 thousand - <$1 million,30,291,363771937.1,291
2000,42039.73265,Less than $250 thousand,$25 - <$100 million,$25 - <$100 million,1,2,92000,2
1999,42039.73265,$5 - <$25 million,NULL,NULL,2754,48963,28658791053,49806
2014,42039.73265,$100 - <$500 million,$25 - <$100 million,$1 - <$5 million,1,17,115130000,17
2011,42039.73265,$250 thousand - <$1 million,$250 thousand - <$1 million,$250 thousand - <$1 million,43270,77782,20935205097,2252567
1990,42039.73265,$100 - <$500 million,NULL,NULL,139,2378,27792908000,NULL
2009,42039.73265,$25 - <$100 million,$5 - <$25 million,$5 - <$25 million,20,277,969967215.2,298
2010,42039.73265,Zero value,$100 - <$500 million,Greater than $500 million,1,2,0,7
2012,42039.73265,Greater than $500 million,Zero value,Zero value,3,59,2427451804,60
2003,42039.73265,$5 - <$25 million,$5 - <$25 million,Greater than $500 million,1,1,24295890,1
2008,42039.73265,Less than $250 thousand,$250 thousand - <$1 million,Less than $250 thousand,35,145,4897421.68,145
2009,42039.73265,$1 - <$5 million,$1 - <$5 million,Zero value,540,2426,1081105165,2508
2000,42039.73265,Deobligation,$250 thousand - <$1 million,$250 thousand - <$1 million,1,3,-51458.4,3
2014,42039.73265,$1 - <$5 million,$1 - <$5 million,$100 - <$500 million,3,12,10396668.02,12
2012,42039.73265,$25 - <$100 million,Less than $250 thousand,Less than $250 thousand,1,3,38601764,3
2008,42039.73265,$1 - <$5 million,Deobligation,Deobligation,104,504,238996627.4,546
2012,42039.73265,Deobligation,$5 - <$25 million,$5 - <$25 million,1,2,-5012.11,2
2005,42039.73265,Less than $250 thousand,Less than $250 thousand,$1 - <$5 million,30,37,4649318.01,39
2001,42039.73265,Zero value,NULL,Zero value,8758,8771,0,NULL
2009,42039.73265,Less than $250 thousand,$250 thousand - <$1 million,Zero value,83,291,13050024.87,292
2009,42039.73265,$250 thousand - <$1 million,$5 - <$25 million,Zero value,1,5,346000,5
2006,42039.73265,Less than $250 thousand,Less than $250 thousand,Greater than $500 million,3,3,300000,3
2012,42039.73265,Less than $250 thousand,Less than $250 thousand,$1 - <$5 million,223,452,36097764.77,457
2006,42039.73265,Less than $250 thousand,$1 - <$5 million,$5 - <$25 million,103,131,6069599.23,138
2013,42039.73265,Zero value,$5 - <$25 million,$1 - <$5 million,1,3,0,3
2010,42039.73265,$25 - <$100 million,$25 - <$100 million,$100 - <$500 million,38,606,1958835913,733
2006,42039.73265,Zero value,NULL,$1 - <$5 million,1253,1819,0,NULL
2011,42039.73265,$250 thousand - <$1 million,$250 thousand - <$1 million,Deobligation,803,2957,405404364.5,3003
2000,42039.73265,Less than $250 thousand,Less than $250 thousand,Zero value,4,4,44409.84,4
2008,42039.73265,$25 - <$100 million,$25 - <$100 million,$5 - <$25 million,10,149,355665795.8,151
2013,42039.73265,Greater than $500 million,Greater than $500 million,$5 - <$25 million,1,41,747655894,41
2013,42039.73265,$100 - <$500 million,$25 - <$100 million,Deobligation,1,31,104471833.3,31
2001,42039.73265,Less than $250 thousand,Zero value,Zero value,195821,217949,13137716178,219292
2011,42039.73265,$5 - <$25 million,$5 - <$25 million,$5 - <$25 million,4948,22532,50690791267,6836433
2013,42039.73265,Less than $250 thousand,Less than $250 thousand,Less than $250 thousand,727684,842080,19353386028,1259277
2006,42039.73265,$250 thousand - <$1 million,$250 thousand - <$1 million,$5 - <$25 million,35,62,23993885.91,65
2004,42039.73265,$5 - <$25 million,$5 - <$25 million,$5 - <$25 million,37,117,383378216.7,130
2014,42039.73265,$25 - <$100 million,$5 - <$25 million,Zero value,4,49,112103238.8,68
2010,42039.73265,Zero value,$250 thousand - <$1 million,Deobligation,2,3,0,3
2013,42039.73265,$5 - <$25 million,$5 - <$25 million,$100 - <$500 million,19,188,216626443.7,231
2006,42039.73265,$25 - <$100 million,$25 - <$100 million,$25 - <$100 million,185,495,7780124282,3255
2011,42039.73265,$5 - <$25 million,$250 thousand - <$1 million,Less than $250 thousand,1,6,5336392,6
2010,42039.73265,$25 - <$100 million,$25 - <$100 million,$5 - <$25 million,33,699,1642015332,1312
2013,42039.73265,Less than $250 thousand,$250 thousand - <$1 million,$5 - <$25 million,8,19,1011492.256,19
2014,42039.73265,$5 - <$25 million,$250 thousand - <$1 million,Zero value,2,14,12686750.58,26
2005,42039.73265,$25 - <$100 million,$5 - <$25 million,Zero value,1,44,29198086.71,44
2014,42039.73265,$250 thousand - <$1 million,$250 thousand - <$1 million,Less than $250 thousand,741,2739,382411037.6,2763
2011,42039.73265,Greater than $500 million,Greater than $500 million,$1 - <$5 million,1,20,519450258,20
2008,42039.73265,$250 thousand - <$1 million,$250 thousand - <$1 million,$5 - <$25 million,78,158,54336453.22,329
2006,42039.73265,Zero value,$5 - <$25 million,$5 - <$25 million,54,76,0,76
2012,42039.73265,$1 - <$5 million,$5 - <$25 million,$250 thousand - <$1 million,10,106,38746458.35,106
2004,42039.73265,$5 - <$25 million,$1 - <$5 million,$5 - <$25 million,1,6,16393694,6
2002,42039.73265,$100 - <$500 million,Zero value,Zero value,120,2229,24570059290,2770
2012,42039.73265,Greater than $500 million,Greater than $500 million,Greater than $500 million,51,1303,58845415881,1369
2012,42039.73265,$100 - <$500 million,$100 - <$500 million,Deobligation,5,70,998884507.5,96
2014,42039.73265,$250 thousand - <$1 million,Deobligation,Less than $250 thousand,1,4,866204.5625,4
2005,42039.73265,$100 - <$500 million,Zero value,Greater than $500 million,2,3,794454206,3
2002,42039.73265,$250 thousand - <$1 million,Deobligation,Deobligation,1,1,278551,1
2008,42039.73265,$25 - <$100 million,$25 - <$100 million,$100 - <$500 million,28,198,1310114678,200
2007,42039.73265,$250 thousand - <$1 million,$5 - <$25 million,$5 - <$25 million,138,443,85219973.86,457
2008,42039.73265,Deobligation,$250 thousand - <$1 million,Zero value,5,12,-252548.22,12
