fiscal_year,Query_Run_Date,SingleYearObligatedAmount,SingleYearbaseandexercisedoptionsvalue,SingleYearMaxOfbaseandalloptions,CountOfPIID,CountofModnumber,SumOfobligatedAmount,SumOfnumberOfActions
2008,04-Feb-15,$1 - <$5 million,$5 - <$25 million,$5 - <$25 million,493,1988,1378596331,2131
2009,04-Feb-15,$250 thousand - <$1 million,$5 - <$25 million,$5 - <$25 million,106,282,65380165.64,308
2008,04-Feb-15,Zero value,$250 thousand - <$1 million,Zero value,11,21,0,21
2014,04-Feb-15,$5 - <$25 million,$25 - <$100 million,$1 - <$5 million,3,33,43996013.57,33
2008,04-Feb-15,Zero value,NULL,$1 - <$5 million,2912,5318,0,NULL
2014,04-Feb-15,$250 thousand - <$1 million,$25 - <$100 million,$25 - <$100 million,3,6,2165075,6
2011,04-Feb-15,Zero value,Less than $250 thousand,Less than $250 thousand,3220,3668,0,3705
2007,04-Feb-15,Zero value,Zero value,Less than $250 thousand,111,203,0,203
2008,42039.73265,$5 - <$25 million,Less than $250 thousand,Less than $250 thousand,12,94,132695222.3,94
2009,04-Feb-15,$25 - <$100 million,$100 - <$500 million,Zero value,1,4,40882135.54,4
2009,04-Feb-15,Less than $250 thousand,$5 - <$25 million,$100 - <$500 million,1,1,94000,4
2007,04-Feb-15,$25 - <$100 million,$25 - <$100 million,Deobligation,2,30,131363133,31
2014,04-Feb-15,$25 - <$100 million,$25 - <$100 million,$250 thousand - <$1 million,10,82,500155903.5,102
2002,04-Feb-15,$250 thousand - <$1 million,$250 thousand - <$1 million,$5 - <$25 million,1,2,495546,2
2002,04-Feb-15,Zero value,$250 thousand - <$1 million,$1 - <$5 million,2,2,0,2
2013,04-Feb-15,Greater than $500 million,$25 - <$100 million,$25 - <$100 million,1,19,535071752,37
2001,04-Feb-15,Zero value,Zero value,Zero value,961,1611,0,1640
2007,42039.73265,Less than $250 thousand,Zero value,Deobligation,4,18,107824,18
2012,04-Feb-15,$1 - <$5 million,Deobligation,Deobligation,157,981,347426032.8,1094
2010,04-Feb-15,$250 thousand - <$1 million,$250 thousand - <$1 million,$25 - <$100 million,3,4,1972607.84,4
2008,04-Feb-15,$100 - <$500 million,Zero value,Zero value,113,3618,23783808107,3637
2010,04-Feb-15,$25 - <$100 million,$250 thousand - <$1 million,$250 thousand - <$1 million,5,44,212005258.3,46
2007,04-Feb-15,Less than $250 thousand,$5 - <$25 million,$25 - <$100 million,33,50,2228801.61,56
2012,04-Feb-15,$250 thousand - <$1 million,$250 thousand - <$1 million,$100 - <$500 million,4,5,1628174.28,5
2000,04-Feb-15,Zero value,$5 - <$25 million,$5 - <$25 million,1,1,0,1
2006,04-Feb-15,$1 - <$5 million,$100 - <$500 million,$100 - <$500 million,5,8,13544370.35,8
2009,42039.73265,Less than $250 thousand,$5 - <$25 million,Deobligation,1,2,211778.69,2
2006,42039.73265,Deobligation,NULL,$5 - <$25 million,1,9,-261637,NULL
2008,04-Feb-15,$5 - <$25 million,$25 - <$100 million,$100 - <$500 million,46,498,479870638.7,556
2009,04-Feb-15,Zero value,NULL,$100 - <$500 million,425,1081,0,NULL
2007,04-Feb-15,Less than $250 thousand,Deobligation,Zero value,5,15,484442.02,15
2005,04-Feb-15,$5 - <$25 million,$25 - <$100 million,$5 - <$25 million,1,9,6138003.47,9
2002,04-Feb-15,$5 - <$25 million,$5 - <$25 million,Deobligation,1,11,15933470.98,11
2013,04-Feb-15,Less than $250 thousand,Less than $250 thousand,Zero value,9128,14376,455694361.4,14395
2013,04-Feb-15,$250 thousand - <$1 million,$25 - <$100 million,Zero value,1,4,311881,4
2009,04-Feb-15,$5 - <$25 million,$5 - <$25 million,$100 - <$500 million,14,101,181368367.9,122
2013,42039.73265,$1 - <$5 million,Less than $250 thousand,Zero value,1,6,3438221.859,6
2011,04-Feb-15,$1 - <$5 million,Less than $250 thousand,Zero value,7,58,13645284.81,61
2006,04-Feb-15,$5 - <$25 million,$25 - <$100 million,$25 - <$100 million,39,278,529418996.2,284
2011,04-Feb-15,$1 - <$5 million,Deobligation,Less than $250 thousand,2,12,6327053.09,12
2013,04-Feb-15,$1 - <$5 million,Zero value,$1 - <$5 million,2,9,4358194.813,9
2014,04-Feb-15,$1 - <$5 million,$25 - <$100 million,Less than $250 thousand,1,8,2207926.719,8
2007,04-Feb-15,$1 - <$5 million,Zero value,Zero value,4819,26516,10549186319,26729
2007,04-Feb-15,Zero value,Zero value,$1 - <$5 million,13,43,0,43
2014,04-Feb-15,$1 - <$5 million,$5 - <$25 million,$100 - <$500 million,2,2,3378012,5
2002,42039.73265,$250 thousand - <$1 million,$250 thousand - <$1 million,Zero value,1,7,727000,7
2007,04-Feb-15,$25 - <$100 million,$25 - <$100 million,$25 - <$100 million,619,4073,26896541826,12482
2010,04-Feb-15,Zero value,Zero value,$5 - <$25 million,5,8,0,8
2009,04-Feb-15,$1 - <$5 million,$1 - <$5 million,Greater than $500 million,1,2,1215368,2
2012,04-Feb-15,$5 - <$25 million,$5 - <$25 million,$100 - <$500 million,16,116,254390481,129
2008,04-Feb-15,Less than $250 thousand,$25 - <$100 million,$25 - <$100 million,63,112,3796750.4,112
2009,04-Feb-15,Zero value,$5 - <$25 million,Less than $250 thousand,1,3,0,3
2006,04-Feb-15,Less than $250 thousand,Less than $250 thousand,Zero value,567,1118,37732308.76,1124
2004,04-Feb-15,$250 thousand - <$1 million,$1 - <$5 million,$5 - <$25 million,10,27,5407823.35,30
2013,04-Feb-15,$25 - <$100 million,$5 - <$25 million,Zero value,3,70,79781950.86,78
2010,04-Feb-15,$100 - <$500 million,$100 - <$500 million,Zero value,2,33,225993903.6,58
2009,04-Feb-15,$5 - <$25 million,Deobligation,$25 - <$100 million,2,10,20824798.63,17
2011,04-Feb-15,Less than $250 thousand,Less than $250 thousand,$25 - <$100 million,10,13,381659.04,13
2011,04-Feb-15,$25 - <$100 million,$1 - <$5 million,$1 - <$5 million,13,171,639723690.5,206
2008,04-Feb-15,$1 - <$5 million,$1 - <$5 million,$100 - <$500 million,5,7,17116261.1,7
2012,04-Feb-15,Zero value,$1 - <$5 million,Zero value,12,27,0,28
2014,04-Feb-15,$100 - <$500 million,$100 - <$500 million,$5 - <$25 million,7,138,1557957927,162
1993,42039.73265,Zero value,NULL,NULL,243,490,0,3
2004,04-Feb-15,Greater than $500 million,Zero value,Zero value,32,1137,34764502904,24504
2013,04-Feb-15,$1 - <$5 million,$1 - <$5 million,$250 thousand - <$1 million,313,1836,695022617.4,1864
2007,04-Feb-15,$250 thousand - <$1 million,$250 thousand - <$1 million,$100 - <$500 million,8,17,3297766.85,17
2002,04-Feb-15,Less than $250 thousand,Zero value,Zero value,285153,329021,15384813623,330386
2001,04-Feb-15,Zero value,$1 - <$5 million,$1 - <$5 million,1,1,0,1
2001,04-Feb-15,$25 - <$100 million,Zero value,Zero value,528,6122,24286074823,6813
2012,04-Feb-15,Less than $250 thousand,Deobligation,Zero value,15,38,783705.1,38
2013,04-Feb-15,Deobligation,Zero value,Zero value,9298,11268,-1446043508,11460
2006,42039.73265,$25 - <$100 million,$100 - <$500 million,$100 - <$500 million,11,114,594360047.4,116
2012,42039.73265,$100 - <$500 million,Greater than $500 million,Greater than $500 million,9,93,2348863689,93
2012,04-Feb-15,$5 - <$25 million,$1 - <$5 million,Zero value,15,121,90194340.72,139
2006,04-Feb-15,$5 - <$25 million,$250 thousand - <$1 million,$5 - <$25 million,2,15,16802805.85,15
2000,04-Feb-15,Zero value,$250 thousand - <$1 million,$250 thousand - <$1 million,4,4,0,4
2004,04-Feb-15,$250 thousand - <$1 million,$250 thousand - <$1 million,Zero value,8,11,4628976.82,11
2014,04-Feb-15,Zero value,NULL,$100 - <$500 million,432,918,0,NULL
2012,04-Feb-15,$1 - <$5 million,$1 - <$5 million,$5 - <$25 million,787,2228,2064170964,2396
2013,04-Feb-15,$100 - <$500 million,$100 - <$500 million,$25 - <$100 million,10,416,1745622840,416
2013,04-Feb-15,$250 thousand - <$1 million,Zero value,Zero value,1592,5326,802316098.1,5457
2009,42039.73265,Deobligation,Deobligation,$1 - <$5 million,2,4,-64964.3,4
2002,04-Feb-15,$25 - <$100 million,$25 - <$100 million,$100 - <$500 million,1,9,37283404,13
2008,04-Feb-15,$100 - <$500 million,$1 - <$5 million,$1 - <$5 million,4,61,822450135.3,69
2010,04-Feb-15,Deobligation,Less than $250 thousand,Zero value,8,16,-317237.65,16
2013,04-Feb-15,Deobligation,$1 - <$5 million,$1 - <$5 million,21,121,-72706439.42,122
2013,04-Feb-15,$25 - <$100 million,$100 - <$500 million,$100 - <$500 million,20,232,1407121713,237
2010,04-Feb-15,$5 - <$25 million,$25 - <$100 million,Less than $250 thousand,2,81,11534182.75,83
2007,04-Feb-15,Deobligation,$25 - <$100 million,$1 - <$5 million,1,1,-775.26,1
2006,04-Feb-15,$25 - <$100 million,Zero value,$100 - <$500 million,1,4,34610108,4
2003,42039.73265,$5 - <$25 million,$5 - <$25 million,Zero value,5,73,49961879.45,73
2010,04-Feb-15,Zero value,$1 - <$5 million,$5 - <$25 million,27,37,0,41
2008,04-Feb-15,Deobligation,Less than $250 thousand,Zero value,5,13,-185146.17,13
2010,04-Feb-15,$250 thousand - <$1 million,$250 thousand - <$1 million,Less than $250 thousand,773,2913,396738273.5,2932
2006,04-Feb-15,$25 - <$100 million,$5 - <$25 million,Less than $250 thousand,1,6,41193883,7
2005,04-Feb-15,$1 - <$5 million,Zero value,$250 thousand - <$1 million,1,3,2750633,4
2010,04-Feb-15,Deobligation,$1 - <$5 million,$5 - <$25 million,1,1,-5826.09,1
2006,04-Feb-15,Deobligation,$250 thousand - <$1 million,$250 thousand - <$1 million,28,40,-1053858.95,40
2005,04-Feb-15,Less than $250 thousand,Greater than $500 million,Greater than $500 million,1,1,4424.65,1
2005,42039.73265,$5 - <$25 million,$25 - <$100 million,$25 - <$100 million,13,33,175891973.7,33
2011,04-Feb-15,$250 thousand - <$1 million,Greater than $500 million,Greater than $500 million,32,75,20006872.69,75
1998,04-Feb-15,$100 - <$500 million,NULL,NULL,103,3452,20005564846,3491
2009,04-Feb-15,$250 thousand - <$1 million,$1 - <$5 million,$1 - <$5 million,878,2366,550126655.5,2737
2010,04-Feb-15,$250 thousand - <$1 million,$1 - <$5 million,$250 thousand - <$1 million,31,165,21310956.15,166
2007,04-Feb-15,Less than $250 thousand,$5 - <$25 million,$5 - <$25 million,313,552,20372452.88,1708
2006,04-Feb-15,Zero value,$1 - <$5 million,Deobligation,1,3,0,3
2007,04-Feb-15,Deobligation,Deobligation,Deobligation,7499,9938,-519737401.7,9954
2014,04-Feb-15,Deobligation,$250 thousand - <$1 million,Zero value,5,22,-909350.2146,22
2014,42039.73265,Zero value,$100 - <$500 million,$100 - <$500 million,1,2,0,2
2008,42039.73265,Less than $250 thousand,$5 - <$25 million,Deobligation,1,2,51726,2
2011,42039.73265,$1 - <$5 million,$5 - <$25 million,$25 - <$100 million,62,332,201165400.3,406
2007,42039.73265,$5 - <$25 million,$5 - <$25 million,$1 - <$5 million,24,203,230222170.4,203
2006,42039.73265,$100 - <$500 million,$5 - <$25 million,$5 - <$25 million,3,44,510853961.3,45
2011,42039.73265,Zero value,$250 thousand - <$1 million,$5 - <$25 million,3,6,0,6
2002,42039.73265,Zero value,Zero value,Zero value,1565,2845,0,2879
2013,42039.73265,$25 - <$100 million,$100 - <$500 million,$25 - <$100 million,1,23,26887870.2,23
2004,42039.73265,$250 thousand - <$1 million,Less than $250 thousand,$1 - <$5 million,1,4,573400,4
2010,42039.73265,$100 - <$500 million,Deobligation,Deobligation,2,34,505293839.1,34
2013,42039.73265,$5 - <$25 million,Zero value,$250 thousand - <$1 million,1,10,23985530.31,18
2001,42039.73265,Zero value,$5 - <$25 million,$5 - <$25 million,1,1,0,1
2014,42039.73265,$250 thousand - <$1 million,Deobligation,Zero value,5,10,3055075.438,10
2003,42039.73265,$5 - <$25 million,Greater than $500 million,Greater than $500 million,1,2,7836237,2
2010,42039.73265,$5 - <$25 million,$5 - <$25 million,$250 thousand - <$1 million,71,591,658479048.8,620
2011,42039.73265,Less than $250 thousand,$25 - <$100 million,Deobligation,1,3,30089.04,3
2014,42039.73265,$250 thousand - <$1 million,$250 thousand - <$1 million,Greater than $500 million,1,2,674244.45,2
2013,42039.73265,$5 - <$25 million,$25 - <$100 million,$1 - <$5 million,4,49,90494746.23,49
2008,42039.73265,$25 - <$100 million,$25 - <$100 million,Deobligation,8,129,252825058.5,130
2006,42039.73265,$1 - <$5 million,Less than $250 thousand,$250 thousand - <$1 million,4,25,7999977,25
2003,42039.73265,Deobligation,Deobligation,Deobligation,13,16,-286296.59,16
2012,42039.73265,Zero value,$25 - <$100 million,$100 - <$500 million,2,3,0,3
2006,42039.73265,$25 - <$100 million,Zero value,$25 - <$100 million,8,9,495130590,9
2003,42039.73265,Less than $250 thousand,$1 - <$5 million,$1 - <$5 million,7,10,476335.78,10
2007,42039.73265,$5 - <$25 million,$25 - <$100 million,Deobligation,1,48,21702558.34,48
2011,42039.73265,Deobligation,Deobligation,$1 - <$5 million,2,3,-19754.17,7
2007,42039.73265,Greater than $500 million,Zero value,Greater than $500 million,1,23,3576158705,26
1995,42039.73265,$5 - <$25 million,NULL,NULL,2531,38602,26552233520,39371
2007,42039.73265,$5 - <$25 million,$1 - <$5 million,$1 - <$5 million,23,228,224904748.1,238
2013,42039.73265,$1 - <$5 million,Greater than $500 million,Greater than $500 million,18,61,30049902.06,61
2013,42039.73265,Less than $250 thousand,Zero value,Deobligation,9,22,782859.7578,22
NULL,42039.73265,NULL,NULL,NULL,4,4,NULL,NULL
2010,42039.73265,$5 - <$25 million,$1 - <$5 million,$250 thousand - <$1 million,2,17,11467111.44,18
2002,42039.73265,$250 thousand - <$1 million,Zero value,$5 - <$25 million,1,1,859743.43,1
2011,42039.73265,Zero value,$5 - <$25 million,$25 - <$100 million,10,17,0,19
2011,42039.73265,$25 - <$100 million,$100 - <$500 million,Greater than $500 million,3,18,128851061.4,24
2005,42039.73265,Less than $250 thousand,$250 thousand - <$1 million,Zero value,3,6,341441,6
2011,42039.73265,$250 thousand - <$1 million,Less than $250 thousand,Less than $250 thousand,314,1446,154280450.3,1455
2003,42039.73265,Zero value,NULL,Greater than $500 million,29,29,0,NULL
2006,42039.73265,$1 - <$5 million,$1 - <$5 million,Zero value,54,199,105384603.7,199
2011,42039.73265,$25 - <$100 million,$5 - <$25 million,Zero value,8,162,249858611.8,222
2006,42039.73265,Less than $250 thousand,Zero value,$250 thousand - <$1 million,9,16,741251.2,16
2001,42039.73265,$1 - <$5 million,$1 - <$5 million,$250 thousand - <$1 million,1,3,1487410,3
2009,42039.73265,Greater than $500 million,Greater than $500 million,$25 - <$100 million,1,14,943197336,14
2014,42039.73265,Zero value,Zero value,$25 - <$100 million,4,8,0,8
2004,42039.73265,$250 thousand - <$1 million,$250 thousand - <$1 million,$1 - <$5 million,24,49,13596813.38,49
2012,42039.73265,$25 - <$100 million,Greater than $500 million,Greater than $500 million,3,6,147939841.9,6
2007,42039.73265,Less than $250 thousand,$250 thousand - <$1 million,$5 - <$25 million,5,18,833836,18
2012,42039.73265,$25 - <$100 million,$25 - <$100 million,$5 - <$25 million,33,1057,1417007305,1129
2007,42039.73265,Deobligation,$100 - <$500 million,$100 - <$500 million,4,16,-1176587.14,16
2009,42039.73265,$1 - <$5 million,Deobligation,$1 - <$5 million,4,20,7440105.87,20
