SubCustomer,ServicesCategory,VendorSize,SumOfobligatedAmount,SumOfnumberOfActions,Legacy
Army,ICT,Small,-171000,NULL,Professional Service
Navy,FRS&C,Medium <1B,25000,NULL,Professional Service
Navy,PAMS,Medium <1B,283000,NULL,Professional Service
Army,FRS&C,Small,6795000,NULL,Other Service
Army,Unlabeled,Medium <1B,NULL,NULL,Professional Service
Navy,ERS,Large,10629000,NULL,Professional Service
Navy,ICT,Large: Big 6,727000,NULL,Professional Service
Navy,Products,Large,166101000,NULL,Professional Service
Other DoD,ERS,Medium <1B,762000,NULL,Professional Service
Other DoD,ICT,Small,1621000,NULL,Professional Service
Air Force,ERS,Large: Big 6,242670000,NULL,Professional Service
Air Force,FRS&C,Large (Small Subsidiary),373000,NULL,Professional Service
Air Force,Fuel,Large,224000,NULL,Professional Service
Air Force,Fuel,Medium >1B,56483000,NULL,Professional Service
Air Force,Products,Medium >1B,141573000,NULL,Professional Service
Air Force,Unlabeled,Large: Big 6,NULL,NULL,Professional Service
Army,ERS,Large: Big 6,12328000,NULL,Professional Service
Army,FRS&C,Large,117669000,NULL,Professional Service
Army,Fuel,Medium >1B (Small Subsidiary),268000,NULL,Professional Service
Army,PAMS,Large (Small Subsidiary),4760000,NULL,Professional Service
Army,PAMS,Medium <1B,778027000,NULL,Professional Service
Army,Products,Large: Big 6,1777617000,NULL,Professional Service
Army,R&D,Large (Small Subsidiary),95000,NULL,Professional Service
Army,R&D,Large: Big 6 (Small Subsidiary),233000,NULL,Professional Service
Army,R&D,Medium <1B,920010000,NULL,Professional Service
DLA,Fuel,Medium >1B,1913000,NULL,Professional Service
DLA,Fuel,Medium >1B (Small Subsidiary),4410000,NULL,Professional Service
DLA,PAMS,Medium <1B,19224000,NULL,Professional Service
DLA,Products,Large: Big 6,10060000,NULL,Professional Service
DLA,R&D,Medium <1B,14873000,NULL,Professional Service
Navy,FRS&C,Large (Small Subsidiary),1434000,NULL,Professional Service
Navy,FRS&C,Medium <1B,488343248,NULL,Professional Service
Navy,Fuel,Small,2608000,NULL,Professional Service
Navy,PAMS,Large: Big 6,384975000,NULL,Professional Service
Navy,R&D,Large: Big 6,511896000,NULL,Professional Service
Other DoD,FRS&C,Large,38000,NULL,Professional Service
Other DoD,FRS&C,Medium >1B,351000,NULL,Professional Service
Other DoD,FRS&C,Small,14821000,NULL,Professional Service
Other DoD,ICT,Medium <1B,140794000,NULL,Professional Service
Other DoD,MED,Medium <1B,350066000,NULL,Professional Service
Other DoD,PAMS,Large,46598000,NULL,Professional Service
Other DoD,PAMS,Small,55631000,NULL,Professional Service
Other DoD,R&D,Small,193389000,NULL,Professional Service
Air Force,FRS&C,Medium <1B,60951000,NULL,Other Service
Air Force,FRS&C,Small,1310142000,NULL,Professional Service
Air Force,ICT,Medium >1B (Small Subsidiary),1928000,NULL,Professional Service
Air Force,MED,Large,292000,NULL,Other Service
Army,FRS&C,Large,13301000,NULL,Other Service
Army,FRS&C,Small,1332858000,NULL,Other Service
Army,ICT,Large (Small Subsidiary),96000,NULL,Professional Service
Army,ICT,Large: Big 6,18782000,NULL,Professional Service
Army,ICT,Medium <1B,394492000,NULL,Professional Service
Army,Products,Medium >1B (Small Subsidiary),11717000,NULL,Professional Service
Army,Products,Unlabeled,374074000,NULL,Professional Service
DLA,FRS&C,Small,6432000,NULL,Other Service
DLA,ICT,Medium <1B,22786000,NULL,Professional Service
DLA,PAMS,Small,4024000,NULL,Professional Service
Navy,ERS,Large,1535817384,NULL,Professional Service
Navy,ICT,Medium >1B,6623000,NULL,Professional Service
Navy,ICT,Medium >1B (Small Subsidiary),1510000,NULL,Professional Service
Navy,MED,Small,25909983,NULL,Other Service
Navy,PAMS,Large: Big 6 JV,4317000,NULL,Professional Service
Navy,Products,Large (Small Subsidiary),5646511,NULL,Professional Service
Navy,Products,Large: Big 6 (Small Subsidiary),3526000,NULL,Professional Service
Navy,Products,Medium <1B,5000614480,1,Professional Service
Navy,R&D,Large: Big 6 JV,76790000,NULL,Professional Service
Other DoD,FRS&C,Small,611000,NULL,Other Service
Other DoD,ICT,Small,218906000,NULL,Professional Service
Other DoD,Products,Medium >1B,439000,NULL,Professional Service
Army,FRS&C,Medium <1B,-35000,NULL,Professional Service
Navy,Products,Small,2326000,NULL,Professional Service
Other DoD,R&D,Medium <1B,200000,NULL,Professional Service
Army,MED,Small,51000,NULL,Other Service
Army,Products,Medium <1B,176614000,NULL,Professional Service
Navy,ERS,Medium <1B,433698000,NULL,Professional Service
Navy,FRS&C,Small,60800000,NULL,Other Service
Navy,Products,Medium >1B,21115000,NULL,Professional Service
Other DoD,Products,Medium <1B,1669000,NULL,Professional Service
Other DoD,R&D,Large,9807000,NULL,Professional Service
Air Force,ERS,Large,606249000,NULL,Professional Service
Air Force,ERS,Medium >1B,50419000,NULL,Professional Service
Air Force,ERS,Unlabeled,31000,NULL,Professional Service
Air Force,FRS&C,Large,278721000,NULL,Professional Service
Air Force,Fuel,Medium <1B,37499000,NULL,Professional Service
Air Force,Products,Large: Big 6,4008516000,NULL,Professional Service
Air Force,R&D,Large (Small Subsidiary),1373000,NULL,Professional Service
Air Force,R&D,Medium <1B,1760399000,NULL,Professional Service
Air Force,R&D,Small,411560000,NULL,Professional Service
Army,FRS&C,Large (Small Subsidiary),2391000,NULL,Professional Service
Army,FRS&C,Medium <1B,923936000,NULL,Professional Service
Army,PAMS,Large,300000000,NULL,Professional Service
Army,PAMS,Medium >1B,90144000,NULL,Professional Service
Army,PAMS,Small,432436000,NULL,Professional Service
Army,Products,Large,6759860000,NULL,Professional Service
Army,Products,Medium >1B,120534000,NULL,Professional Service
DLA,ERS,Small,37203000,NULL,Professional Service
DLA,FRS&C,Large (Small Subsidiary),50000,NULL,Professional Service
DLA,PAMS,Large,8163000,NULL,Professional Service
DLA,PAMS,Medium >1B,93000,NULL,Professional Service
DLA,Products,Large,260676000,NULL,Professional Service
DLA,Products,Medium >1B,5602000,NULL,Professional Service
