SubCustomer,ServicesCategory,VendorSize,SumOfobligatedAmount,SumOfnumberOfActions,Legacy
Navy,FRS&C,Medium >1B (Small Subsidiary),39000,NULL,Professional Service
Navy,MED,Medium <1B,1387000,NULL,Professional Service
Navy,PAMS,Medium <1B,1780952656,2,Professional Service
Navy,Products,Small,1411764438,NULL,Professional Service
Navy,R&D,Large,3329246000,NULL,Professional Service
Navy,R&D,Medium >1B,62188000,NULL,Professional Service
Navy,R&D,Medium >1B (Small Subsidiary),35000,NULL,Professional Service
Other DoD,FRS&C,Medium <1B,10476000,NULL,Professional Service
Other DoD,PAMS,Medium >1B,98293000,NULL,Professional Service
Other DoD,R&D,Large: Big 6,22895000,NULL,Professional Service
Other DoD,R&D,Medium <1B,629418000,NULL,Professional Service
Air Force,FRS&C,Large: Big 6,26758000,NULL,Professional Service
Air Force,FRS&C,Medium <1B,2121941000,NULL,Professional Service
Air Force,MED,Small,282000,NULL,Professional Service
Air Force,PAMS,Small,479872000,NULL,Professional Service
Air Force,R&D,Large: Big 6,829310000,NULL,Professional Service
Army,FRS&C,Medium >1B,126921000,NULL,Other Service
Army,ICT,Small,147045000,NULL,Professional Service
Army,PAMS,Large: Big 6,226514000,NULL,Professional Service
Army,R&D,Large: Big 6 JV,256592000,NULL,Professional Service
DLA,ICT,Large,14432000,NULL,Professional Service
DLA,ICT,Small,20228000,NULL,Professional Service
Navy,ERS,Large (Small Subsidiary),310000,NULL,Professional Service
Navy,ERS,Medium <1B,2925700457,NULL,Professional Service
Navy,FRS&C,Small,583698709,NULL,Other Service
Navy,ICT,Large: Big 6,7706000,NULL,Professional Service
Navy,Products,Large,11787523852,2,Professional Service
Navy,Products,Medium >1B,194298158,NULL,Professional Service
Navy,Products,Medium >1B (Small Subsidiary),312000,NULL,Professional Service
Other DoD,ERS,Large,1753000,NULL,Professional Service
Other DoD,Products,Medium <1B,153903000,NULL,Professional Service
Other DoD,R&D,Large (Small Subsidiary),260000,NULL,Professional Service
Air Force,ERS,Large,1025323589,NULL,Professional Service
Air Force,FRS&C,Large (Small Subsidiary),2538296,NULL,Professional Service
Air Force,Fuel,Medium <1B,40486694,NULL,Professional Service
Air Force,Products,Large: Big 6,7089768493,NULL,Professional Service
Air Force,R&D,Large (Small Subsidiary),1598526,NULL,Professional Service
Navy,Unlabeled,Medium <1B,NULL,NULL,Professional Service
Army,ICT,Medium <1B,73000,NULL,Professional Service
Navy,ICT,Large,57000,NULL,Professional Service
Navy,MED,Small,25000,NULL,Other Service
Navy,Products,Medium <1B,109670,NULL,Professional Service
Other DoD,Products,Large,44000,NULL,Professional Service
Army,PAMS,Medium <1B,456000,NULL,Professional Service
Army,R&D,Large,14492000,NULL,Professional Service
Navy,ERS,Small,34583000,NULL,Professional Service
Navy,FRS&C,Large,55000,NULL,Professional Service
Navy,FRS&C,Medium <1B,52808000,NULL,Other Service
Navy,FRS&C,Small,142360000,NULL,Professional Service
Navy,Fuel,Medium <1B,39000,NULL,Professional Service
Navy,PAMS,Large,17167000,NULL,Professional Service
Navy,PAMS,Medium >1B,3096000,NULL,Professional Service
Navy,PAMS,Medium >1B (Small Subsidiary),600000,NULL,Professional Service
Navy,R&D,Small,4493000,NULL,Professional Service
Other DoD,ICT,Large,1657000,NULL,Professional Service
Air Force,FRS&C,Large,69813000,NULL,Other Service
Air Force,FRS&C,Small,61537000,NULL,Other Service
Air Force,Fuel,Small,457000,NULL,Professional Service
Air Force,ICT,Large (Small Subsidiary),118000,NULL,Professional Service
Air Force,ICT,Medium <1B,441838000,NULL,Professional Service
Air Force,MED,Medium <1B,11436000,NULL,Other Service
Air Force,PAMS,Large: Big 6,228042000,NULL,Professional Service
Air Force,Products,Medium >1B (Small Subsidiary),203000,NULL,Professional Service
Air Force,Unlabeled,Medium <1B,NULL,NULL,Professional Service
Army,ERS,Large (Small Subsidiary),92000,NULL,Professional Service
Army,ERS,Medium <1B,477428000,NULL,Professional Service
Army,FRS&C,Large (Small Subsidiary),189000,NULL,Other Service
Army,FRS&C,Medium <1B,1459249000,NULL,Other Service
Army,FRS&C,Small,749927000,NULL,Professional Service
Army,MED,Large,36000,NULL,Other Service
Army,Products,Unlabeled,284038000,NULL,Professional Service
DLA,ERS,Large (Small Subsidiary),241000,NULL,Professional Service
DLA,ERS,Medium <1B,65733000,NULL,Professional Service
DLA,FRS&C,Medium <1B,54000,NULL,Other Service
DLA,FRS&C,Small,37849000,NULL,Professional Service
Navy,ERS,Medium >1B,1247522000,NULL,Professional Service
Navy,FRS&C,Large: Big 6,4346000,NULL,Professional Service
Navy,FRS&C,Medium >1B,1339000,NULL,Other Service
Navy,Fuel,Large,81000,NULL,Professional Service
Navy,ICT,Large,268242000,NULL,Professional Service
Navy,ICT,Medium >1B,5112000,NULL,Professional Service
Navy,ICT,Small,312016799,1,Professional Service
Navy,MED,Medium <1B,108079000,NULL,Other Service
Navy,MED,Small,13641000,NULL,Other Service
Navy,MED,Small,3851000,NULL,Professional Service
Navy,Unlabeled,Large,NULL,NULL,Professional Service
Other DoD,ERS,Medium <1B,3275000,NULL,Professional Service
Other DoD,ERS,Small,2152000,NULL,Professional Service
Other DoD,FRS&C,Medium <1B,655000,NULL,Other Service
Other DoD,FRS&C,Small,67000,NULL,Other Service
Other DoD,ICT,Large: Big 6,470000,NULL,Professional Service
Other DoD,MED,Medium >1B,90000,NULL,Other Service
Other DoD,Products,Large,63153000,NULL,Professional Service
Other DoD,Products,Unlabeled,60928000,NULL,Professional Service
Air Force,ERS,Large: Big 6,84178000,NULL,Professional Service
Air Force,Fuel,Medium >1B,6170000,NULL,Professional Service
Air Force,ICT,Medium >1B,1536000,NULL,Professional Service
Air Force,PAMS,Large (Small Subsidiary),1436000,NULL,Professional Service
Air Force,PAMS,Medium <1B,1583251000,NULL,Professional Service
Air Force,Products,Large (Small Subsidiary),3511000,NULL,Professional Service
Air Force,Products,Medium <1B,3549199000,NULL,Professional Service
Air Force,Products,Small,1065257000,NULL,Professional Service
Air Force,Products,Unlabeled,1810881000,NULL,Professional Service
Army,ERS,Medium >1B,897000,NULL,Professional Service
Army,FRS&C,Large,599105000,NULL,Professional Service
Army,FRS&C,Medium >1B,281172000,NULL,Professional Service
Army,MED,Medium <1B,2961000,NULL,Professional Service
Army,R&D,Large,1356682000,NULL,Professional Service
Air Force,Unlabeled,Medium <1B,259871,1,Professional Service
Navy,ERS,Small,542000,NULL,Professional Service
Army,ICT,Large,70000,NULL,Professional Service
Army,Products,Large,47362000,NULL,Professional Service
Army,Products,Small,19391000,NULL,Professional Service
Navy,ICT,Medium <1B,5599000,NULL,Professional Service
Navy,MED,Medium <1B,72000,NULL,Other Service
Navy,Products,Large: Big 6,11650000,NULL,Professional Service
Other DoD,Products,Small,1254000,NULL,Professional Service
Air Force,ERS,Large (Small Subsidiary),90000,NULL,Professional Service
Air Force,ERS,Medium <1B,509805000,NULL,Professional Service
Air Force,ERS,Small,236880000,NULL,Professional Service
Air Force,FRS&C,Medium >1B,7434000,NULL,Professional Service
Air Force,ICT,Medium >1B,225000,NULL,Professional Service
Air Force,MED,Medium <1B,242000,NULL,Professional Service
Air Force,PAMS,Large,734926000,NULL,Professional Service
Air Force,PAMS,Medium >1B (Small Subsidiary),1396000,NULL,Professional Service
Air Force,R&D,Large,5973182000,NULL,Professional Service
Air Force,R&D,Medium >1B (Small Subsidiary),6503000,NULL,Professional Service
Air Force,Unlabeled,Large,NULL,NULL,Professional Service
Army,ERS,Large,88413000,NULL,Professional Service
Army,ERS,Small,105816000,NULL,Professional Service
Army,FRS&C,Large: Big 6,3582000,NULL,Other Service
Army,FRS&C,Large: Big 6,4691000,NULL,Professional Service
Army,Fuel,Medium <1B,6318000,NULL,Professional Service
Army,Fuel,Small,7266000,NULL,Professional Service
Army,ICT,Large,191076000,NULL,Professional Service
Army,PAMS,Large: Big 6,270966000,NULL,Professional Service
Army,Products,Small,897714000,NULL,Professional Service
DLA,ERS,Large,2569000,NULL,Professional Service
DLA,FRS&C,Medium <1B,54250000,NULL,Professional Service
DLA,Fuel,Medium <1B,2706024000,NULL,Professional Service
DLA,Fuel,Small,267830000,NULL,Professional Service
DLA,Products,Small,710012000,NULL,Professional Service
Navy,ERS,Large: Big 6,98820000,NULL,Professional Service
Navy,ICT,Medium <1B,407471000,NULL,Professional Service
Navy,PAMS,Large (Small Subsidiary),2869000,NULL,Professional Service
Navy,PAMS,Small,969246398,NULL,Professional Service
Navy,Products,Large: Big 6,2709218707,NULL,Professional Service
Other DoD,ICT,Large,54369000,NULL,Professional Service
Other DoD,MED,Large,110957000,NULL,Professional Service
Other DoD,MED,Small,6859000,NULL,Other Service
Other DoD,PAMS,Large: Big 6,57000,NULL,Professional Service
Other DoD,Products,Small,116904000,NULL,Professional Service
Air Force,FRS&C,Medium >1B,13000000,NULL,Other Service
Air Force,FRS&C,Medium >1B,17071000,NULL,Professional Service
Air Force,MED,Medium <1B,18715000,NULL,Other Service
Air Force,MED,Medium <1B,363000,NULL,Professional Service
Air Force,PAMS,Medium >1B,217770000,NULL,Professional Service
Air Force,R&D,Large,5737711000,NULL,Professional Service
Air Force,R&D,Medium >1B (Small Subsidiary),20901000,NULL,Professional Service
Air Force,R&D,Small,336645000,NULL,Professional Service
Army,ERS,Large,315916000,NULL,Professional Service
Army,ERS,Small,196946000,NULL,Professional Service
Army,Fuel,Medium <1B,15879000,NULL,Professional Service
Army,Fuel,Small,2253000,NULL,Professional Service
Army,MED,Medium <1B,102134000,NULL,Other Service
Army,MED,Small,44507000,NULL,Other Service
Army,MED,Small,475000,NULL,Professional Service
Army,PAMS,Medium >1B,225898000,NULL,Professional Service
Army,Products,Large (Small Subsidiary),11085000,NULL,Professional Service
Army,Products,Large: Big 6 (Small Subsidiary),8669000,NULL,Professional Service
Army,Products,Medium <1B,3940310000,NULL,Professional Service
Army,R&D,Medium >1B,266285000,NULL,Professional Service
DLA,Fuel,Medium <1B,2538895000,NULL,Professional Service
DLA,Fuel,Small,893952000,NULL,Professional Service
DLA,MED,Small,102000,NULL,Other Service
DLA,PAMS,Medium >1B,92000,NULL,Professional Service
DLA,Products,Large (Small Subsidiary),635000,NULL,Professional Service
DLA,Products,Large: Big 6 (Small Subsidiary),364000,NULL,Professional Service
Air Force,ERS,Medium >1B,70833969,NULL,Professional Service
Air Force,Fuel,Large,5415950,NULL,Professional Service
Air Force,ICT,Large: Big 6,19726710,NULL,Professional Service
Air Force,Products,Large,6164496743,NULL,Professional Service
Air Force,Products,Medium >1B,99268710,NULL,Professional Service
Air Force,Products,Small,984172985,NULL,Professional Service
Air Force,Products,Unlabeled,2158092104,NULL,Professional Service
Army,ERS,Large: Big 6,26174883,NULL,Professional Service
Army,FRS&C,Large (Small Subsidiary),55706,NULL,Professional Service
Army,FRS&C,Medium <1B,2450926479,NULL,Professional Service
Army,PAMS,Large (Small Subsidiary),3700210,NULL,Professional Service
Army,PAMS,Medium <1B,1427597084,NULL,Professional Service
Army,Products,Medium >1B,434515981,NULL,Professional Service
Army,R&D,Large (Small Subsidiary),112579,NULL,Professional Service
Army,R&D,Large: Big 6 (Small Subsidiary),314808,NULL,Professional Service
Army,R&D,Medium <1B,1671460908,NULL,Professional Service
DLA,FRS&C,Large (Small Subsidiary),494658,NULL,Professional Service
DLA,Fuel,Large,1402372965,NULL,Professional Service
DLA,Fuel,Medium >1B (Small Subsidiary),1277178,NULL,Professional Service
DLA,PAMS,Medium <1B,11561475,NULL,Professional Service
DLA,Products,Medium >1B,1478563,NULL,Professional Service
DLA,R&D,Medium <1B,11065221,NULL,Professional Service
Navy,Fuel,Small,339529,NULL,Professional Service
Navy,MED,Large,1500000,NULL,Professional Service
Navy,PAMS,Medium >1B,266092276,1,Professional Service
Navy,PAMS,Medium >1B (Small Subsidiary),13979085,NULL,Professional Service
Navy,Products,Small,1309504365,5,Professional Service
Navy,R&D,Medium >1B,44535611,NULL,Professional Service
Navy,R&D,Medium >1B (Small Subsidiary),1471864,NULL,Professional Service
Other DoD,FRS&C,Large,715445,NULL,Professional Service
Other DoD,FRS&C,Small,54473090,NULL,Professional Service
Other DoD,PAMS,Large (Small Subsidiary),1424580,NULL,Professional Service
Other DoD,PAMS,Large: Big 6 (Small Subsidiary),505000,NULL,Professional Service
Other DoD,PAMS,Medium <1B,1038290282,NULL,Professional Service
Other DoD,PAMS,Small,68541483,NULL,Professional Service
Other DoD,R&D,Medium <1B,674288786,NULL,Professional Service
Air Force,FRS&C,Medium <1B,1487193051,NULL,Professional Service
Air Force,ICT,Medium >1B (Small Subsidiary),2798715,NULL,Professional Service
Air Force,PAMS,Large: Big 6,328651166,NULL,Professional Service
Air Force,R&D,Large: Big 6,607150984,NULL,Professional Service
Army,FRS&C,Medium <1B,2108039255,NULL,Other Service
Army,FRS&C,Small,1375271172,NULL,Professional Service
Army,ICT,Large: Big 6,181679588,NULL,Professional Service
Army,Products,Unlabeled,109831565,NULL,Professional Service
Army,R&D,Large: Big 6 JV,110905346,NULL,Professional Service
DLA,FRS&C,Medium <1B,703313,NULL,Other Service
DLA,FRS&C,Small,69890063,NULL,Professional Service
DLA,PAMS,Small,1591223,NULL,Professional Service
Navy,ERS,Large (Small Subsidiary),57171,NULL,Professional Service
Navy,ERS,Medium <1B,1437135085,98,Professional Service
Navy,FRS&C,Large: Big 6,5578734,NULL,Professional Service
Navy,ICT,Large,291139717,11,Professional Service
Navy,ICT,Medium >1B,1772686,NULL,Professional Service
Navy,MED,Small,11057503,1,Other Service
Navy,Products,Large (Small Subsidiary),6498410,NULL,Professional Service
Navy,Products,Large: Big 6 (Small Subsidiary),139775,NULL,Professional Service
Navy,Products,Medium <1B,5019106095,175,Professional Service
Other DoD,FRS&C,Small,391448,NULL,Other Service
Other DoD,Products,Large,77765320,NULL,Professional Service
Other DoD,Products,Medium >1B,714792,NULL,Professional Service
Other DoD,Products,Unlabeled,637121160,NULL,Professional Service
Air Force,ERS,Large,1447184709,1559,Professional Service
Air Force,ERS,Medium >1B,67324651,111,Professional Service
Air Force,Fuel,Medium <1B,44606641,145,Professional Service
Air Force,ICT,Large: Big 6,20104014,41,Professional Service
Air Force,Products,Large,10515920872,5110,Professional Service
Air Force,Products,Small,1242803797,5815,Professional Service
Army,ICT,Small,-39000,NULL,Professional Service
Navy,ERS,Large,1817000,NULL,Professional Service
Navy,Products,Large,246000,NULL,Professional Service
Army,FRS&C,Large,8154000,NULL,Professional Service
Army,PAMS,Small,403000,NULL,Professional Service
Army,R&D,Medium <1B,171000,NULL,Professional Service
Army,R&D,Small,320000,NULL,Professional Service
Navy,FRS&C,Medium <1B,41688000,NULL,Professional Service
Navy,PAMS,Large: Big 6,363000,NULL,Professional Service
Navy,PAMS,Medium <1B,38328000,NULL,Professional Service
Navy,R&D,Large: Big 6,2595000,NULL,Professional Service
Other DoD,FRS&C,Large,393000,NULL,Professional Service
Other DoD,ICT,Medium <1B,11241000,NULL,Professional Service
Other DoD,PAMS,Large,3077000,NULL,Professional Service
Other DoD,PAMS,Small,411000,NULL,Professional Service
Other DoD,R&D,Small,9734000,NULL,Professional Service
Air Force,FRS&C,Medium <1B,26986000,NULL,Other Service
Air Force,FRS&C,Small,991811000,NULL,Professional Service
Air Force,PAMS,Small,528333000,NULL,Professional Service
Army,FRS&C,Large,11439000,NULL,Other Service
Army,FRS&C,Small,680557000,NULL,Other Service
Army,ICT,Large (Small Subsidiary),9949000,NULL,Professional Service
Army,ICT,Large: Big 6,3084000,NULL,Professional Service
Army,ICT,Medium <1B,307961000,NULL,Professional Service
Army,Products,Medium >1B (Small Subsidiary),1050000,NULL,Professional Service
Army,Unlabeled,Medium <1B,NULL,NULL,Professional Service
DLA,FRS&C,Small,3225000,NULL,Other Service
DLA,ICT,Medium <1B,15111000,NULL,Professional Service
DLA,PAMS,Small,3755000,NULL,Professional Service
DLA,Unlabeled,Medium <1B,NULL,NULL,Professional Service
Navy,ERS,Large,1113288116,NULL,Professional Service
Navy,ICT,Medium >1B (Small Subsidiary),2162000,NULL,Professional Service
Navy,MED,Large,27000,NULL,Other Service
Navy,Products,Large (Small Subsidiary),1846000,NULL,Professional Service
Navy,Products,Large: Big 6 (Small Subsidiary),229000,NULL,Professional Service
Navy,Products,Medium <1B,4822502979,NULL,Professional Service
Other DoD,ICT,Small,97464000,NULL,Professional Service
Other DoD,Products,Medium >1B,248000,NULL,Professional Service
Other DoD,R&D,Large (Small Subsidiary),35000,NULL,Professional Service
Air Force,ERS,Medium >1B,202589000,NULL,Professional Service
Air Force,ERS,Medium >1B (Small Subsidiary),1377000,NULL,Professional Service
Air Force,FRS&C,Large (Small Subsidiary),98000,NULL,Professional Service
Air Force,Fuel,Large,13371000,NULL,Professional Service
Air Force,ICT,Large: Big 6,32188000,NULL,Professional Service
Air Force,Products,Large,8855233000,NULL,Professional Service
Air Force,Products,Medium >1B,124610000,NULL,Professional Service
Army,ERS,Large: Big 6,43945000,NULL,Professional Service
Army,FRS&C,Large (Small Subsidiary),408000,NULL,Professional Service
Army,PAMS,Large (Small Subsidiary),1425000,NULL,Professional Service
Army,PAMS,Medium <1B,1304546000,NULL,Professional Service
Army,Products,Large: Big 6,3030265000,NULL,Professional Service
Army,R&D,Large (Small Subsidiary),690000,NULL,Professional Service
Army,R&D,Large: Big 6 (Small Subsidiary),520000,NULL,Professional Service
Army,R&D,Medium <1B,1772234000,NULL,Professional Service
DLA,Fuel,Large,2449872000,NULL,Professional Service
DLA,Fuel,Medium >1B,352000,NULL,Professional Service
DLA,Fuel,Medium >1B (Small Subsidiary),350000,NULL,Professional Service
DLA,PAMS,Medium <1B,17143000,NULL,Professional Service
DLA,R&D,Medium <1B,7265000,NULL,Professional Service
Navy,FRS&C,Medium <1B,785308274,NULL,Professional Service
Navy,Fuel,Small,2850000,NULL,Professional Service
Navy,PAMS,Medium >1B (Small Subsidiary),5534966,NULL,Professional Service
Navy,Products,Small,1688131449,NULL,Professional Service
Navy,R&D,Medium >1B,58687000,NULL,Professional Service
Navy,R&D,Medium >1B (Small Subsidiary),1419000,NULL,Professional Service
Other DoD,FRS&C,Large,388000,NULL,Professional Service
Other DoD,FRS&C,Small,27940000,NULL,Professional Service
Other DoD,MED,Medium <1B,87000,NULL,Professional Service
Other DoD,PAMS,Large (Small Subsidiary),43000,NULL,Professional Service
Army,R&D,Small,505127000,NULL,Professional Service
DLA,ERS,Large,3077000,NULL,Professional Service
DLA,FRS&C,Large,4858000,NULL,Professional Service
DLA,FRS&C,Medium >1B (Small Subsidiary),272000,NULL,Professional Service
DLA,Products,Large: Big 6,9886000,NULL,Professional Service
Navy,ERS,Small,690844808,NULL,Professional Service
Navy,FRS&C,Large (Small Subsidiary),1947000,NULL,Professional Service
Navy,FRS&C,Medium <1B,737347908,NULL,Other Service
Navy,FRS&C,Small,1266331182,NULL,Professional Service
Navy,Fuel,Medium <1B,12674000,NULL,Professional Service
Navy,PAMS,Large,1488325238,NULL,Professional Service
Navy,PAMS,Medium >1B,218059327,NULL,Professional Service
Navy,R&D,Large: Big 6,288068000,NULL,Professional Service
Other DoD,ICT,Medium <1B,578978000,NULL,Professional Service
Other DoD,MED,Medium <1B,131726000,NULL,Other Service
Other DoD,MED,Small,337000,NULL,Professional Service
Other DoD,PAMS,Medium <1B,684759000,NULL,Professional Service
Other DoD,R&D,Medium >1B,8205000,NULL,Professional Service
Air Force,FRS&C,Large,10891285,NULL,Other Service
Air Force,FRS&C,Small,81335749,NULL,Other Service
Air Force,Fuel,Small,4738602,NULL,Professional Service
Air Force,ICT,Large (Small Subsidiary),30295,NULL,Professional Service
Air Force,ICT,Large: Big 6 (Small Subsidiary),-29446,NULL,Professional Service
Air Force,ICT,Medium <1B,495655404,NULL,Professional Service
Air Force,PAMS,Medium >1B,138089689,NULL,Professional Service
Air Force,PAMS,Medium >1B (Small Subsidiary),1891137,NULL,Professional Service
Air Force,Products,Medium >1B (Small Subsidiary),3521534,NULL,Professional Service
Army,ICT,Large,374513754,NULL,Professional Service
Army,MED,Large,511861,NULL,Other Service
Army,R&D,Large: Big 6,470966871,NULL,Professional Service
DLA,FRS&C,Medium <1B,117681065,NULL,Professional Service
Navy,ERS,Large,1431092395,NULL,Professional Service
Navy,ERS,Medium >1B,258131001,NULL,Professional Service
Navy,FRS&C,Large,13326345,NULL,Other Service
Navy,FRS&C,Large: Big 6,9732313,NULL,Professional Service
Navy,FRS&C,Medium >1B,2389777,NULL,Other Service
Navy,ICT,Large (Small Subsidiary),21454222,NULL,Professional Service
Navy,ICT,Small,291134619,NULL,Professional Service
Navy,MED,Medium <1B,161223541,NULL,Other Service
Navy,MED,Small,7380294,NULL,Professional Service
Navy,R&D,Large: Big 6 JV,38692288,NULL,Professional Service
Other DoD,ERS,Medium <1B,13955344,NULL,Professional Service
Other DoD,FRS&C,Medium <1B,1023651,NULL,Other Service
Other DoD,ICT,Large: Big 6,253800,NULL,Professional Service
Other DoD,Products,Large (Small Subsidiary),288136,NULL,Professional Service
Other DoD,Products,Unlabeled,729146180,NULL,Professional Service
Air Force,ERS,Large: Big 6,33681136,NULL,Professional Service
Air Force,Fuel,Large,3188005,NULL,Professional Service
Air Force,Fuel,Medium >1B,2758344,NULL,Professional Service
Air Force,ICT,Large,356164796,NULL,Professional Service
Air Force,ICT,Medium >1B,1679283,NULL,Professional Service
Air Force,MED,Small,8622367,NULL,Other Service
Air Force,PAMS,Large (Small Subsidiary),11700089,NULL,Professional Service
Air Force,PAMS,Medium <1B,1392214074,NULL,Professional Service
Air Force,Products,Large (Small Subsidiary),3454278,NULL,Professional Service
Air Force,Products,Medium <1B,2815746843,NULL,Professional Service
Army,ERS,Large,310148552,NULL,Professional Service
Army,ERS,Medium >1B,356748,NULL,Professional Service
Army,ERS,Small,135958368,NULL,Professional Service
