Fiscal_Year,Customer,SubCustomer,PlatformPortfolio,IsSiliconValley,AnnualPlatformPortfolioSubCustomerVendorRank,ContractorDisplayName,ParentID,JointVenture,SumOfobligatedAmount,SumOfnumberOfActions,WarningFlag
1988,Defense,Navy,Electronics and Communications,1,2,HEWLETT PACKARD^,HEWLETT PACKARD,0,622000,NULL,0
1989,Defense,Navy,Electronics and Communications,1,1,VARIAN ASSOCIATES^,VARIAN ASSOCIATES,0,21426000,NULL,0
1989,Defense,Navy,Facilities and Construction,1,212,HEWLETT PACKARD^,HEWLETT PACKARD,0,260000,NULL,0
1989,Defense,Other DoD,Electronics and Communications,1,10,HEWLETT PACKARD^,HEWLETT PACKARD,0,252000,NULL,0
1989,Defense,Navy,Electronics and Communications,1,75,HEWLETT PACKARD^,HEWLETT PACKARD,0,111000,NULL,0
1989,Defense,Navy,Other Products,1,16,HEWLETT PACKARD^,HEWLETT PACKARD,0,87000,NULL,0
1989,Defense,Navy,Facilities and Construction,1,632,VARIAN ASSOCIATES^,VARIAN ASSOCIATES,0,45000,NULL,0
1989,Defense,Navy,Weapons and Ammunition,1,24,HEWLETT PACKARD^,HEWLETT PACKARD,0,-110000,NULL,0
1990,Defense,Air Force,Electronics and Communications,1,31,HEWLETT PACKARD^,HEWLETT PACKARD,0,50419000,NULL,0
1990,Defense,Navy,Electronics and Communications,1,30,VARIAN ASSOCIATES^,VARIAN ASSOCIATES,0,42296000,NULL,0
1990,Defense,Navy,Electronics and Communications,1,32,HEWLETT PACKARD^,HEWLETT PACKARD,0,39782000,NULL,0
1990,Defense,Navy,Facilities and Construction,1,24,HEWLETT PACKARD^,HEWLETT PACKARD,0,15839000,NULL,0
1990,Defense,DLA,Electronics and Communications,1,2,VARIAN ASSOCIATES^,VARIAN ASSOCIATES,0,15630000,NULL,0
1990,Defense,Air Force,Electronics and Communications,1,81,VARIAN ASSOCIATES^,VARIAN ASSOCIATES,0,13027000,NULL,0
1990,Defense,Navy,Other R&D and Knowledge Based,1,28,STANFORD UNIVERSITY^,STANFORD UNIVERSITY,0,12713000,NULL,0
1990,Defense,Army,Electronics and Communications,1,56,HEWLETT PACKARD^,HEWLETT PACKARD,0,11541000,NULL,0
1990,Defense,Navy,Missile and Space Systems,1,36,VARIAN ASSOCIATES^,VARIAN ASSOCIATES,0,11195000,NULL,0
1990,Defense,Other DoD,Other R&D and Knowledge Based,1,43,INTEL^,INTEL,0,8796000,NULL,0
1990,Defense,Navy,Weapons and Ammunition,1,28,VARIAN ASSOCIATES^,VARIAN ASSOCIATES,0,5326000,NULL,0
1990,Defense,Air Force,Facilities and Construction,1,86,HEWLETT PACKARD^,HEWLETT PACKARD,0,4705000,NULL,0
1990,Defense,Navy,Aircraft and Drones,1,76,HEWLETT PACKARD^,HEWLETT PACKARD,0,4195000,NULL,0
1990,Defense,Air Force,Other R&D and Knowledge Based,1,88,STANFORD UNIVERSITY^,STANFORD UNIVERSITY,0,4037000,NULL,0
1990,Defense,Army,Facilities and Construction,1,244,HEWLETT PACKARD^,HEWLETT PACKARD,0,3670000,NULL,0
1990,Defense,Army,Electronics and Communications,1,136,VARIAN ASSOCIATES^,VARIAN ASSOCIATES,0,3407000,NULL,0
1990,Defense,Army,Missile and Space Systems,1,53,VARIAN ASSOCIATES^,VARIAN ASSOCIATES,0,3334000,NULL,0
1990,Defense,Army,Other R&D and Knowledge Based,1,51,STANFORD UNIVERSITY^,STANFORD UNIVERSITY,0,3161000,NULL,0
1990,Defense,Army,Missile and Space Systems,1,61,HEWLETT PACKARD^,HEWLETT PACKARD,0,2853000,NULL,0
1990,Defense,Other DoD,Electronics and Communications,1,49,INTEL^,INTEL,0,2833000,NULL,0
1990,Defense,Navy,Electronics and Communications,1,246,ORACLE^,ORACLE,0,2784000,NULL,0
1990,Defense,Air Force,Electronics and Communications,1,211,ORACLE^,ORACLE,0,2677000,NULL,0
1990,Defense,Other DoD,Electronics and Communications,1,53,HEWLETT PACKARD^,HEWLETT PACKARD,0,2660000,NULL,0
1990,Defense,Navy,Electronics and Communications,1,321,STANFORD UNIVERSITY^,STANFORD UNIVERSITY,0,1859000,NULL,0
1990,Defense,DLA,Other Products,1,534,VARIAN ASSOCIATES^,VARIAN ASSOCIATES,0,1361000,NULL,0
1990,Defense,Other DoD,Electronics and Communications,1,90,ORACLE^,ORACLE,0,1188000,NULL,0
1990,Defense,Army,Electronics and Communications,1,297,ORACLE^,ORACLE,0,1171000,NULL,0
1990,Defense,DLA,Electronics and Communications,1,59,HEWLETT PACKARD^,HEWLETT PACKARD,0,1171000,NULL,0
1990,Defense,Army,Electronics and Communications,1,305,STANFORD UNIVERSITY^,STANFORD UNIVERSITY,0,1120000,NULL,0
1990,Defense,Army,Other R&D and Knowledge Based,1,145,VARIAN ASSOCIATES^,VARIAN ASSOCIATES,0,1095000,NULL,0
1990,Defense,Navy,Other R&D and Knowledge Based,1,373,HEWLETT PACKARD^,HEWLETT PACKARD,0,941000,NULL,0
1990,Defense,Air Force,Aircraft and Drones,1,351,VARIAN ASSOCIATES^,VARIAN ASSOCIATES,0,921000,NULL,0
1990,Defense,Other DoD,Facilities and Construction,1,24,HEWLETT PACKARD^,HEWLETT PACKARD,0,759000,NULL,0
1990,Defense,Air Force,Electronics and Communications,1,503,STANFORD UNIVERSITY^,STANFORD UNIVERSITY,0,670000,NULL,0
