fiscal_year,Customer,Query_Run,ServicesCategory,SumOfnumberOfActions,SumOfobligatedAmount
2005,NASA,02:26.4,ICT,1291,859787694.6
2012,State and IAP,02:26.4,MED,755,122490123.3
2010,Defense,02:26.4,ERS,43,34053984.82
2006,Defense,02:26.4,Products,511407,17714085044
2007,Defense,02:26.4,ICT,13,289462.06
2006,DHS,02:26.4,Fuel,24,306055.92
2008,Other Agencies,02:26.4,PAMS,24,1462708.32
2011,Other Agencies,02:26.4,NULL,6,-22803
1999,Defense,02:26.4,ICT,8,3990337
2009,Other Agencies,02:26.4,PAMS,1398,34256233.15
2010,Other Agencies,02:26.4,Products,61,1184183.93
2008,Defense,02:26.4,Fuel,1819,56522906.42
1995,Defense,02:26.4,Products,2545,548718487
2012,Other Agencies,02:26.4,NULL,4,20000
2000,State and IAP,02:26.4,MED,8,248000
2007,Other Agencies,02:26.4,ICT,67,2725850.32
2007,Other Agencies,02:26.4,ICT,66,7530150.37
2003,Other Agencies,02:26.4,ICT,2590,1129794709
2004,NASA,02:26.4,Products,5128,1027981250
2010,Other Agencies,02:26.4,PAMS,607,66367515.31
2002,Defense,02:26.4,Products,31190,19447750593
2007,Other Agencies,02:26.4,MED,1,221268
2011,Other Agencies,02:26.4,ERS,62,517186.07
2013,Other Agencies,02:26.4,PAMS,3643,843800515.2
2014,State and IAP,02:26.4,PAMS,5678,3180397968
2000,Other Agencies,02:26.4,ERS,18,1468862
2004,State and IAP,02:26.4,ICT,2048,428783863.8
2009,Other Agencies,02:26.4,Products,115,4672017.18
2014,DHS,02:26.4,PAMS,5117,549540874.3
2007,Other Agencies,02:26.4,R&D,30,3396795.19
2008,Other Agencies,02:26.4,ERS,32,973425.2
2000,Other Agencies,02:26.4,NULL,3,0
2011,NASA,02:26.4,Fuel,469,16535064.12
2006,HHS,02:26.4,NULL,9240,90418769.36
2008,Other Agencies,02:26.4,FRS&C,2,21214.68
2007,Other Agencies,02:26.4,PAMS,NULL,0
2002,Other Agencies,02:26.4,ICT,329,289054144.7
2009,Other Agencies,02:26.4,MED,4,12000
2004,Defense,02:26.4,Products,152926,26905675345
2005,Other Agencies,02:26.4,ICT,81,46358679.72
2010,Other Agencies,02:26.4,PAMS,7,123054.35
2014,DHS,02:26.4,ICT,1087,525263876.5
2008,Other Agencies,02:26.4,ICT,1864,155812473.3
2013,Other Agencies,02:26.4,ERS,36,1124660.01
2012,Defense,02:26.4,Products,446,2371209369
2004,Other Agencies,02:26.4,PAMS,91,2453914.9
2004,Energy,02:26.4,ERS,118,10019570.74
2006,Other Agencies,02:26.4,Products,87,586216.78
2009,GSA,02:26.4,Fuel,260,5001648.57
2009,Other Agencies,02:26.4,NULL,165,848157.25
2009,Other Agencies,02:26.4,ERS,4,120399.32
2009,Defense,02:26.4,PAMS,56491,13450423563
2009,Defense,02:26.4,R&D,16677,13519841478
2011,Other Agencies,02:26.4,PAMS,80,5366964.85
2004,Other Agencies,02:26.4,MED,3,32445
2013,Defense,02:26.4,PAMS,20462,5410290471
2006,Other Agencies,02:26.4,ERS,36,1355433.21
2004,DHS,02:26.4,ICT,451,211130525.2
2012,Other Agencies,02:26.4,Products,6,75728.31
2003,State and IAP,02:26.4,Products,3248,434711668.5
2012,Other Agencies,02:26.4,Products,102,2578541.1
2010,Other Agencies,02:26.4,ERS,50,357537.95
1992,Defense,02:26.4,PAMS,NULL,3896398578
2012,DHS,02:26.4,ICT,1307,447893716.3
2009,Other Agencies,02:26.4,Products,9178,574737416.3
2001,Defense,02:26.4,ICT,432,243838065.7
2008,Other Agencies,02:26.4,ICT,50,1012626.93
2007,Other Agencies,02:26.4,ICT,149,59660611.19
2004,Other Agencies,02:26.4,ERS,21,778875.86
2008,Other Agencies,02:26.4,NULL,247,527341.22
2010,Defense,02:26.4,Products,392,799597146.2
2012,HHS,02:26.4,Products,24112,5298614342
2007,Other Agencies,02:26.4,Products,1,3899
2011,Defense,02:26.4,FRS&C,10696,919146987.3
2000,Other Agencies,02:26.4,NULL,1,29540
2005,DHS,02:26.4,MED,53,6911907
2005,Other Agencies,02:26.4,PAMS,29,1651688.34
2004,DHS,02:26.4,FRS&C,454,189638007.7
2011,State and IAP,02:26.4,R&D,101,2204129.06
2003,Other Agencies,02:26.4,MED,1,46872
2005,GSA,02:26.4,MED,17,8981484.36
2013,Other Agencies,02:26.4,ERS,9,48127
1993,Defense,02:26.4,Products,446,19370538343
2005,Other Agencies,02:26.4,Products,1,103816
2006,Other Agencies,02:26.4,ICT,3976,659609651.4
2014,Defense,02:26.4,ICT,7054,1492883641
2009,State and IAP,02:26.4,MED,3,983553.5
2000,GSA,02:26.4,ICT,9245,3088930836
2001,Other Agencies,02:26.4,Products,44,7508999
2010,HHS,02:26.4,ERS,4473,109484954.6
2013,State and IAP,02:26.4,ICT,576,108101118.1
2014,Other Agencies,02:26.4,Fuel,5,73280.6
1988,Defense,02:26.4,MED,NULL,25000
2000,DHS,02:26.4,Products,133,28349000
2007,Other Agencies,02:26.4,FRS&C,2346,204347694.2
2008,HHS,02:26.4,ERS,2998,62274329.23
2011,Other Agencies,02:26.4,FRS&C,24,1527043.25
1999,Defense,02:26.4,Products,6,463251
2005,Other Agencies,02:26.4,ICT,21,4024501
2001,Other Agencies,02:26.4,Products,27,1385000
2007,Other Agencies,02:26.4,R&D,1,110032
2008,Other Agencies,02:26.4,FRS&C,3,929316.73
2014,Other Agencies,02:26.4,FRS&C,104,16324835.04
2010,Other Agencies,02:26.4,Products,16,525579.96
2000,Other Agencies,02:26.4,ERS,2,125000
2008,Other Agencies,02:26.4,FRS&C,5,21428.4
2000,HHS,02:26.4,Products,1885,357998735.3
2009,Other Agencies,02:26.4,ICT,154,23225260.99
2006,Other Agencies,02:26.4,FRS&C,59,8086234.78
2013,Other Agencies,02:26.4,Products,36,600524.69
2003,Other Agencies,02:26.4,ICT,374,217503855.6
2003,Defense,02:26.4,PAMS,3112,1540228475
