fiscal_year,Customer,Query_Run,ServicesCategory,SumOfnumberOfActions,SumOfobligatedAmount
2009,Other Agencies,02:26.4,PAMS,588,20295986.06
2011,Other Agencies,02:26.4,Products,151,6029279.92
2003,Other Agencies,02:26.4,R&D,376,47114549.23
2008,DHS,02:26.4,Fuel,50,2132070.22
2012,Other Agencies,02:26.4,PAMS,55,3389221.17
2001,Other Agencies,02:26.4,Products,15,779000
2002,Other Agencies,02:26.4,Products,165,15975545.09
2003,Other Agencies,02:26.4,R&D,659,133594183.1
2001,Other Agencies,02:26.4,MED,1,105000
2007,Defense,02:26.4,ERS,44,848859.39
2003,Defense,02:26.4,ICT,10289,2195463937
2007,Other Agencies,02:26.4,NULL,1250,5049203.49
2000,Defense,02:26.4,Products,25332,19013338730
2006,Other Agencies,02:26.4,ERS,82,2402996.37
2012,Other Agencies,02:26.4,FRS&C,21599,914080673.8
2010,HHS,02:26.4,Products,24141,5627418251
2012,Other Agencies,02:26.4,ICT,18,748463
2004,Other Agencies,02:26.4,NULL,120,137861.8
2014,DHS,02:26.4,Fuel,6,45018.19
2007,DHS,02:26.4,PAMS,3724,415528522.9
NULL,Defense,02:26.4,NULL,NULL,NULL
1991,Defense,02:26.4,ERS,NULL,13402000
2003,Other Agencies,02:26.4,FRS&C,10228,1233225607
1998,Defense,02:26.4,R&D,1146,650711447
2005,DHS,02:26.4,ICT,765,665268267.1
2001,Other Agencies,02:26.4,Fuel,11,367000
2005,Other Agencies,02:26.4,ERS,288,23321804.68
2013,DHS,02:26.4,Fuel,274,1872358.21
2005,State and IAP,02:26.4,PAMS,9685,2075086837
2004,Other Agencies,02:26.4,Products,1275,74869756.89
2003,Other Agencies,02:26.4,NULL,2,0
2006,Other Agencies,02:26.4,PAMS,782,62779893.62
2005,DHS,02:26.4,Products,2497,88953405.1
2002,State and IAP,02:26.4,R&D,1,40000
2013,Other Agencies,02:26.4,PAMS,11,212150
2014,Other Agencies,02:26.4,PAMS,NULL,0
2002,State and IAP,02:26.4,ICT,1554,304043863.8
2006,Other Agencies,02:26.4,Products,608,21585108.66
2000,State and IAP,02:26.4,PAMS,51,8218247
2013,Other Agencies,02:26.4,Products,18458,3040614203
2002,Other Agencies,02:26.4,PAMS,78,7080000
2004,Other Agencies,02:26.4,Products,189,12462868
2012,Other Agencies,02:26.4,R&D,1,57600
1996,Defense,02:26.4,ICT,4,320605
2002,Other Agencies,02:26.4,Products,12,1494492.8
2013,HHS,02:26.4,Fuel,173,7800139.7
2014,DHS,02:26.4,PAMS,4437,441470084.4
2011,Other Agencies,02:26.4,R&D,1,3855000
2012,DHS,02:26.4,MED,83,649071.26
2012,DHS,02:26.4,MED,1,5845
2013,Other Agencies,02:26.4,ICT,420,109993111.6
2000,Other Agencies,02:26.4,FRS&C,717,124109376.3
2009,HHS,02:26.4,Fuel,42,630004.6
2011,DHS,02:26.4,ICT,1438,563918223.9
2001,Other Agencies,02:26.4,PAMS,146,20209004
2007,Defense,02:26.4,R&D,1346,4136522817
2011,State and IAP,02:26.4,ICT,75,9530021.54
2000,Other Agencies,02:26.4,FRS&C,765,765020154
2007,Other Agencies,02:26.4,Products,247,4046968.55
2007,DHS,02:26.4,ERS,46,2310648.69
2008,Other Agencies,02:26.4,FRS&C,20,153377074.4
2002,DHS,02:26.4,Products,185,22687000
2014,Other Agencies,02:26.4,ERS,35,189383.87
2009,Energy,02:26.4,MED,125,32530374.59
2014,DHS,02:26.4,Fuel,148,2864711.18
2008,Other Agencies,02:26.4,ICT,2717,674264984
2008,DHS,02:26.4,FRS&C,933,130305042.5
2009,Other Agencies,02:26.4,ICT,20,777715
2010,Other Agencies,02:26.4,FRS&C,17,498516.13
2000,Other Agencies,02:26.4,PAMS,162,19807000
2006,Defense,02:26.4,R&D,814,2802352762
2014,Defense,02:26.4,ERS,12778,8628598534
2010,Other Agencies,02:26.4,NULL,247,2918340.78
2004,Other Agencies,02:26.4,FRS&C,11,458522.9
2009,Other Agencies,02:26.4,ERS,2103,48559069.39
2001,Other Agencies,02:26.4,NULL,2,2107561.55
2003,DHS,02:26.4,Products,267,33668571.36
2009,Energy,02:26.4,NULL,61,243139.03
2002,DHS,02:26.4,Fuel,3,125000
2002,Other Agencies,02:26.4,PAMS,2,236000
2003,Other Agencies,02:26.4,MED,2,724245
2008,HHS,02:26.4,Fuel,56,829168.27
2010,DHS,02:26.4,Fuel,8,106728.11
2004,Defense,02:26.4,MED,12,1770264
2006,Other Agencies,02:26.4,R&D,2,1185430
2012,Other Agencies,02:26.4,Products,226,16584453.53
2006,HHS,02:26.4,FRS&C,2992,934571181.8
2008,Other Agencies,02:26.4,FRS&C,4211,1301194735
2012,State and IAP,02:26.4,ERS,4,197572.67
2003,Other Agencies,02:26.4,Products,134,19930780.87
2009,State and IAP,02:26.4,PAMS,98,4856596.72
2000,Defense,02:26.4,Fuel,1,39777
2012,Other Agencies,02:26.4,ICT,68,3671924.17
2000,Defense,02:26.4,ERS,12337,4370328936
2008,Other Agencies,02:26.4,Products,126,4274916.84
2011,Other Agencies,02:26.4,R&D,37,2322013.68
2004,DHS,02:26.4,R&D,82,30395034.98
2014,Energy,02:26.4,PAMS,4997,1663291859
2011,Other Agencies,02:26.4,PAMS,409,45220122.21
2004,Defense,02:26.4,ICT,50,26525768.62
2007,Other Agencies,02:26.4,ERS,2383614,739202811.6
2008,DHS,02:26.4,ICT,1113,1182575339
2002,Other Agencies,02:26.4,ICT,19,1558209
2005,Other Agencies,02:26.4,FRS&C,9,236300.44
2001,Other Agencies,02:26.4,ICT,2129,731655809
2010,Other Agencies,02:26.4,ICT,18,792848.88
2012,Other Agencies,02:26.4,R&D,1185,102783574.1
2003,Defense,02:26.4,Fuel,1011,5600684541
2012,Other Agencies,02:26.4,Products,194,18253940.68
1992,Defense,02:26.4,FRS&C,NULL,3896763839
2011,Energy,02:26.4,PAMS,6025,1614562054
2005,Other Agencies,02:26.4,Products,5949,118692623.9
1990,Defense,02:26.4,ICT,NULL,49129000
2005,Other Agencies,02:26.4,ERS,8,459458.02
1995,Defense,02:26.4,ERS,8,8853650
2010,DHS,02:26.4,Products,3369,231862587.4
2005,Other Agencies,02:26.4,FRS&C,18,1078221.11
2013,Other Agencies,02:26.4,PAMS,294,8022545.892
2007,Defense,02:26.4,MED,67,3813497
2007,Other Agencies,02:26.4,R&D,1679,88418607.02
2012,Other Agencies,02:26.4,FRS&C,31,78000242.06
2013,Other Agencies,02:26.4,ERS,12,143642.04
2009,Other Agencies,02:26.4,ICT,5053,1254424339
2013,Other Agencies,02:26.4,Fuel,274,3074388.87
2007,Other Agencies,02:26.4,Fuel,1109,7725303.67
2011,State and IAP,02:26.4,ICT,51,4196534.02
2000,Other Agencies,02:26.4,FRS&C,178,33177914.5
2008,Other Agencies,02:26.4,ERS,26,738271.56
1996,Defense,02:26.4,ERS,6,4607760
2001,Defense,02:26.4,Products,55370,6516315911
2008,Other Agencies,02:26.4,ERS,134,4915913.6
1999,Other Agencies,02:26.4,PAMS,20,5187643
2012,Defense,02:26.4,PAMS,16460,4973817380
2008,Other Agencies,02:26.4,PAMS,122,3565943.93
2006,Other Agencies,02:26.4,ICT,63,5019654.22
2007,DHS,02:26.4,FRS&C,3389,923992487
2003,Other Agencies,02:26.4,FRS&C,246,31280779.44
2010,Other Agencies,02:26.4,MED,5,373200
2007,Other Agencies,02:26.4,R&D,3,72715.8
2010,Other Agencies,02:26.4,NULL,6,31040.84
2000,Defense,02:26.4,PAMS,3,2027192
2001,Defense,02:26.4,ERS,3726,1903120793
2012,Other Agencies,02:26.4,ICT,5161,605463034.1
2007,Other Agencies,02:26.4,FRS&C,26,267385.85
2007,Other Agencies,02:26.4,PAMS,11,164204.9
2005,Other Agencies,02:26.4,PAMS,106,2524904.43
2012,Other Agencies,02:26.4,PAMS,875,54078266.77
2003,Defense,02:26.4,PAMS,16241,10317272248
2007,Other Agencies,02:26.4,FRS&C,34,1509016.19
1992,Defense,02:26.4,PAMS,NULL,31501205
2005,Other Agencies,02:26.4,FRS&C,68,14991253.46
2007,GSA,02:26.4,Fuel,215,7717188.63
2001,HHS,02:26.4,PAMS,6745,1755972265
2010,Other Agencies,02:26.4,Products,2078,93687295.14
2013,State and IAP,02:26.4,Fuel,2589,82678898.18
2004,Other Agencies,02:26.4,ICT,680,217420984
2011,Other Agencies,02:26.4,ERS,1263,4486472.98
2004,Defense,02:26.4,PAMS,32738,6627550968
2001,Other Agencies,02:26.4,FRS&C,28,802000
2009,Other Agencies,02:26.4,FRS&C,4880,1268538684
1998,Defense,02:26.4,FRS&C,663,115530153
2008,State and IAP,02:26.4,PAMS,12468,2658311726
2005,State and IAP,02:26.4,MED,4,1953813.32
2012,Other Agencies,02:26.4,PAMS,270,12005834.57
2000,State and IAP,02:26.4,Products,2096,246999306.1
2014,DHS,02:26.4,ICT,473,270858566.8
2007,Defense,02:26.4,PAMS,73028,25160512640
2004,Other Agencies,02:26.4,NULL,41,1956487.26
2000,Defense,02:26.4,Products,3,407995
2010,Other Agencies,02:26.4,ERS,669,9785498.56
2000,Other Agencies,02:26.4,NULL,1,0
2007,Other Agencies,02:26.4,ERS,887,14277604.92
2008,Other Agencies,02:26.4,NULL,65,309567.09
2003,Other Agencies,02:26.4,ERS,1,34680
1995,Defense,02:26.4,FRS&C,196,90875861
2003,NASA,02:26.4,FRS&C,1005,835381168.7
2001,NASA,02:26.4,R&D,3460,2062482091
2012,Other Agencies,02:26.4,Products,119226,1633724565
2013,Other Agencies,02:26.4,Fuel,1,10000
2001,Other Agencies,02:26.4,NULL,2,0
2003,Other Agencies,02:26.4,PAMS,1,30000
2007,Other Agencies,02:26.4,Products,4814,77252457.65
2000,Other Agencies,02:26.4,Products,2574,288855766
2011,Other Agencies,02:26.4,ERS,11,293719.45
2009,Other Agencies,02:26.4,NULL,32,202206.7
2011,State and IAP,02:26.4,FRS&C,8414,3699287089
2002,Other Agencies,02:26.4,ERS,8,158000
2012,Other Agencies,02:26.4,Products,84,1963763.24
2007,Other Agencies,02:26.4,FRS&C,1,2565
2007,Other Agencies,02:26.4,R&D,81,7450012.97
2008,DHS,02:26.4,Products,920,328666580.1
2007,Defense,02:26.4,PAMS,2282,265780152.1
2010,HHS,02:26.4,NULL,420,3870295.99
2004,Defense,02:26.4,FRS&C,37015,5577277838
2008,Other Agencies,02:26.4,PAMS,5,165232
2011,Defense,02:26.4,Products,134563,56635377863
2013,DHS,02:26.4,ICT,450,271163210
2012,Other Agencies,02:26.4,Products,25,891125.45
2013,Other Agencies,02:26.4,MED,7,4708633
2011,State and IAP,02:26.4,PAMS,98,11399590.03
2011,Other Agencies,02:26.4,Products,9,51177.79
2007,Other Agencies,02:26.4,R&D,33,2987503.16
2000,State and IAP,02:26.4,FRS&C,22,1016000
2006,DHS,02:26.4,FRS&C,778,282691874.6
2012,Defense,02:26.4,FRS&C,90702,24086668509
2014,Other Agencies,02:26.4,FRS&C,53,14749126.38
2002,Other Agencies,02:26.4,FRS&C,4163,781478390.2
2009,Other Agencies,02:26.4,Products,29,932504.71
2010,Defense,02:26.4,ICT,35401,4895895616
2008,Other Agencies,02:26.4,R&D,2,29314.92
2002,Defense,02:26.4,ICT,4900,1763850382
2011,Other Agencies,02:26.4,ICT,5049,598328213.3
2003,Other Agencies,02:26.4,ICT,1434,522068072.5
2010,Defense,02:26.4,FRS&C,72,28608648.43
2006,Other Agencies,02:26.4,Products,173,16424477.31
2008,Other Agencies,02:26.4,Products,247,5847983.48
2010,State and IAP,02:26.4,ERS,1,10980
2007,State and IAP,02:26.4,ICT,384,45068917.76
2011,Other Agencies,02:26.4,Fuel,101,567339.66
2006,DHS,02:26.4,PAMS,3698,2777253728
2013,Defense,02:26.4,PAMS,1006,429269650.6
2002,GSA,02:26.4,Products,28076,2886357859
2004,DHS,02:26.4,Products,897,227152382.3
2007,DHS,02:26.4,R&D,67,120451442.7
2011,Other Agencies,02:26.4,ERS,6,54443
2012,Other Agencies,02:26.4,Products,1200,21749960.48
2011,Other Agencies,02:26.4,R&D,1950,56006083.86
2014,Other Agencies,02:26.4,ERS,219461,688241424.6
2006,DHS,02:26.4,ICT,526,152963341.4
2005,Other Agencies,02:26.4,PAMS,2542,517426549.3
2005,Other Agencies,02:26.4,ERS,11,41983.08
2012,Other Agencies,02:26.4,ERS,29,-1233418.62
2013,Other Agencies,02:26.4,PAMS,32,273341.86
2008,Other Agencies,02:26.4,NULL,4,63518.25
2005,Other Agencies,02:26.4,ERS,19,1569874.83
2007,Other Agencies,02:26.4,PAMS,7,594652.2
2006,Defense,02:26.4,Fuel,3086,13025349374
2012,Other Agencies,02:26.4,PAMS,24,505613.39
2013,NASA,02:26.4,PAMS,8166,2595105556
2006,State and IAP,02:26.4,PAMS,163,7759532.32
2009,Other Agencies,02:26.4,PAMS,104,5076608
2007,Other Agencies,02:26.4,Products,542,22164435.53
2003,Defense,02:26.4,NULL,18,4339649
2001,State and IAP,02:26.4,Products,357,312028000
2004,State and IAP,02:26.4,PAMS,5,304375.2
2012,Defense,02:26.4,MED,5143,390346167.7
2013,Other Agencies,02:26.4,ICT,31,856146
1991,Defense,02:26.4,Products,NULL,336920000
2009,Other Agencies,02:26.4,Products,72,1041777.13
2007,Other Agencies,02:26.4,NULL,41,236862.39
2009,Other Agencies,02:26.4,Products,103,10486907.04
2008,Other Agencies,02:26.4,ICT,17,255870.65
2001,GSA,02:26.4,Fuel,73,3458000
2010,Other Agencies,02:26.4,R&D,29,74506487.69
2010,Other Agencies,02:26.4,ERS,2,18360
2002,Defense,02:26.4,Products,10,968155
2002,HHS,02:26.4,FRS&C,1791,807260475.1
2003,Other Agencies,02:26.4,ERS,1249,91244304.54
2009,DHS,02:26.4,PAMS,1259,823310722.5
2013,Other Agencies,02:26.4,R&D,23,10770391.32
2012,GSA,02:26.4,ICT,3918,2213440343
2012,State and IAP,02:26.4,Fuel,2550,75170546.67
2014,Other Agencies,02:26.4,FRS&C,30,1670187.5
2002,Other Agencies,02:26.4,Products,2,396000
2005,Other Agencies,02:26.4,FRS&C,15613,931790968.7
1993,Defense,02:26.4,ERS,284,3536365469
2007,Other Agencies,02:26.4,FRS&C,3,75000
2007,Other Agencies,02:26.4,MED,22,1463083.86
2014,Other Agencies,02:26.4,R&D,10,374641.85
2000,Energy,02:26.4,Products,834,534377248.3
2007,Other Agencies,02:26.4,FRS&C,3,25564
2010,Other Agencies,02:26.4,NULL,67,151804.66
2010,Other Agencies,02:26.4,Products,600,48154668.91
2000,Other Agencies,02:26.4,FRS&C,12,379000
2009,Other Agencies,02:26.4,Products,176,11024450.18
2000,Other Agencies,02:26.4,MED,14,1415000
2003,DHS,02:26.4,ERS,5,1899678
2009,Other Agencies,02:26.4,ICT,30,740913.78
2013,Other Agencies,02:26.4,ICT,203,38019055.83
2005,Defense,02:26.4,PAMS,5258,2563693831
2000,Other Agencies,02:26.4,ICT,704,242271000
2000,State and IAP,02:26.4,FRS&C,6,3387000
2000,HHS,02:26.4,ERS,411,24138385
2007,Defense,02:26.4,R&D,14745,15062114232
2010,Other Agencies,02:26.4,PAMS,285,14387726.87
2000,Other Agencies,02:26.4,MED,22,1899000
2008,DHS,02:26.4,MED,36,128430955.5
2008,Other Agencies,02:26.4,FRS&C,1,17250.24
2001,Other Agencies,02:26.4,R&D,72,48993366.65
2010,Other Agencies,02:26.4,FRS&C,144,18111907.49
2014,Other Agencies,02:26.4,Products,130,5358658.14
2004,Other Agencies,02:26.4,ERS,74,5115133
2008,DHS,02:26.4,MED,34,4007693.95
2012,Other Agencies,02:26.4,PAMS,1040,54389752.57
2000,State and IAP,02:26.4,NULL,9,1513752.13
2007,Other Agencies,02:26.4,ERS,5,27791
2009,Other Agencies,02:26.4,FRS&C,NULL,0
2011,Defense,02:26.4,MED,4491,369765746.6
2001,NASA,02:26.4,MED,45,36750194
2014,Other Agencies,02:26.4,FRS&C,269,112763815.6
2002,State and IAP,02:26.4,Products,3083,474299254.6
2006,Other Agencies,02:26.4,R&D,157,4237241.85
2013,Other Agencies,02:26.4,Products,109,2678394.66
2013,Other Agencies,02:26.4,MED,26,775032.08
2006,Other Agencies,02:26.4,R&D,2924,31677329.74
2014,Other Agencies,02:26.4,MED,27,12122801.99
2005,Other Agencies,02:26.4,ICT,232,14746757.09
2011,DHS,02:26.4,MED,38,2470195.34
2014,Other Agencies,02:26.4,R&D,16,2534096.89
2012,GSA,02:26.4,Products,503781,2154927194
2008,Other Agencies,02:26.4,MED,5,200945.88
2002,DHS,02:26.4,MED,NULL,0
2011,Other Agencies,02:26.4,FRS&C,33,1224846.3
2005,Other Agencies,02:26.4,R&D,1,0
2006,DHS,02:26.4,Products,2621,138240956.3
2006,Energy,02:26.4,NULL,413,3786056.54
2002,NASA,02:26.4,MED,45,36367531
2005,DHS,02:26.4,ERS,614,11440752.76
2010,State and IAP,02:26.4,NULL,2,-907.42
2009,Other Agencies,02:26.4,ICT,428,239450592.3
2010,NASA,02:26.4,NULL,30,-29721.18
2011,Other Agencies,02:26.4,ERS,83,490482.71
2004,DHS,02:26.4,R&D,40,11511548.64
2006,Other Agencies,02:26.4,FRS&C,12,1561976.38
2010,Other Agencies,02:26.4,R&D,26,1244592.77
2012,Other Agencies,02:26.4,ERS,748,96147930.32
2010,Other Agencies,02:26.4,R&D,6,1300120.23
2008,Defense,02:26.4,FRS&C,25920,5844518474
2006,Other Agencies,02:26.4,ICT,17,91682.3
2004,DHS,02:26.4,MED,73,9195714.81
2003,Defense,02:26.4,MED,12,3612787
2005,NASA,02:26.4,Products,6124,1657847993
2010,Other Agencies,02:26.4,ERS,59,2198647.78
2003,DHS,02:26.4,Products,906,190599031.1
2012,Other Agencies,02:26.4,NULL,3,16764.12
2007,Other Agencies,02:26.4,NULL,87,821841.67
2014,Other Agencies,02:26.4,R&D,15,97123.94
2002,Energy,02:26.4,Fuel,8,1882000
2003,Defense,02:26.4,Products,15,2360253
2003,Other Agencies,02:26.4,ERS,393,39809652.95
2007,Defense,02:26.4,ERS,5731,163093671.4
2001,Defense,02:26.4,PAMS,48,8308321
2004,Other Agencies,02:26.4,Products,27941,1277218189
2006,Other Agencies,02:26.4,R&D,2,140590
2008,State and IAP,02:26.4,NULL,11,31664.62
2009,Other Agencies,02:26.4,PAMS,109,2046495.4
2011,Other Agencies,02:26.4,R&D,1,2624.29
2003,Other Agencies,02:26.4,NULL,8,0
1991,Defense,02:26.4,FRS&C,NULL,137659000
2001,Defense,02:26.4,R&D,374,106359381
2007,Other Agencies,02:26.4,MED,1360,33502646.29
2000,Other Agencies,02:26.4,ERS,1,300000
2009,Other Agencies,02:26.4,ICT,5760,901196527.5
1995,Defense,02:26.4,ICT,4984,1112191669
2005,Other Agencies,02:26.4,Products,44,831217.06
2010,Other Agencies,02:26.4,PAMS,85,3251834.3
2002,Other Agencies,02:26.4,ICT,18,10431000
2004,Other Agencies,02:26.4,Products,4,2807579.76
2000,Defense,02:26.4,ICT,13,5474213
2003,Other Agencies,02:26.4,ICT,87,12566797
2004,Other Agencies,02:26.4,NULL,3035,8299596.22
2009,Other Agencies,02:26.4,ERS,43,267706.28
2011,DHS,02:26.4,MED,204,20084058.03
2011,Other Agencies,02:26.4,FRS&C,4,105278.5
2012,Other Agencies,02:26.4,ERS,10,103116.71
2000,NASA,02:26.4,ICT,621,341412039.5
2014,GSA,02:26.4,Products,61199,2670411400
2014,Other Agencies,02:26.4,Products,14,390241.34
2006,State and IAP,02:26.4,Fuel,3,22283038
2014,Other Agencies,02:26.4,MED,3,4600
2008,DHS,02:26.4,Products,2815,205590097.3
2003,Other Agencies,02:26.4,Products,3,287226
2009,Other Agencies,02:26.4,R&D,4,2171659.57
2010,Other Agencies,02:26.4,ICT,1335,480004766.1
1996,Defense,02:26.4,ICT,5274,1744079618
2004,DHS,02:26.4,Fuel,34,484880.71
2008,Other Agencies,02:26.4,PAMS,117,5482773.29
1991,Defense,02:26.4,FRS&C,NULL,8228012000
2002,Other Agencies,02:26.4,PAMS,2257,272545173
2008,Other Agencies,02:26.4,Fuel,70,2416666.22
2000,Defense,02:26.4,ICT,3739,1806029295
2010,Other Agencies,02:26.4,FRS&C,22,463764.22
2003,Defense,02:26.4,MED,588,5882504451
2010,Other Agencies,02:26.4,Products,468,51719984.37
2001,Other Agencies,02:26.4,FRS&C,3,1615000
2002,GSA,02:26.4,R&D,18,11813402.85
2012,Other Agencies,02:26.4,ERS,2091,53221884.26
2014,Other Agencies,02:26.4,FRS&C,9966,352881245.8
2007,Other Agencies,02:26.4,MED,7,12099
2003,Other Agencies,02:26.4,ICT,805,441246774.1
2004,Defense,02:26.4,Fuel,38,4399934
2006,DHS,02:26.4,ICT,791,242125228
2007,Other Agencies,02:26.4,ERS,10,121515.6
2008,Other Agencies,02:26.4,R&D,19,1155671.57
2012,Other Agencies,02:26.4,NULL,1,-321.4
2006,Other Agencies,02:26.4,PAMS,615,183377546.5
2010,Other Agencies,02:26.4,ICT,350,21844604.6
2006,Other Agencies,02:26.4,MED,57,1004710.01
2000,Other Agencies,02:26.4,PAMS,2201,669896621.9
2010,Other Agencies,02:26.4,ICT,37,3168764.58
2008,Other Agencies,02:26.4,R&D,503,123294130.3
2010,Other Agencies,02:26.4,Fuel,384,2681315.54
2012,State and IAP,02:26.4,Products,45,1351826.38
1993,Defense,02:26.4,PAMS,414,5421209547
2000,DHS,02:26.4,ICT,269,43785000
2002,Other Agencies,02:26.4,PAMS,5,101000
2005,Other Agencies,02:26.4,PAMS,5,160996.8
2005,Other Agencies,02:26.4,ERS,25,384873.42
2003,Other Agencies,02:26.4,Products,3,74104
2003,Defense,02:26.4,ERS,23502,6660832340
2002,Other Agencies,02:26.4,R&D,4,382000
2012,Other Agencies,02:26.4,Products,4,18156.99
2003,Other Agencies,02:26.4,R&D,2,0
1993,Defense,02:26.4,FRS&C,NULL,215146673
2010,Other Agencies,02:26.4,Products,80,2614376.97
2008,Other Agencies,02:26.4,Fuel,3,3287.62
2004,Other Agencies,02:26.4,Products,44,2211105.71
2001,HHS,02:26.4,ERS,316,20309432.94
2007,Other Agencies,02:26.4,Products,1,15350
2011,State and IAP,02:26.4,ERS,3,25500
2011,Other Agencies,02:26.4,ERS,1,840
2006,State and IAP,02:26.4,ERS,2133,367646646
2011,Other Agencies,02:26.4,FRS&C,43,2913633.12
2012,Other Agencies,02:26.4,ICT,430,27151890.84
2013,Energy,02:26.4,FRS&C,3053,18985890818
2006,Other Agencies,02:26.4,Products,2831,68374243.93
2008,DHS,02:26.4,R&D,1435,86919025.12
2007,Other Agencies,02:26.4,ICT,167,50486597.11
2005,Other Agencies,02:26.4,PAMS,5,178799.15
2007,Other Agencies,02:26.4,FRS&C,7,1308808.64
2004,Other Agencies,02:26.4,PAMS,136,480816.98
2013,State and IAP,02:26.4,R&D,342,44087888.57
1998,Defense,02:26.4,ERS,1,-66702
2006,Defense,02:26.4,MED,41,1044586
2002,Other Agencies,02:26.4,ERS,1,32000
2002,Other Agencies,02:26.4,ICT,1,81000
2000,Other Agencies,02:26.4,PAMS,2,84000
2001,State and IAP,02:26.4,ERS,35,17533000
2002,Defense,02:26.4,ICT,7196,1753095713
2003,Other Agencies,02:26.4,Products,10204,3980437762
2012,NASA,02:26.4,PAMS,8733,3151983008
2013,Defense,02:26.4,Products,129661,30475967029
2013,DHS,02:26.4,Fuel,NULL,934586.28
2012,Other Agencies,02:26.4,ICT,57,2572274.24
2004,Other Agencies,02:26.4,MED,1,1846.58
2007,Other Agencies,02:26.4,Products,15,626346.92
2014,Other Agencies,02:26.4,ERS,843,2943348.27
2002,State and IAP,02:26.4,Fuel,69,4905980
2010,Defense,02:26.4,FRS&C,34814,9348550235
1993,Defense,02:26.4,FRS&C,NULL,7809412781
2006,HHS,02:26.4,R&D,3780,1729236334
2005,DHS,02:26.4,FRS&C,39,7676466.67
2010,Other Agencies,02:26.4,Products,5,107998.43
2003,Other Agencies,02:26.4,ICT,43,2256221
2009,Defense,02:26.4,ICT,13,319174.65
2008,Other Agencies,02:26.4,MED,3,30668.5
2005,Defense,02:26.4,Products,64,171284841
2011,Other Agencies,02:26.4,Fuel,495,11526341.56
2004,Other Agencies,02:26.4,Fuel,30,2640229.9
2008,Other Agencies,02:26.4,ICT,27,155932
2001,Energy,02:26.4,Products,863,325996870.4
2008,Energy,02:26.4,Products,3787,804985649.3
2012,Other Agencies,02:26.4,Products,16,151672
2006,Other Agencies,02:26.4,MED,5,34955
2006,Defense,02:26.4,FRS&C,19021,6128401082
2009,Other Agencies,02:26.4,ERS,42,1191187.47
2010,Other Agencies,02:26.4,NULL,1,4745.25
2014,Other Agencies,02:26.4,PAMS,17,1766418
2012,Defense,02:26.4,PAMS,1104,450015433.2
2010,Other Agencies,02:26.4,ICT,78,2547592.43
2009,DHS,02:26.4,MED,83,20511015.9
2011,Other Agencies,02:26.4,ERS,188,4867697.55
2004,Other Agencies,02:26.4,Products,12,479285.29
2012,Other Agencies,02:26.4,PAMS,643,8995492.78
2010,DHS,02:26.4,Fuel,176,1487529.82
2011,Other Agencies,02:26.4,NULL,1,1427
2005,Other Agencies,02:26.4,FRS&C,1007,924177629.9
2009,Other Agencies,02:26.4,Fuel,2,8207
2014,Other Agencies,02:26.4,ICT,51,6774508.87
1997,Defense,02:26.4,Products,4,549132
2010,State and IAP,02:26.4,ERS,18,142093.39
1999,Defense,02:26.4,Products,3875,1008173435
2006,Other Agencies,02:26.4,ERS,6,273331
2009,Defense,02:26.4,R&D,2001,4393796891
2009,State and IAP,02:26.4,Products,1038,119148844.2
2009,Other Agencies,02:26.4,R&D,971,137304591.6
2008,Other Agencies,02:26.4,ERS,4,8000.28
2012,Defense,02:26.4,Fuel,17,2278763.45
2008,Other Agencies,02:26.4,Products,287,8606121.06
2009,Defense,02:26.4,ERS,16,51267.75
2011,Defense,02:26.4,FRS&C,101437,26856899055
1990,Defense,02:26.4,R&D,NULL,5386699764
2006,Other Agencies,02:26.4,ERS,768920,425074345.4
1994,Defense,02:26.4,MED,25,14043987
2009,Other Agencies,02:26.4,NULL,29,222887.16
2010,Other Agencies,02:26.4,PAMS,648,14868504.14
2013,DHS,02:26.4,ERS,964,76625293.64
2004,Other Agencies,02:26.4,Products,4,0
2005,Other Agencies,02:26.4,Products,NULL,0
2012,Other Agencies,02:26.4,ICT,45,5280864.71
2003,Other Agencies,02:26.4,R&D,48,4417756.9
2007,Other Agencies,02:26.4,FRS&C,7247,1252442590
2010,Other Agencies,02:26.4,FRS&C,2,4895
2014,Other Agencies,02:26.4,MED,238935,2232040424
1994,Defense,02:26.4,MED,395,81524506
1996,Defense,02:26.4,MED,144,21910985
2007,Other Agencies,02:26.4,MED,13,1225819.76
2005,State and IAP,02:26.4,PAMS,184,9091660.39
2012,Other Agencies,02:26.4,MED,94080,1966616617
2013,Other Agencies,02:26.4,PAMS,1292,61266171.31
2001,Other Agencies,02:26.4,ERS,12,976599
2001,State and IAP,02:26.4,PAMS,2408,499760928.5
2013,State and IAP,02:26.4,Fuel,39,1298636.25
2013,Other Agencies,02:26.4,PAMS,1850,32446825.72
2006,Defense,02:26.4,Fuel,524,24612788.53
1996,Defense,02:26.4,R&D,1284,672024290
1998,Defense,02:26.4,ICT,11,327102
2014,Other Agencies,02:26.4,ICT,99,3934007.69
2012,Other Agencies,02:26.4,Products,10,179545.34
2011,Other Agencies,02:26.4,ERS,27,207727.31
2010,Other Agencies,02:26.4,Products,317,20242544.77
2008,State and IAP,02:26.4,R&D,1,84808048.89
2003,Other Agencies,02:26.4,R&D,72,7688369.33
2009,Other Agencies,02:26.4,Products,24,363069.09
2013,State and IAP,02:26.4,FRS&C,12,7371136.1
2002,Other Agencies,02:26.4,PAMS,12,3013753
