fiscal_year,Query_Run,SubCustomer,ServicesCategory,SumOfobligatedAmount,SumOfnumberOfActions
1999,04:31.0,Air Force,ICT,1202890783,3172
2002,04:31.0,MDA,FRS&C,107658341,217
1997,04:31.0,MilitaryHealth,MED,1859745709,285
1991,04:31.0,DLA,Products,5489370000,NULL
1992,04:31.0,Air Force,ICT,1139533697,NULL
1996,04:31.0,Navy,Fuel,10132669,94
2005,04:31.0,MDA,ERS,2213117,18
1990,04:31.0,Army,Fuel,13852000,NULL
2001,04:31.0,NULL,ICT,0,NULL
1989,04:31.0,Navy,ICT,11747000,NULL
2009,04:31.0,Army,PAMS,31148607769,82302
1991,04:31.0,Army,Products,17303456000,NULL
2007,04:31.0,Air Force,NULL,0,NULL
1998,04:31.0,Navy,R&D,5298404343,8179
2011,04:31.0,Navy,FRS&C,9326308301,36139
1991,04:31.0,Other DoD,MED,270137000,NULL
2002,04:31.0,MilitaryHealth,PAMS,4063051,17
2006,04:31.0,DLA,R&D,18155428.2,110
1995,04:31.0,MilitaryHealth,ICT,3562024,14
2013,04:31.0,Air Force,Products,21573390405,59822
2013,04:31.0,Other DoD,ICT,4270175005,67582
2012,04:31.0,Other DoD,FRS&C,222593722.7,1374
1990,04:31.0,Air Force,MED,28508000,NULL
1996,04:31.0,Navy,MED,165299645,383
2012,04:31.0,MDA,R&D,3825727857,2504
1996,04:31.0,Other DoD,PAMS,195133705,985
2003,04:31.0,DLA,NULL,0,NULL
2001,04:31.0,Navy,Products,18214296981,24128
2009,04:31.0,DLA,Products,17970153672,467130
1995,04:31.0,Army,ICT,1506932648,4514
1993,04:31.0,DLA,MED,273009,NULL
1997,04:31.0,Navy,PAMS,5762399347,18944
2014,04:31.0,Army,NULL,72.5,1
2003,04:31.0,Navy,MED,266628706.8,1601
1995,04:31.0,Air Force,Products,16438892994,24250
2009,04:31.0,Navy,R&D,13611401828,15792
2013,04:31.0,MilitaryHealth,ICT,34876361.47,154
1993,04:31.0,Army,MED,163860171,NULL
1994,04:31.0,Other DoD,FRS&C,293844684,785
2007,04:31.0,MilitaryHealth,Products,721863.3,67
2002,04:31.0,Other DoD,MED,1450335,9
2002,04:31.0,DLA,ICT,220949513,462
1992,04:31.0,DLA,ERS,38015757,NULL
2005,04:31.0,DLA,PAMS,238017259.1,1566
1989,04:31.0,Other DoD,Products,3876000,NULL
2014,04:31.0,Navy,Fuel,26738043.56,498
2014,04:31.0,Air Force,ERS,9105819575,13661
2002,04:31.0,Navy,ERS,6251101187,21081
2008,04:31.0,Air Force,MED,297148894.9,3615
2011,04:31.0,Army,MED,1228893957,9641
2014,04:31.0,Other DoD,Products,2131000113,24109
2013,04:31.0,Other DoD,Fuel,1643664.385,16
1998,04:31.0,Army,PAMS,4877631767,17825
2002,04:31.0,Army,ICT,1836150732,8225
1996,04:31.0,MilitaryHealth,Products,91996,3
1991,04:31.0,Air Force,FRS&C,4001426000,NULL
1997,04:31.0,DLA,Fuel,4091087969,763
2014,04:31.0,Navy,ICT,4290812624,33463
1993,04:31.0,Navy,FRS&C,3157632177,1205
2003,04:31.0,DLA,ERS,63112274,305
2000,04:31.0,Air Force,NULL,10000,2
2014,04:31.0,MilitaryHealth,Products,83014985.57,228
2011,04:31.0,MDA,Products,1459845713,419
2002,04:31.0,Air Force,PAMS,7132011565,12895
1999,04:31.0,DLA,R&D,50119964,182
1996,04:31.0,Air Force,R&D,7892087994,6814
2005,04:31.0,Other DoD,FRS&C,331567842.4,1428
2004,04:31.0,MDA,PAMS,120574510.2,151
1997,04:31.0,Other DoD,R&D,583200275,1153
1997,04:31.0,DLA,R&D,8937255,46
2006,04:31.0,Army,Fuel,23650153.36,1337
2011,04:31.0,MilitaryHealth,ICT,439869.54,12
2004,04:31.0,Navy,NULL,38350,2
2000,04:31.0,Navy,ERS,4370328936,12337
1996,04:31.0,Air Force,Fuel,94048427,270
2012,04:31.0,Navy,MED,390346167.7,5143
1997,04:31.0,Air Force,PAMS,4014046485,9616
1994,04:31.0,DLA,ERS,3623645,37
2013,04:31.0,MDA,Products,3800962206,439
2005,04:31.0,Air Force,R&D,10155734596,10055
2009,04:31.0,Navy,FRS&C,9703570125,35274
2006,04:31.0,MilitaryHealth,MED,8026029219,468
1991,04:31.0,Navy,Fuel,15565000,NULL
2014,04:31.0,MDA,ERS,50299085.61,39
1995,04:31.0,DLA,Fuel,3436753302,959
1996,04:31.0,Other DoD,FRS&C,65827911,157
2010,04:31.0,MDA,R&D,4075794260,2002
1994,04:31.0,Army,ERS,772328785,2364
2011,04:31.0,Army,ICT,4077426735,13234
2009,04:31.0,Army,MED,1056259059,11027
2005,04:31.0,DLA,NULL,2350,1
2013,04:31.0,Other DoD,R&D,1572164505,4644
2012,04:31.0,MilitaryHealth,ERS,1105040.43,105
1999,04:31.0,Army,FRS&C,9153200512,24336
2008,04:31.0,DLA,ERS,128862809.2,5677
1998,04:31.0,Navy,ICT,1106987676,4944
2000,04:31.0,Navy,R&D,4485040678,9412
2014,04:31.0,Navy,R&D,7798734526,16010
2010,04:31.0,Air Force,Fuel,13147501.61,226
1989,04:31.0,Army,PAMS,859000,NULL
2006,04:31.0,Air Force,MED,207522692.2,2634
2011,04:31.0,Air Force,PAMS,10784265297,32798
1990,04:31.0,DLA,R&D,14908000,NULL
2011,04:31.0,Navy,NULL,-14505.73,5
2004,04:31.0,Air Force,Products,25653117426,48600
2008,04:31.0,Army,ERS,4634133415,24439
2005,04:31.0,Navy,ICT,3374405323,27309
1993,04:31.0,DLA,ICT,49765599,NULL
2010,04:31.0,Other DoD,NULL,-258864.67,12
1997,04:31.0,MilitaryHealth,ICT,177766,8
2000,04:31.0,MilitaryHealth,PAMS,2027192,3
2011,04:31.0,Other DoD,ICT,5211649995,52962
2006,04:31.0,Navy,PAMS,8445875617,42598
2007,04:31.0,Army,Products,54570770884,244803
1990,04:31.0,Army,R&D,2221127000,NULL
1995,04:31.0,Other DoD,R&D,869953469,1134
1996,04:31.0,Air Force,FRS&C,3921173389,11810
2002,04:31.0,MDA,PAMS,20052316.65,110
1994,04:31.0,MilitaryHealth,ERS,8084857,18
2014,04:31.0,DLA,PAMS,497668712.3,1408
2000,04:31.0,DLA,PAMS,175740133.7,704
1999,04:31.0,Other DoD,ERS,204871918,187
2000,04:31.0,Army,PAMS,5796155598,19079
1992,04:31.0,Air Force,MED,51933528,NULL
2009,04:31.0,DLA,MED,3292994.43,59
2008,04:31.0,MDA,ICT,-173054.69,27
2005,04:31.0,Army,NULL,2925495,45
2001,04:31.0,Navy,MED,161793171,944
2003,04:31.0,MilitaryHealth,NULL,0,1
2010,04:31.0,Other DoD,FRS&C,322674734.1,1206
2006,04:31.0,DLA,Fuel,13025349374,3086
1992,04:31.0,Navy,PAMS,4880228723,5
2004,04:31.0,Other DoD,Fuel,104074.5,4
2000,04:31.0,Other DoD,MED,401173,7
1993,04:31.0,Army,Products,12427679239,NULL
1999,04:31.0,Navy,Products,16543765022,22801
1998,04:31.0,Air Force,ERS,3020973083,4428
2010,04:31.0,Army,FRS&C,31605794450,102839
1995,04:31.0,DLA,MED,1049878,17
2007,04:31.0,DLA,Products,16075300253,462042
2005,04:31.0,Other DoD,Products,2066861716,14664
2014,04:31.0,Army,PAMS,15975002236,48684
2004,04:31.0,Other DoD,ICT,3345322679,9657
1988,04:31.0,Other DoD,R&D,258000,NULL
1989,04:31.0,Navy,R&D,22296000,NULL
2000,04:31.0,Army,ICT,1858118827,5408
2002,04:31.0,Air Force,NULL,25000,7
2003,04:31.0,MDA,ERS,194646,1
2012,04:31.0,Other DoD,PAMS,4973817380,16460
2007,04:31.0,Air Force,FRS&C,5888490042,26818
2007,04:31.0,MDA,FRS&C,45653822.4,87
2005,04:31.0,Air Force,ERS,4405449045,12212
1998,04:31.0,Other DoD,Products,867288840,3653
1999,04:31.0,DLA,FRS&C,349822966,536
2007,04:31.0,Navy,R&D,15062114232,14745
2006,04:31.0,Other DoD,R&D,1119612896,1800
2008,04:31.0,Army,R&D,10120117615,19638
2001,04:31.0,DLA,ERS,62512688.36,395
2010,04:31.0,DLA,FRS&C,1016100922,13408
2005,04:31.0,MilitaryHealth,ERS,87552,3
2010,04:31.0,Other DoD,ERS,2705893917,6268
1999,04:31.0,Army,Fuel,7320049,46
2002,04:31.0,Navy,FRS&C,5343941066,46567
2012,04:31.0,Air Force,R&D,12536812310,16263
2011,04:31.0,Other DoD,Fuel,469391.49,5
1992,04:31.0,Other DoD,MED,319314905,NULL
1991,04:31.0,Air Force,MED,40240000,NULL
2004,04:31.0,Army,NULL,2394869,12
2012,04:31.0,MilitaryHealth,MED,11713167853,1003
1993,04:31.0,Navy,MED,87977428,6
2008,04:31.0,DLA,ICT,417414375.7,1855
2014,04:31.0,Army,R&D,4064122585,11316
2012,04:31.0,Air Force,PAMS,11744491168,29040
1995,04:31.0,Air Force,Fuel,75903504,227
2011,04:31.0,MilitaryHealth,ERS,7983.06,13
2009,04:31.0,MDA,R&D,4393796891,2001
1992,04:31.0,DLA,Products,3072223141,NULL
2010,04:31.0,Army,MED,1107366490,10762
2010,04:31.0,DLA,MED,6763658.67,67
2011,04:31.0,Army,ERS,5345375156,28788
2010,04:31.0,Air Force,NULL,0,2
1993,04:31.0,Other DoD,FRS&C,94275271,NULL
1990,04:31.0,Navy,Fuel,11136000,NULL
2009,04:31.0,DLA,ERS,119839498.5,4521
1991,04:31.0,DLA,R&D,7265000,NULL
2013,04:31.0,MilitaryHealth,FRS&C,2637432.216,23
1999,04:31.0,Navy,R&D,4467457724,9162
2009,04:31.0,Navy,PAMS,13450423563,56491
1997,04:31.0,MilitaryHealth,Products,549132,4
1990,04:31.0,DLA,Products,4011983000,NULL
2005,04:31.0,Other DoD,R&D,984336973.5,1701
2013,04:31.0,MDA,ERS,47934770.7,50
2012,04:31.0,Army,ICT,3625558285,10940
2014,04:31.0,Air Force,Products,19958884614,54875
2009,04:31.0,Other DoD,NULL,-12077.81,4
2008,04:31.0,Army,PAMS,30253478042,77876
2010,04:31.0,Navy,NULL,-1374,13
2004,04:31.0,Air Force,R&D,9531232627,8474
2003,04:31.0,Air Force,Products,25153648202,27356
2011,04:31.0,Other DoD,NULL,-90926.1,3
2013,04:31.0,Navy,ICT,4614058026,33000
1998,04:31.0,Other DoD,R&D,650711447,1146
2014,04:31.0,Other DoD,ICT,4614918498,59765
2005,04:31.0,Air Force,Products,22041290795,101722
1997,04:31.0,DLA,Products,3506423019,32859
1990,04:31.0,Army,Products,13277507000,NULL
2004,04:31.0,MDA,ERS,1927662,8
2006,04:31.0,MilitaryHealth,Products,1226124.47,76
1999,04:31.0,MilitaryHealth,Products,463251,6
2012,04:31.0,DLA,Fuel,21236247423,3170
1998,04:31.0,Other DoD,ERS,232426599,189
2014,04:31.0,MilitaryHealth,ICT,47790013.81,102
1999,04:31.0,DLA,PAMS,110960500,538
2012,04:31.0,DLA,MED,2067599.07,30
2001,04:31.0,MDA,PAMS,8308321,48
2004,04:31.0,Other DoD,Products,2453521901,8519
2000,04:31.0,Navy,Products,19013338730,25332
