fiscal_year,Query_Run,SubCustomer,ServicesCategory,SumOfobligatedAmount,SumOfnumberOfActions
2013,04:31.0,DLA,PAMS,377945971.9,1354
2003,04:31.0,MDA,Products,2360253,15
2004,04:31.0,Air Force,Fuel,4399934,38
2005,04:31.0,Other DoD,Fuel,115725,16
1995,04:31.0,MilitaryHealth,ERS,8853650,8
2001,04:31.0,Army,ICT,1593890763,5085
1991,04:31.0,DLA,ERS,78715000,NULL
2008,04:31.0,DLA,Products,19730904559,537950
2009,04:31.0,Army,FRS&C,35516702561,97549
1994,04:31.0,DLA,MED,458322,5
1998,04:31.0,Other DoD,ICT,1654623331,4378
2013,04:31.0,Air Force,Fuel,3400446.59,139
2008,04:31.0,Navy,FRS&C,9302310173,34306
2006,04:31.0,Army,Products,41001773429,183812
1991,04:31.0,Army,ERS,1310462000,NULL
1999,04:31.0,Other DoD,Products,1008173435,3875
2003,04:31.0,Navy,ERS,6660832340,23502
2008,04:31.0,Army,Products,74220105858,261616
1990,04:31.0,Air Force,FRS&C,3008878000,NULL
2013,04:31.0,Air Force,ERS,7806189134,14352
2007,04:31.0,Air Force,ICT,2745598199,12282
1990,04:31.0,Army,PAMS,1876333000,NULL
2013,04:31.0,Other DoD,FRS&C,287678443.8,1166
2002,04:31.0,MDA,R&D,2337419737,326
1996,04:31.0,Air Force,Products,19203405182,24681
1994,04:31.0,Other DoD,ICT,1305773792,4518
2009,04:31.0,Other DoD,ERS,2494398493,5921
1998,04:31.0,MilitaryHealth,MED,2559715040,382
2007,04:31.0,Army,R&D,10081177418,19451
2000,04:31.0,DLA,ERS,47093315,335
1990,04:31.0,Navy,ICT,1011192799,1
1996,04:31.0,DLA,Fuel,3787658704,1051
2003,04:31.0,DLA,MED,834683,10
2003,04:31.0,Army,ICT,2195463937,10289
1998,04:31.0,DLA,R&D,22586300,80
2010,04:31.0,MilitaryHealth,PAMS,9901810.45,35
2003,04:31.0,Air Force,PAMS,10317272248,16241
2004,04:31.0,Navy,Fuel,7772866,262
2012,04:31.0,Army,ERS,5289243084,31170
1995,04:31.0,Navy,PAMS,5254963320,18863
1995,04:31.0,Navy,FRS&C,4606987419,10729
2009,04:31.0,Air Force,ERS,7287880560,15071
1996,04:31.0,Army,ICT,1744079618,5274
2007,04:31.0,Other DoD,FRS&C,407760145.6,1151
1993,04:31.0,Air Force,ICT,825528584,NULL
2009,04:31.0,DLA,Fuel,18446240503,3394
2000,04:31.0,Other DoD,ICT,1849942628,5993
2002,04:31.0,Navy,Products,19447750593,31190
2003,04:31.0,DLA,FRS&C,255611172.6,1278
2006,04:31.0,Other DoD,FRS&C,334487570.3,1243
2001,04:31.0,Other DoD,ICT,2419772838,8034
1997,04:31.0,Other DoD,MED,386044,6
2004,04:31.0,Navy,ERS,6498655673,24007
2003,04:31.0,Navy,Products,23987835908,40339
1997,04:31.0,Army,ICT,1424318042,5138
1996,04:31.0,Other DoD,MED,4461524,7
2011,04:31.0,Army,Products,48858737989,187060
2010,04:31.0,MilitaryHealth,MED,10903187186,1176
2010,04:31.0,Air Force,MED,313421954.2,4202
2001,04:31.0,Army,R&D,5020994494,7038
1992,04:31.0,Other DoD,FRS&C,99965735,NULL
1995,04:31.0,Army,Fuel,602533,70
1995,04:31.0,Air Force,ERS,2464756858,3853
2002,04:31.0,NULL,FRS&C,0,NULL
1997,04:31.0,DLA,ICT,82525865,273
1992,04:31.0,Army,Fuel,14082794,NULL
1998,04:31.0,Navy,FRS&C,4680568708,11733
2010,04:31.0,Navy,PAMS,13195971578,58978
2014,04:31.0,MilitaryHealth,FRS&C,128631.9922,4
1994,04:31.0,Air Force,ERS,2976030852,4506
2004,04:31.0,DLA,PAMS,263508824.2,647
1996,04:31.0,Army,Products,10920651701,24554
1997,04:31.0,Army,Products,10637343718,23000
1996,04:31.0,Air Force,MED,21910985,144
2003,04:31.0,Army,PAMS,11014773220,42117
2004,04:31.0,Army,R&D,8059793077,12758
2000,04:31.0,Air Force,FRS&C,3258868967,14320
2010,04:31.0,DLA,Fuel,12045792813,3371
1996,04:31.0,DLA,Products,3175902547,26842
1998,04:31.0,Air Force,R&D,8169207550,6002
1998,04:31.0,DLA,MED,556951,10
1999,04:31.0,Other DoD,R&D,677546441,1147
1991,04:31.0,Navy,MED,136379920,NULL
1992,04:31.0,DLA,Fuel,3504595660,NULL
1993,04:31.0,DLA,Products,3165773548,NULL
2010,04:31.0,DLA,Products,20808738106,504644
2001,04:31.0,Air Force,PAMS,6364870959,10858
2001,04:31.0,Army,NULL,4175208.32,88
2008,04:31.0,Air Force,Products,25187170061,93230
2014,04:31.0,Other DoD,MED,44581508.32,151
2014,04:31.0,Air Force,MED,373654532.4,5285
1995,04:31.0,Air Force,MED,30910333,159
2009,04:31.0,MDA,Products,745695103.4,296
2000,04:31.0,Air Force,PAMS,5715843638,11118
1989,04:31.0,Army,FRS&C,62101000,NULL
2001,04:31.0,Air Force,R&D,8047789550,5818
2007,04:31.0,MilitaryHealth,ICT,289462.06,13
2003,04:31.0,Army,FRS&C,15550490422,63750
1996,04:31.0,DLA,ICT,47697464,270
2013,04:31.0,Other DoD,ERS,3088224552,9338098
1988,04:31.0,Army,FRS&C,-35000,NULL
2012,04:31.0,Navy,FRS&C,8616635671,33764
2014,04:31.0,Other DoD,ERS,3056897823,11434436
1992,04:31.0,Air Force,Fuel,69559723,NULL
2010,04:31.0,Navy,R&D,12067861633,14705
2001,04:31.0,DLA,NULL,0,NULL
2009,04:31.0,Army,Fuel,233191243,2474
2002,04:31.0,Navy,Fuel,4150798,87
2012,04:31.0,DLA,ERS,122318412.6,3249
1997,04:31.0,Army,ERS,866009880,3574
1994,04:31.0,Air Force,Products,21091352120,22984
2008,04:31.0,MilitaryHealth,ICT,209898.44,8
1996,04:31.0,Navy,PAMS,5303371272,18480
1993,04:31.0,Air Force,Products,19677621554,NULL
2001,04:31.0,DLA,R&D,106359381,374
2011,04:31.0,Navy,R&D,11477853073,16316
2001,04:31.0,Navy,Fuel,4724772,94
2014,04:31.0,Army,ICT,3309015468,9100
1997,04:31.0,DLA,ERS,26855065,88
1990,04:31.0,Navy,ERS,5690930114,NULL
2009,04:31.0,MilitaryHealth,ERS,51267.75,16
1996,04:31.0,MDA,R&D,299956885,335
2007,04:31.0,Navy,NULL,64467.27,9
2010,04:31.0,MDA,ERS,34053984.82,43
1991,04:31.0,DLA,Fuel,5883421000,NULL
2008,04:31.0,MilitaryHealth,ERS,208291.82,19
2004,04:31.0,Army,PAMS,17090233738,51757
1990,04:31.0,Navy,MED,126985000,NULL
2008,04:31.0,Navy,NULL,-2375.52,8
1994,04:31.0,Other DoD,Products,2153796569,6659
2007,04:31.0,Army,FRS&C,20920337317,85381
2013,04:31.0,MDA,PAMS,429269650.6,1006
2006,04:31.0,Army,FRS&C,21931184771,74964
2014,04:31.0,DLA,ICT,353863093.2,1157
2007,04:31.0,MDA,ERS,1333644,15
2008,04:31.0,MDA,R&D,4456445555,1813
2013,04:31.0,Army,R&D,4320744320,12615
2004,04:31.0,Navy,FRS&C,5577277838,37015
2005,04:31.0,MDA,ICT,22202402,30
2002,04:31.0,Army,Products,16636784808,56750
2011,04:31.0,MilitaryHealth,Products,6556655.49,272
2004,04:31.0,Navy,R&D,10211366625,10806
2003,04:31.0,Other DoD,ERS,608765571,860
2007,04:31.0,DLA,ICT,321474165.4,1481
1999,04:31.0,Navy,ERS,3818087924,8278
2011,04:31.0,DLA,PAMS,284920774,1506
1993,04:31.0,Other DoD,PAMS,1240524405,NULL
2013,04:31.0,Army,FRS&C,19620229431,77828
2014,04:31.0,MDA,Products,1834921076,455
1997,04:31.0,Navy,Products,15307556585,20399
1999,04:31.0,MilitaryHealth,ERS,58339,1
2014,04:31.0,Navy,ERS,6930218882,32915
1999,04:31.0,MDA,Products,81557,2
2008,04:31.0,Other DoD,PAMS,4015629298,10574
1990,04:31.0,Air Force,PAMS,3426428000,NULL
1990,04:31.0,Army,ICT,648614000,NULL
2012,04:31.0,Navy,Fuel,28333463.36,498
2006,04:31.0,Army,ERS,3717519245,22892
2008,04:31.0,Other DoD,NULL,761828.98,22
1989,04:31.0,Navy,FRS&C,297766000,NULL
2003,04:31.0,Other DoD,Products,1883720560,6808
1992,04:31.0,DLA,R&D,11065221,NULL
2006,04:31.0,Other DoD,MED,2703301,57
1994,04:31.0,Army,PAMS,3061799028,11403
2001,04:31.0,Other DoD,Products,923929612.5,3776
2004,04:31.0,MilitaryHealth,PAMS,1089731,19
2009,04:31.0,DLA,PAMS,386623608.2,2250
2009,04:31.0,Air Force,PAMS,11801238718,32932
2006,04:31.0,MDA,PAMS,198976690.8,306
2001,04:31.0,Navy,ICT,1536597498,6067
2006,04:31.0,Navy,FRS&C,6800533725,33039
2013,04:31.0,Army,PAMS,23198101492,61890
2007,04:31.0,MDA,ICT,28383916.66,46
2006,04:31.0,DLA,ERS,175383416.1,3080
1990,04:31.0,DLA,ICT,49129000,NULL
1994,04:31.0,MilitaryHealth,Products,177912,3
1993,04:31.0,Other DoD,R&D,1530821072,NULL
2007,04:31.0,DLA,MED,1058454.85,42
2011,04:31.0,Air Force,FRS&C,5387353592,26824
2011,04:31.0,DLA,FRS&C,919146987.3,10696
1992,04:31.0,Army,MED,158818600,NULL
2011,04:31.0,MDA,FRS&C,28962183.75,84
2005,04:31.0,Other DoD,ERS,552260595.7,1739
2010,04:31.0,Other DoD,R&D,2116924970,4311
2004,04:31.0,NULL,ICT,401586,NULL
2003,04:31.0,Navy,ICT,2240515173,13266
2007,04:31.0,Air Force,PAMS,13067000361,33140
2003,04:31.0,Air Force,ICT,2048508108,5696
2008,04:31.0,Other DoD,R&D,1381448689,2420
1991,04:31.0,Other DoD,PAMS,868873000,NULL
2009,04:31.0,MilitaryHealth,Products,1367788.38,30
1998,04:31.0,Army,FRS&C,8928039720,24533
2007,04:31.0,Air Force,R&D,11623245318,15569
1996,04:31.0,Army,R&D,4869480622,7043
2001,04:31.0,Air Force,ICT,1721461887,4094
2007,04:31.0,Army,MED,914169866.9,10675
2013,04:31.0,DLA,FRS&C,934840996.7,10781
2006,04:31.0,Other DoD,NULL,4374098.04,44
2000,04:31.0,MilitaryHealth,MED,1366839732,155
2004,04:31.0,Air Force,ERS,3500049428,5166
1998,04:31.0,DLA,FRS&C,115530153,663
2006,04:31.0,MDA,R&D,2802352762,814
2002,04:31.0,MilitaryHealth,MED,4180571837,352
2014,04:31.0,Navy,Products,46626120766,105501
1998,04:31.0,Air Force,Fuel,81166725,290
2011,04:31.0,DLA,R&D,55327288.34,158
1996,04:31.0,DLA,PAMS,71073362,433
2005,04:31.0,DLA,ICT,559818827.4,2055
1990,04:31.0,Army,NULL,NULL,NULL
1994,04:31.0,DLA,FRS&C,164088897,1374
2002,04:31.0,DLA,Fuel,5373631309,1036
2005,04:31.0,Air Force,MED,134544941.7,1937
1990,04:31.0,DLA,MED,202000,NULL
1998,04:31.0,MilitaryHealth,ICT,327102,11
2004,04:31.0,DLA,Products,11954495339,104773
1989,04:31.0,Army,Products,243481000,NULL
1998,04:31.0,Navy,MED,204275781,776
2010,04:31.0,Navy,Fuel,19250801.39,574
1994,04:31.0,Air Force,FRS&C,4156656914,12390
2009,04:31.0,Air Force,FRS&C,6763099787,27613
1991,04:31.0,Other DoD,R&D,1488370000,NULL
2011,04:31.0,Army,R&D,7745906648,16604
2000,04:31.0,Navy,MED,140747887,875
1996,04:31.0,Army,PAMS,4695436493,16536
1990,04:31.0,DLA,NULL,NULL,NULL
2005,04:31.0,Army,ICT,2229807749,11092
2004,04:31.0,Other DoD,MED,2520014,24
1990,04:31.0,Air Force,R&D,10875880000,NULL
2003,04:31.0,Air Force,MED,50864795.4,352
1994,04:31.0,Army,R&D,3787033262,5109
2006,04:31.0,MilitaryHealth,PAMS,6476288,17
2012,04:31.0,Navy,ERS,6624478145,33949
2004,04:31.0,MilitaryHealth,ICT,277149,11
2000,04:31.0,DLA,ICT,238303128,580
2005,04:31.0,MilitaryHealth,Products,2163487,26
2003,04:31.0,Other DoD,NULL,4339649,18
1993,04:31.0,Navy,ERS,3536365469,284
2001,04:31.0,Army,ERS,1903120793,3726
NULL,04:31.0,Other DoD,NULL,NULL,NULL
2011,04:31.0,MilitaryHealth,PAMS,15721529.7,142
1998,04:31.0,MilitaryHealth,Products,895768,7
1997,04:31.0,Air Force,Products,14906441573,22158
1999,04:31.0,Air Force,MED,25910886,174
2003,04:31.0,Air Force,Fuel,7106275,51
1997,04:31.0,Army,R&D,4807349465,6717
2002,04:31.0,Army,MED,925010558.5,3313
1992,04:31.0,Army,FRS&C,8268875509,NULL
2011,04:31.0,Air Force,Products,25847838516,95456
2004,04:31.0,Army,ICT,2635809344,13009
2010,04:31.0,Navy,Products,42088768675,144428
2004,04:31.0,Air Force,PAMS,9431274207,16607
2005,04:31.0,Navy,Fuel,16973418,582
1991,04:31.0,Navy,ICT,1163680627,NULL
2013,04:31.0,Army,Fuel,468405758.4,1918
1998,04:31.0,Navy,Fuel,3874302,63
2013,04:31.0,MilitaryHealth,MED,11768277818,809
2011,04:31.0,Other DoD,MED,2694471.23,109
1995,04:31.0,Army,MED,175978711,842
1991,04:31.0,Navy,FRS&C,3837284437,NULL
1990,04:31.0,Air Force,ICT,874350000,NULL
2007,04:31.0,Army,PAMS,25160512640,73028
1997,04:31.0,Other DoD,ICT,1426474102,4819
1995,04:31.0,MilitaryHealth,MED,1344041248,237
2002,04:31.0,MDA,Products,968155,10
2011,04:31.0,Navy,ERS,6932499190,36432
1994,04:31.0,Navy,MED,166833916,554
2002,04:31.0,DLA,MED,505656,8
2014,04:31.0,Air Force,FRS&C,4922318679,22120
1992,04:31.0,Other DoD,ERS,18213604,NULL
2000,04:31.0,DLA,Products,5378036491,42030
1993,04:31.0,Army,ICT,1158914718,NULL
2013,04:31.0,DLA,Fuel,13750942138,3700
1999,04:31.0,DLA,Fuel,2543978015,736
2000,04:31.0,MDA,FRS&C,49921,1
1992,04:31.0,DLA,FRS&C,181577749,NULL
2009,04:31.0,Air Force,NULL,-4570.18,1
2013,04:31.0,Army,MED,904188382.2,8061
2006,04:31.0,Navy,Products,33698333457,131063
2014,04:31.0,DLA,Products,18308572658,542897
2000,04:31.0,Army,Products,13605768275,23404
2008,04:31.0,DLA,R&D,18746585.39,96
2007,04:31.0,DLA,PAMS,265780152.1,2282
1991,04:31.0,Other DoD,Products,336920000,NULL
1992,04:31.0,Navy,Products,20820164174,19
2005,04:31.0,Other DoD,PAMS,2563693831,5258
2003,04:31.0,MDA,R&D,2457552933,424
1994,04:31.0,Air Force,R&D,9776608191,7700
2008,04:31.0,Air Force,ICT,2608473973,11401
1991,04:31.0,Air Force,ERS,2594081000,NULL
1998,04:31.0,Other DoD,PAMS,373694167,1381
2003,04:31.0,Other DoD,FRS&C,400857563.4,631
2009,04:31.0,MDA,PAMS,498745687.6,892
1997,04:31.0,Air Force,ICT,916704628,3184
2011,04:31.0,DLA,ICT,713514774.1,1462
2012,04:31.0,Army,NULL,-648621.43,12
1999,04:31.0,Navy,PAMS,6343466288,21277
1993,04:31.0,Other DoD,MED,421793954,NULL
2006,04:31.0,Other DoD,ERS,490644961.2,2111
2001,04:31.0,MDA,ICT,6351460,28
2003,04:31.0,Navy,FRS&C,6867124227,46488
1992,04:31.0,Other DoD,R&D,1801668918,NULL
1990,04:31.0,Other DoD,NULL,NULL,NULL
1999,04:31.0,Other DoD,FRS&C,174762657,357
2003,04:31.0,Navy,PAMS,6848745583,30661
2014,04:31.0,Navy,MED,374895343.2,4796
1995,04:31.0,DLA,FRS&C,155693834,1180
2001,04:31.0,DLA,Fuel,4078255050,698
1991,04:31.0,Air Force,R&D,9482388000,NULL
2001,04:31.0,Air Force,ERS,2078899199,3930
2005,04:31.0,Army,ERS,5023546384,26363
1989,04:31.0,Army,ICT,70000,NULL
2004,04:31.0,DLA,ICT,396348414.5,612
2011,04:31.0,Navy,Products,56635377863,134563
2004,04:31.0,Air Force,MED,65318814.24,593
2003,04:31.0,Army,Products,25181519609,105814
2005,04:31.0,Other DoD,MED,10948129,65
2012,04:31.0,Army,FRS&C,24086668509,90702
1993,04:31.0,Other DoD,ICT,1461685294,NULL
1990,04:31.0,Navy,FRS&C,2810773778,NULL
1993,04:31.0,Army,R&D,4534948085,NULL
2003,04:31.0,Army,Fuel,26451304,508
1994,04:31.0,Navy,Fuel,10513795,123
2005,04:31.0,Army,Products,41792846359,180710
2007,04:31.0,MDA,PAMS,298503548,413
2008,04:31.0,Air Force,R&D,12120148961,16688
2011,04:31.0,Other DoD,PAMS,5132717111,17028
2005,04:31.0,MDA,R&D,3333340481,489
1993,04:31.0,DLA,R&D,12183947,NULL
2006,04:31.0,Army,NULL,101406156.7,237
1997,04:31.0,DLA,FRS&C,161853693,856
2001,04:31.0,MilitaryHealth,ICT,126707,2
2005,04:31.0,Navy,PAMS,7755995161,44952
1993,04:31.0,DLA,PAMS,31091749,NULL
2001,04:31.0,Air Force,Products,19243080946,17595
2007,04:31.0,MilitaryHealth,FRS&C,17279.1,6
2012,04:31.0,DLA,PAMS,295171381,1465
2008,04:31.0,Army,NULL,588569.71,159
2007,04:31.0,MilitaryHealth,PAMS,7884183.3,21
2003,04:31.0,Navy,R&D,10054158802,10151
1995,04:31.0,DLA,R&D,13998525,34
2001,04:31.0,Army,Fuel,5003551,93
2009,04:31.0,MilitaryHealth,FRS&C,30000,2
2014,04:31.0,MDA,FRS&C,17743124.45,39
1995,04:31.0,DLA,PAMS,48547271,258
2008,04:31.0,Army,ICT,3465842799,14876
2001,04:31.0,Navy,NULL,396812.83,12
2009,04:31.0,Navy,Fuel,17078324.17,524
2012,04:31.0,Army,PAMS,26088581125,73432
2002,04:31.0,MDA,ERS,143615.2,1
2008,04:31.0,DLA,NULL,0,NULL
2005,04:31.0,DLA,ERS,181893434.2,3007
1993,04:31.0,Air Force,PAMS,3557647002,NULL
1991,04:31.0,Other DoD,ICT,995664000,NULL
2005,04:31.0,Other DoD,NULL,563383.2,82
2013,04:31.0,MilitaryHealth,Fuel,1825000,2
1997,04:31.0,Air Force,Fuel,82113330,264
1993,04:31.0,Air Force,R&D,9806353387,NULL
2007,04:31.0,Other DoD,MED,3813497,67
2012,04:31.0,DLA,R&D,23337878.84,100
2012,04:31.0,DLA,FRS&C,714747939.8,11622
2005,04:31.0,Navy,FRS&C,6082514176,39597
1999,04:31.0,MilitaryHealth,ICT,-1155842,9
1994,04:31.0,Navy,Products,17314528225,23915
2002,04:31.0,NULL,Products,0,NULL
2002,04:31.0,Air Force,MED,45197393,279
1995,04:31.0,Army,FRS&C,8408025701,21309
2010,04:31.0,Army,R&D,8529727526,17072
2003,04:31.0,DLA,Products,10991647873,86427
1997,04:31.0,Army,FRS&C,8618796806,24374
2008,04:31.0,Air Force,PAMS,10890899953,32359
1993,04:31.0,Army,PAMS,3442439621,NULL
1997,04:31.0,Air Force,R&D,8282860396,6499
2011,04:31.0,MilitaryHealth,FRS&C,8464.58,6
2008,04:31.0,Other DoD,Products,1995350775,14440
2003,04:31.0,Navy,NULL,2995459.43,66
1998,04:31.0,Navy,Products,16723412952,21460
1993,04:31.0,Army,FRS&C,7809412781,NULL
2003,04:31.0,MilitaryHealth,ICT,267806,10
1994,04:31.0,MilitaryHealth,PAMS,354684912,64
2002,04:31.0,NULL,Fuel,0,NULL
2009,04:31.0,Navy,Products,45978801926,148684
2004,04:31.0,MilitaryHealth,Products,612094,16
1992,04:31.0,Navy,ERS,5508591347,1
1992,04:31.0,Navy,R&D,5128713949,1
2013,04:31.0,Navy,Fuel,27925132.09,478
2003,04:31.0,MDA,PAMS,50535050.9,114
1996,04:31.0,Other DoD,R&D,672024290,1284
2005,04:31.0,MilitaryHealth,MED,6397889563,569
2005,04:31.0,Army,Fuel,42288386,1075
2003,04:31.0,MilitaryHealth,MED,5882504451,588
1997,04:31.0,DLA,PAMS,80541332,440
2013,04:31.0,MilitaryHealth,ERS,1246927.885,95
1991,04:31.0,Army,R&D,4427159000,NULL
2010,04:31.0,Army,ICT,4189735876,14327
1990,04:31.0,Navy,R&D,5386699764,NULL
2007,04:31.0,Navy,Products,40766572285,149429
2012,04:31.0,MilitaryHealth,ICT,33820941.05,94
1993,04:31.0,Other DoD,ERS,49327825,NULL
2006,04:31.0,Army,PAMS,21250604363,63728
2014,04:31.0,MilitaryHealth,MED,12580340280,947
1989,04:31.0,Army,R&D,14983000,NULL
1990,04:31.0,Air Force,ERS,1646144000,NULL
1991,04:31.0,Army,FRS&C,8228012000,NULL
1999,04:31.0,Navy,FRS&C,4937494864,11773
1995,04:31.0,Air Force,R&D,8811071363,6790
2008,04:31.0,Air Force,NULL,0,NULL
2005,04:31.0,DLA,Fuel,9497647051,2347
1997,04:31.0,Army,PAMS,4256896053,16658
1991,04:31.0,Air Force,ICT,1059478000,NULL
1994,04:31.0,Other DoD,Fuel,186486,5
2006,04:31.0,Other DoD,Products,2246699620,16273
1997,04:31.0,Air Force,ERS,3100735510,3970
2011,04:31.0,DLA,ERS,109440235.2,2319
2014,04:31.0,DLA,Fuel,11686867972,21226
2001,04:31.0,Army,Products,15342427086,25911
1991,04:31.0,DLA,FRS&C,137659000,NULL
1999,04:31.0,Air Force,FRS&C,3231950553,9809
1999,04:31.0,Army,Products,11867122857,22574
2001,04:31.0,Navy,FRS&C,5668830621,27724
2001,04:31.0,MDA,FRS&C,108534775,101
2004,04:31.0,Air Force,FRS&C,4410077608,14703
2014,04:31.0,Army,Fuel,423750222.2,2481
1987,04:31.0,Army,ICT,-171000,NULL
2013,04:31.0,Other DoD,PAMS,5410290471,20462
2003,04:31.0,Other DoD,R&D,874405437.1,1125
1988,04:31.0,Navy,MED,25000,NULL
2008,04:31.0,Navy,ICT,5292496947,42327
1991,04:31.0,Other DoD,ERS,13402000,NULL
2000,04:31.0,MDA,ICT,5474213,13
1995,04:31.0,Navy,MED,175289527,518
2014,04:31.0,Air Force,PAMS,10646454699,24582
2005,04:31.0,Navy,NULL,415117,3
2014,04:31.0,Navy,PAMS,10434103309,46999
2001,04:31.0,DLA,Products,6516315911,55370
2009,04:31.0,MilitaryHealth,NULL,303279,1
2008,04:31.0,DLA,PAMS,368599843.4,2236
1994,04:31.0,Other DoD,MED,14043987,25
2002,04:31.0,MDA,ICT,19762042,56
2000,04:31.0,Air Force,MED,15506867,150
2010,04:31.0,DLA,ICT,577144449.1,1918
2009,04:31.0,Army,ERS,5243919464,28749
2006,04:31.0,DLA,PAMS,201965265,1595
2001,04:31.0,MDA,R&D,1550045227,248
2003,04:31.0,NULL,Fuel,0,NULL
2006,04:31.0,Air Force,ICT,2714269811,8337
1994,04:31.0,Army,FRS&C,7160112085,17157
2006,04:31.0,Air Force,Products,26459132515,96167
1998,04:31.0,DLA,Products,3879985381,34651
1991,04:31.0,Navy,R&D,4326067573,2
2006,04:31.0,Other DoD,ICT,4048335790,14086
2002,04:31.0,Navy,NULL,52766816.14,46
1998,04:31.0,Army,Products,10092138202,22056
2013,04:31.0,DLA,R&D,15823799.66,106
2009,04:31.0,MilitaryHealth,PAMS,7115253.93,21
2001,04:31.0,Air Force,Fuel,26214217,180
2012,04:31.0,MilitaryHealth,FRS&C,1923038.25,15
1990,04:31.0,Navy,PAMS,4343410835,2
1990,04:31.0,Other DoD,R&D,1383473000,NULL
2001,04:31.0,Other DoD,NULL,626059,17
2008,04:31.0,DLA,FRS&C,748666649.6,13528
2012,04:31.0,MDA,ERS,58421448.52,40
1989,04:31.0,Navy,Fuel,39000,NULL
1996,04:31.0,Navy,ICT,1091424102,5006
2004,04:31.0,MilitaryHealth,MED,5120436793,701
2013,04:31.0,Air Force,PAMS,10312259361,27954
1991,04:31.0,DLA,PAMS,29494000,NULL
2010,04:31.0,Air Force,R&D,13377744231,17811
2002,04:31.0,MilitaryHealth,ICT,-45921,5
2000,04:31.0,Air Force,ERS,2510815032,4301
2014,04:31.0,Other DoD,PAMS,4669256337,19430
1992,04:31.0,Army,R&D,5038330514,NULL
2008,04:31.0,Other DoD,ERS,2604581378,5660
2008,04:31.0,Army,FRS&C,28983688488,87461
2006,04:31.0,Army,R&D,10436498873,14240
2009,04:31.0,MDA,FRS&C,34203056.48,76
1990,04:31.0,DLA,Fuel,4871689000,NULL
2009,04:31.0,Army,Products,60401583242,228476
1995,04:31.0,Other DoD,ICT,1350092310,4452
2004,04:31.0,Army,Fuel,12594603,750
1998,04:31.0,Air Force,FRS&C,3334967635,10033
2009,04:31.0,Other DoD,MED,3156210.21,101
2012,04:31.0,Air Force,Fuel,17348169.89,319
2010,04:31.0,DLA,NULL,-17073.24,4
2007,04:31.0,Navy,ICT,5180053579,44493
2007,04:31.0,Air Force,ERS,6087369777,15760
2004,04:31.0,Army,MED,1019647814,7457
1996,04:31.0,Other DoD,Products,696059430,3149
2007,04:31.0,Navy,Fuel,19252957.28,596
2010,04:31.0,DLA,ERS,101168251.6,2974
2009,04:31.0,Army,ICT,3511734203,15232
2008,04:31.0,Navy,Products,51510991185,159539
2007,04:31.0,Other DoD,Products,1670109502,12872
1995,04:31.0,Navy,ERS,4903007296,9166
2000,04:31.0,Navy,FRS&C,4804799381,25522
1998,04:31.0,MDA,FRS&C,12007965,31
1990,04:31.0,DLA,FRS&C,103698000,NULL
1990,04:31.0,Other DoD,ERS,9048000,NULL
2003,04:31.0,Army,ERS,2042917146,12092
2006,04:31.0,Other DoD,Fuel,201019,20
1989,04:31.0,Other DoD,PAMS,3488000,NULL
2005,04:31.0,Air Force,FRS&C,5079809594,19219
2004,04:31.0,DLA,Fuel,6499707680,1091
1999,04:31.0,DLA,ERS,37471949,210
2009,04:31.0,Navy,ERS,6787064210,36515
2009,04:31.0,DLA,ICT,406745532.2,1661
2010,04:31.0,Army,ERS,5368452652,30663
1991,04:31.0,Army,PAMS,2701555000,NULL
1995,04:31.0,DLA,ICT,36426555,202
2006,04:31.0,MilitaryHealth,ICT,282219.96,11
2001,04:31.0,Other DoD,FRS&C,355727228,403
2010,04:31.0,Navy,MED,612902674.3,6282
2014,04:31.0,Air Force,R&D,9167276186,13875
2001,04:31.0,Air Force,MED,30199957,197
1997,04:31.0,Navy,ICT,1176195746,4486
2013,04:31.0,MilitaryHealth,Products,41698342.76,352
2002,04:31.0,Air Force,Fuel,6312070,37
2011,04:31.0,Other DoD,FRS&C,224821818.1,1494
2001,04:31.0,DLA,ICT,243838065.7,432
2005,04:31.0,DLA,R&D,20638939,130
2008,04:31.0,Navy,R&D,12591754003,13898
2009,04:31.0,DLA,FRS&C,603568929.8,13881
2004,04:31.0,Other DoD,FRS&C,358297692.5,1133
2006,04:31.0,Navy,R&D,14643844774,14008
2000,04:31.0,Army,ERS,1407625669,3201
2007,04:31.0,DLA,FRS&C,1297502799,12808
2002,04:31.0,Other DoD,NULL,3257853.25,23
2008,04:31.0,Navy,ERS,6361052991,36279
1990,04:31.0,DLA,PAMS,31235000,NULL
2012,04:31.0,Other DoD,R&D,1785990101,4298
1998,04:31.0,Army,Fuel,9184830,71
2005,04:31.0,Air Force,PAMS,11042697631,24852
2011,04:31.0,Air Force,R&D,13605050287,18182
2013,04:31.0,Navy,MED,351650623.9,4874
2002,04:31.0,DLA,ERS,53581389,342
2011,04:31.0,Army,NULL,-60234.57,28
1995,04:31.0,MDA,R&D,251001833,301
2004,04:31.0,Navy,MED,262766097.4,2510
1988,04:31.0,Other DoD,Products,44000,NULL
2012,04:31.0,MDA,Products,2371209369,446
1999,04:31.0,Navy,Fuel,5055846,67
2011,04:31.0,MDA,ICT,2833540.53,23
1996,04:31.0,Army,MED,171059238,1187
2006,04:31.0,Air Force,ERS,5567915090,12641
1997,04:31.0,Other DoD,Products,729678573,3440
2011,04:31.0,Air Force,Fuel,15212546.3,243
