TableName,AccountDSI,BudgetActivity,BudgetActivityTitle,BSA,BSAtitle,LineItem,LineItemTitle,CostType,CostTypeTitle,ProcurementCategory,Classified,FiscalYear,OriginType,PBtotal,PBtotal,PBtype,EnactedTotal,EnactedType,SpecialType,ActualTotal,QuantPBtotal,QuantPBtype,QuantEnactedTotal,QuantEnactedType,QuantSpecialType,QuantActualTotal
Linked to ProjectID,1506N,1,Combat aircraft,1,COMBAT AIRCRAFT,147,Joint Strike Fighter CV,A,WEAPON SYSTEM COST,Aircraft,,2004,Total,0,0,0,0,0,0,0,0,0,0,0,0,0
Linked to ProjectID,1506N,1,Combat aircraft,1,COMBAT AIRCRAFT,147,Joint Strike Fighter CV,A,WEAPON SYSTEM COST,Aircraft,,2005,Total,0,0,0,0,0,0,0,0,0,0,0,0,0
Linked to ProjectID,1506N,1,Combat aircraft,1,COMBAT AIRCRAFT,147,Joint Strike Fighter CV,A,WEAPON SYSTEM COST,Aircraft,,2005,Total,0,0,0,0,0,0,0,0,0,0,0,0,0
Linked to ProjectID,1506N,1,Combat aircraft,1,COMBAT AIRCRAFT,147,Joint Strike Fighter CV,A,WEAPON SYSTEM COST,Aircraft,,2005,Total,0,0,0,0,0,0,0,0,0,0,0,0,0
Linked to ProjectID,1506N,1,Combat aircraft,1,COMBAT AIRCRAFT,147,Joint Strike Fighter CV,A,WEAPON SYSTEM COST,Aircraft,,2006,Total,0,0,0,0,0,0,0,0,0,0,0,0,0
Linked to ProjectID,1506N,1,Combat aircraft,1,COMBAT AIRCRAFT,147,Joint Strike Fighter CV,A,WEAPON SYSTEM COST,Aircraft,,2006,Total,0,0,0,0,0,0,0,0,0,0,0,0,0
Linked to ProjectID,1506N,1,Combat aircraft,1,COMBAT AIRCRAFT,147,Joint Strike Fighter CV,A,WEAPON SYSTEM COST,Aircraft,,2006,Total,0,0,0,0,0,0,0,0,0,0,0,0,0
Linked to ProjectID,1506N,1,Combat aircraft,1,COMBAT AIRCRAFT,147,Joint Strike Fighter CV,A,WEAPON SYSTEM COST,Aircraft,,2007,Total,0,0,0,0,0,0,0,0,0,0,0,0,0
Linked to ProjectID,1506N,1,Combat aircraft,1,COMBAT AIRCRAFT,147,Joint Strike Fighter CV,A,WEAPON SYSTEM COST,Aircraft,,2007,Total,0,0,0,0,0,0,0,0,0,0,0,0,0
Linked to ProjectID,1506N,1,Combat aircraft,1,COMBAT AIRCRAFT,147,Joint Strike Fighter CV,A,WEAPON SYSTEM COST,Aircraft,,2007,Total,0,0,0,0,0,0,0,0,0,0,0,0,0
