TableName,ProgramElement,ProgramElementTitle,BudgetActivity,BudgetActivityTitle,AccountDSI,Classified,FiscalYear,OriginType,PBtotal,PBtype,EnactedTotal,EnactedType,SpecialType,ActualTotal
Linked to ProjectID,0603800F,Joint Strike Fighter,4,Advanced Component Development & Prototypes,3600F,,2005,Total,0,0,0,0,0,0
Linked to ProjectID,0603800F,Joint Strike Fighter,4,Advanced Component Development & Prototypes,3600F,,2006,Total,0,0,0,0,0,0
Linked to ProjectID,0603800F,Joint Strike Fighter,4,Advanced Component Development & Prototypes,3600F,,2006,Total,0,0,0,0,0,0
Linked to ProjectID,0603800F,Joint Strike Fighter,4,Advanced Component Development & Prototypes,3600F,,2006,Total,0,0,0,0,0,0
Linked to ProjectID,0603800F,Joint Strike Fighter,4,Advanced Component Development & Prototypes,3600F,,2007,Total,0,0,0,0,0,0
Linked to ProjectID,0603800F,Joint Strike Fighter,4,Advanced Component Development & Prototypes,3600F,,2007,Total,0,0,0,0,0,0
Linked to ProjectID,0603800F,Joint Strike Fighter,4,Advanced Component Development & Prototypes,3600F,,2007,Total,0,0,0,0,0,0
Linked to ProjectID,0603800F,Joint Strike Fighter,4,Advanced Component Development & Prototypes,3600F,,2008,Total,0,0,0,0,0,0
Linked to ProjectID,0603800F,Joint Strike Fighter,4,Advanced Component Development & Prototypes,3600F,,2008,Total,0,0,0,0,0,0
Linked to ProjectID,0603800F,Joint Strike Fighter,4,Advanced Component Development & Prototypes,3600F,,2008,Total,0,0,0,0,0,0
Linked to ProjectID,0603800F,Joint Strike Fighter,4,Advanced Component Development & Prototypes,3600F,,2009,Total,0,0,0,0,0,0
Linked to ProjectID,0603800F,Joint Strike Fighter,4,Advanced Component Development & Prototypes,3600F,,2009,Total,0,0,0,0,0,0
Linked to ProjectID,0603800F,Joint Strike Fighter,4,Advanced Component Development & Prototypes,3600F,,2010,OCO,0,0,0,0,0,0
Linked to ProjectID,0603800F,Joint Strike Fighter,4,Advanced Component Development & Prototypes,3600F,,2010,Total,0,0,0,0,0,0
Linked to ProjectID,0603800N,Joint Strike Fighter (JSF) - Dem/Val,4,Advanced Component Development & Prototypes,1319N,,1999,Total,0,0,0,0,0,471362
Linked to ProjectID,0603800N,Joint Strike Fighter (JSF) - Dem/Val,4,Advanced Component Development & Prototypes,1319N,,2000,Total,0,0,239907,0,0,0
Linked to ProjectID,0603800N,Joint Strike Fighter (JSF) - Dem/Val,4,Advanced Component Development & Prototypes,1319N,,2000,Total,0,0,0,0,0,238420
Linked to ProjectID,0603800N,Joint Strike Fighter (JSF) - Dem/Val,4,Advanced Component Development & Prototypes,1319N,,2001,Total,131566,0,0,0,0,0
Linked to ProjectID,0603800N,Joint Strike Fighter (JSF) - Dem/Val,4,Advanced Component Development & Prototypes,1319N,,2001,Total,0,0,240820,0,0,0
Linked to ProjectID,0603800N,Joint Strike Fighter (JSF) - Dem/Val,4,Advanced Component Development & Prototypes,1319N,,2001,Total,0,0,0,0,0,341164
Linked to ProjectID,0603800N,Joint Strike Fighter (JSF) - Dem/Val,4,Advanced Component Development & Prototypes,1319N,,2002,Total,0,0,0,0,0,0
Linked to ProjectID,0603800N,Joint Strike Fighter (JSF) - Dem/Val,4,Advanced Component Development & Prototypes,1319N,,2002,Total,0,0,0,0,0,0
Linked to ProjectID,0603800N,Joint Strike Fighter (JSF) - Dem/Val,4,Advanced Component Development & Prototypes,1319N,,2002,Total,0,0,0,0,0,0
Linked to ProjectID,0603800N,Joint Strike Fighter (JSF) - Dem/Val,4,Advanced Component Development & Prototypes,1319N,,2003,Total,0,0,0,0,0,0
Linked to ProjectID,0603800N,Joint Strike Fighter (JSF) - Dem/Val,4,Advanced Component Development & Prototypes,1319N,,2003,Total,0,0,0,0,0,0
Linked to ProjectID,0603800N,Joint Strike Fighter (JSF) - Dem/Val,4,Advanced Component Development & Prototypes,1319N,,2003,Total,0,0,0,0,0,0
Linked to ProjectID,0603800N,Joint Strike Fighter (JSF) - Dem/Val,4,Advanced Component Development & Prototypes,1319N,,2004,Total,0,0,0,0,0,0
Linked to ProjectID,0603800N,Joint Strike Fighter (JSF) - Dem/Val,4,Advanced Component Development & Prototypes,1319N,,2004,Total,0,0,0,0,0,0
Linked to ProjectID,0603800N,Joint Strike Fighter (JSF) - Dem/Val,4,Advanced Component Development & Prototypes,1319N,,2004,Total,0,0,0,0,0,0
Linked to ProjectID,0603800N,Joint Strike Fighter (JSF) - Dem/Val,4,Advanced Component Development & Prototypes,1319N,,2005,Total,0,0,0,0,0,0
Linked to ProjectID,0603800N,Joint Strike Fighter (JSF) - Dem/Val,4,Advanced Component Development & Prototypes,1319N,,2005,Total,0,0,0,0,0,0
Linked to ProjectID,0603800N,Joint Strike Fighter (JSF) - Dem/Val,4,Advanced Component Development & Prototypes,1319N,,2005,Total,0,0,0,0,0,0
Linked to ProjectID,0603800N,Joint Strike Fighter (JSF) - Dem/Val,4,Advanced Component Development & Prototypes,1319N,,2006,Total,0,0,0,0,0,0
Linked to ProjectID,0603800N,Joint Strike Fighter (JSF) - Dem/Val,4,Advanced Component Development & Prototypes,1319N,,2006,Total,0,0,0,0,0,0
Linked to ProjectID,0603800N,Joint Strike Fighter (JSF) - Dem/Val,4,Advanced Component Development & Prototypes,1319N,,2006,Total,0,0,0,0,0,0
Linked to ProjectID,0603800N,Joint Strike Fighter (JSF) - Dem/Val,4,Advanced Component Development & Prototypes,1319N,,2007,Total,0,0,0,0,0,0
Linked to ProjectID,0603800N,Joint Strike Fighter (JSF) - Dem/Val,4,Advanced Component Development & Prototypes,1319N,,2007,Total,0,0,0,0,0,0
Linked to ProjectID,0603800N,Joint Strike Fighter (JSF) - Dem/Val,4,Advanced Component Development & Prototypes,1319N,,2007,Total,0,0,0,0,0,0
Linked to ProjectID,0603800N,Joint Strike Fighter (JSF) - Dem/Val,4,Advanced Component Development & Prototypes,1319N,,2008,Total,0,0,0,0,0,0
Linked to ProjectID,0603800N,Joint Strike Fighter (JSF) - Dem/Val,4,Advanced Component Development & Prototypes,1319N,,2008,Total,0,0,0,0,0,0
Linked to ProjectID,0603800N,Joint Strike Fighter (JSF) - Dem/Val,4,Advanced Component Development & Prototypes,1319N,,2008,Total,0,0,0,0,0,0
Linked to ProjectID,0603800N,Joint Strike Fighter (JSF) - Dem/Val,4,Advanced Component Development & Prototypes,1319N,,2009,Total,0,0,0,0,0,0
Linked to ProjectID,0603800N,Joint Strike Fighter (JSF) - Dem/Val,4,Advanced Component Development & Prototypes,1319N,,2009,Total,0,0,0,0,0,0
Linked to ProjectID,0603800N,Joint Strike Fighter (JSF) - Dem/Val,4,Advanced Component Development & Prototypes,1319N,,2010,OCO,0,0,0,0,0,0
Linked to ProjectID,0603800N,Joint Strike Fighter (JSF) - Dem/Val,4,Advanced Component Development & Prototypes,1319N,,2010,Total,0,0,0,0,0,0
Linked to ProjectID,0604800F,F-35 - EMD,5,System Development & Demonstration,3600F,,1999,Total,0,0,0,0,0,0
Linked to ProjectID,0604800F,F-35 - EMD,5,System Development & Demonstration,3600F,,2000,Total,0,0,0,0,0,0
Linked to ProjectID,0604800F,F-35 - EMD,5,System Development & Demonstration,3600F,,2000,Total,0,0,0,0,0,0
Linked to ProjectID,0604800F,F-35 - EMD,5,System Development & Demonstration,3600F,,2001,Total,0,0,0,0,0,0
Linked to ProjectID,0604800F,F-35 - EMD,5,System Development & Demonstration,3600F,,2001,Total,299540,0,0,0,0,0
Linked to ProjectID,0604800F,F-35 - EMD,5,System Development & Demonstration,3600F,,2001,Total,0,0,100346,0,0,0
Linked to ProjectID,0604800F,F-35 - EMD,5,System Development & Demonstration,3600F,,2002,Total,0,0,0,0,0,720058
Linked to ProjectID,0604800F,F-35 - EMD,5,System Development & Demonstration,3600F,,2002,Total,769511,0,0,0,0,0
Linked to ProjectID,0604800F,F-35 - EMD,5,System Development & Demonstration,3600F,,2002,Total,0,0,761893,0,0,0
Linked to ProjectID,0604800F,F-35 - EMD,5,System Development & Demonstration,3600F,,2003,Total,1743668,0,0,0,0,0
Linked to ProjectID,0604800F,F-35 - EMD,5,System Development & Demonstration,3600F,,2003,Total,0,0,1697810,0,0,0
Linked to ProjectID,0604800F,F-35 - EMD,5,System Development & Demonstration,3600F,,2003,Total,0,0,0,0,0,1612826
Linked to ProjectID,0604800F,F-35 - EMD,5,System Development & Demonstration,3600F,,2004,Total,2194087,0,0,0,0,0
Linked to ProjectID,0604800F,F-35 - EMD,5,System Development & Demonstration,3600F,,2004,Total,0,0,2092547,0,0,0
Linked to ProjectID,0604800F,F-35 - EMD,5,System Development & Demonstration,3600F,,2004,Total,0,0,0,0,0,2021034
Linked to ProjectID,0604800F,F-35 - EMD,5,System Development & Demonstration,3600F,,2005,Total,0,0,0,0,0,2080058
Linked to ProjectID,0604800F,F-35 - EMD,5,System Development & Demonstration,3600F,,2005,Total,2307420,0,0,0,0,0
Linked to ProjectID,0604800F,F-35 - EMD,5,System Development & Demonstration,3600F,,2005,Total,0,0,2181272,0,0,0
Linked to ProjectID,0604800F,F-35 - EMD,5,System Development & Demonstration,3600F,,2006,Total,2474763,0,0,0,0,0
Linked to ProjectID,0604800F,F-35 - EMD,5,System Development & Demonstration,3600F,,2006,Total,0,0,2333009,0,0,0
Linked to ProjectID,0604800F,F-35 - EMD,5,System Development & Demonstration,3600F,,2006,Total,0,0,0,0,0,2264836
Linked to ProjectID,0604800F,F-35 - EMD,5,System Development & Demonstration,3600F,,2007,Total,0,0,2132924,0,0,0
Linked to ProjectID,0604800F,F-35 - EMD,5,System Development & Demonstration,3600F,,2007,Total,0,0,0,0,0,2074021
Linked to ProjectID,0604800F,F-35 - EMD,5,System Development & Demonstration,3600F,,2007,Total,1999068,0,0,0,0,0
Linked to ProjectID,0604800F,F-35 - EMD,5,System Development & Demonstration,3600F,,2008,Total,1780874,0,0,0,0,0
Linked to ProjectID,0604800F,F-35 - EMD,5,System Development & Demonstration,3600F,,2008,Total,0,0,0,0,0,1939107
Linked to ProjectID,0604800F,F-35 - EMD,5,System Development & Demonstration,3600F,,2008,Total,0,0,1991537,0,0,0
Linked to ProjectID,0604800F,F-35 - EMD,5,System Development & Demonstration,3600F,,2009,Total,1524016,0,0,0,0,0
Linked to ProjectID,0604800F,F-35 - EMD,5,System Development & Demonstration,3600F,,2009,Total,0,0,1734299,0,0,0
Linked to ProjectID,0604800F,F-35 - EMD,5,System Development & Demonstration,3600F,,2009,Total,0,0,0,0,0,1743569
Linked to ProjectID,0604800F,F-35 - EMD,5,System Development & Demonstration,3600F,,2010,Total,1858055,0,0,0,0,0
Linked to ProjectID,0604800F,F-35 - EMD,5,System Development & Demonstration,3600F,,2010,Total,0,0,0,0,0,2033521
Linked to ProjectID,0604800F,F-35 - EMD,5,System Development & Demonstration,3600F,,2010,Total,0,0,2072897,0,0,0
Linked to ProjectID,0604800F,F-35 - EMD,5,System Development & Demonstration,3600F,,2010,OCO,0,0,0,0,0,0
Linked to ProjectID,0604800F,F-35 - EMD,5,System Development & Demonstration,3600F,,2010,OCO.Sup,0,0,0,0,0,0
Linked to ProjectID,0604800F,F-35 - EMD,5,System Development & Demonstration,3600F,,2011,Total,0,0,0,0,0,931599
Linked to ProjectID,0604800F,F-35 - EMD,5,System Development & Demonstration,3600F,,2011,CR,0,0,0,0,906862,0
Linked to ProjectID,0604800F,F-35 - EMD,5,System Development & Demonstration,3600F,,2011,CR.OCO,0,0,0,0,0,0
Linked to ProjectID,0604800F,F-35 - EMD,5,System Development & Demonstration,3600F,,2011,OCO,0,0,0,0,0,0
Linked to ProjectID,0604800F,F-35 - EMD,5,System Development & Demonstration,3600F,,2011,Total,883773,0,0,0,0,0
Linked to ProjectID,0604800F,F-35 - EMD,5,System Development & Demonstration,3600F,,2012,OCO,0,0,0,0,0,0
Linked to ProjectID,0604800F,F-35 - EMD,5,System Development & Demonstration,3600F,,2012,Total,0,0,0,0,0,1366147
Linked to ProjectID,0604800F,F-35 - EMD,5,System Development & Demonstration,3600F,,2012,Total,0,0,1387926,0,0,0
Linked to ProjectID,0604800F,F-35 - EMD,5,System Development & Demonstration,3600F,,2012,Total,1387926,0,0,0,0,0
Linked to ProjectID,0604800F,F-35 - EMD,5,System Development & Demonstration,3600F,,2012,OCO,0,0,0,0,0,0
Linked to ProjectID,0604800F,F-35 - EMD,5,System Development & Demonstration,3600F,,2013,OCO,0,0,0,0,0,0
Linked to ProjectID,0604800F,F-35 - EMD,5,System Development & Demonstration,3600F,,2013,Total,0,0,0,0,0,1129879
Linked to ProjectID,0604800F,F-35 - EMD,5,System Development & Demonstration,3600F,,2013,Total,1210306,0,0,0,0,0
Linked to ProjectID,0604800F,F-35 - EMD,5,System Development & Demonstration,3600F,,2013,Total,0,0,1210306,0,0,0
Linked to ProjectID,0604800F,F-35 - EMD,5,System Development & Demonstration,3600F,,2013,OCO,0,0,0,0,0,0
Linked to ProjectID,0604800F,F-35 - EMD,5,System Development & Demonstration,3600F,,2014,Total,0,0,628454,0,0,0
Linked to ProjectID,0604800F,F-35 - EMD,5,System Development & Demonstration,3600F,,2014,OCO,0,0,0,0,0,0
Linked to ProjectID,0604800F,F-35 - EMD,5,System Development & Demonstration,3600F,,2014,OCO,0,0,0,0,0,0
Linked to ProjectID,0604800F,F-35 - EMD,5,System Development & Demonstration,3600F,,2014,Total,816335,0,0,0,0,0
Linked to ProjectID,0604800F,F-35 - EMD,5,System Development & Demonstration,3600F,,2014,Total,0,0,0,0,0,616560
Linked to ProjectID,0604800F,F-35 - EMD,5,System Development & Demonstration,3600F,,2015,OCO,0,0,0,0,0,0
Linked to ProjectID,0604800F,F-35 - EMD,5,System Development & Demonstration,3600F,,2015,OCO,0,0,0,0,0,0
Linked to ProjectID,0604800F,F-35 - EMD,5,System Development & Demonstration,3600F,,2015,Total,563037,0,0,0,0,0
Linked to ProjectID,0604800F,F-35 - EMD,5,System Development & Demonstration,3600F,,2015,Total,0,0,567889,0,0,0
Linked to ProjectID,0604800F,F-35 - EMD,5,System Development & Demonstration,3600F,U,2015,Total,0,0,0,0,0,566937
Linked to ProjectID,0604800F,F-35 - EMD,5,System Development & Demonstration,3600F,U,2016,Total,0,0,586953,0,0,0
Linked to ProjectID,0604800F,F-35 - EMD,5,System Development & Demonstration,3600F,U,2016,OCO,0,0,0,0,0,0
Linked to ProjectID,0604800F,F-35 - EMD,5,System Development & Demonstration,3600F,U,2016,Base,0,0,0,586953,0,0
Linked to ProjectID,0604800F,F-35 - EMD,5,System Development & Demonstration,3600F,,2016,Total,589441,0,0,0,0,0
Linked to ProjectID,0604800F,F-35 - EMD,5,System Development & Demonstration,3600F,,2016,OCO,0,0,0,0,0,0
Linked to ProjectID,0604800F,F-35 - EMD,5,System Development & Demonstration,3600F,U,2017,OCO,0,0,0,0,0,0
Linked to ProjectID,0604800F,F-35 - EMD,5,System Development & Demonstration,3600F,U,2017,Base,0,450467,0,0,0,0
Linked to ProjectID,0604800F,F-35 - EMD,5,System Development & Demonstration,3600F,U,2017,Total,450467,0,0,0,0,0
Linked to ProjectID,0604800M,Joint Strike Fighter (JSF) - EMD,5,System Development & Demonstration,1319N,,2009,Total,0,0,0,0,0,0
Linked to ProjectID,0604800M,Joint Strike Fighter (JSF) - EMD,5,System Development & Demonstration,1319N,,2010,OCO.Sup,0,0,0,0,0,0
Linked to ProjectID,0604800M,Joint Strike Fighter (JSF) - EMD,5,System Development & Demonstration,1319N,,2010,Total,0,0,0,0,0,0
Linked to ProjectID,0604800M,Joint Strike Fighter (JSF) - EMD,5,System Development & Demonstration,1319N,,2010,Total,0,0,0,0,0,0
Linked to ProjectID,0604800M,Joint Strike Fighter (JSF) - EMD,5,System Development & Demonstration,1319N,,2011,OCO,0,0,0,0,0,0
Linked to ProjectID,0604800M,Joint Strike Fighter (JSF) - EMD,5,System Development & Demonstration,1319N,,2011,CR,0,0,0,0,751530,0
Linked to ProjectID,0604800M,Joint Strike Fighter (JSF) - EMD,5,System Development & Demonstration,1319N,,2011,Total,667916,0,0,0,0,0
Linked to ProjectID,0604800M,Joint Strike Fighter (JSF) - EMD,5,System Development & Demonstration,1319N,,2011,Total,0,0,0,0,0,602142
Linked to ProjectID,0604800M,Joint Strike Fighter (JSF) - EMD,5,System Development & Demonstration,1319N,,2011,CR.OCO,0,0,0,0,0,0
Linked to ProjectID,0604800M,Joint Strike Fighter (JSF) - EMD,5,System Development & Demonstration,1319N,,2012,OCO,0,0,0,0,0,0
Linked to ProjectID,0604800M,Joint Strike Fighter (JSF) - EMD,5,System Development & Demonstration,1319N,,2012,Total,670723,0,0,0,0,0
Linked to ProjectID,0604800M,Joint Strike Fighter (JSF) - EMD,5,System Development & Demonstration,1319N,,2012,Total,0,0,651786,0,0,0
Linked to ProjectID,0604800M,Joint Strike Fighter (JSF) - EMD,5,System Development & Demonstration,1319N,,2012,Total,0,0,0,0,0,617695
Linked to ProjectID,0604800M,Joint Strike Fighter (JSF) - EMD,5,System Development & Demonstration,1319N,,2012,OCO,0,0,0,0,0,0
Linked to ProjectID,0604800M,Joint Strike Fighter (JSF) - EMD,5,System Development & Demonstration,1319N,,2013,Total,0,0,0,0,0,639059
Linked to ProjectID,0604800M,Joint Strike Fighter (JSF) - EMD,5,System Development & Demonstration,1319N,,2013,OCO,0,0,0,0,0,0
Linked to ProjectID,0604800M,Joint Strike Fighter (JSF) - EMD,5,System Development & Demonstration,1319N,,2013,Total,0,0,737149,0,0,0
Linked to ProjectID,0604800M,Joint Strike Fighter (JSF) - EMD,5,System Development & Demonstration,1319N,,2013,Total,737149,0,0,0,0,0
Linked to ProjectID,0604800M,Joint Strike Fighter (JSF) - EMD,5,System Development & Demonstration,1319N,,2013,OCO,0,0,0,0,0,0
Linked to ProjectID,0604800M,Joint Strike Fighter (JSF) - EMD,5,System Development & Demonstration,1319N,,2014,Total,512631,0,0,0,0,0
Linked to ProjectID,0604800M,Joint Strike Fighter (JSF) - EMD,5,System Development & Demonstration,1319N,,2014,OCO,0,0,0,0,0,0
Linked to ProjectID,0604800M,Joint Strike Fighter (JSF) - EMD,5,System Development & Demonstration,1319N,,2014,Total,0,0,415727,0,0,0
Linked to ProjectID,0604800M,Joint Strike Fighter (JSF) - EMD,5,System Development & Demonstration,1319N,,2014,Total,0,0,0,0,0,410080
Linked to ProjectID,0604800M,Joint Strike Fighter (JSF) - EMD,5,System Development & Demonstration,1319N,,2014,OCO,0,0,0,0,0,0
Linked to ProjectID,0604800M,Joint Strike Fighter (JSF) - EMD,5,System Development & Demonstration,1319N,U,2015,Total,0,0,0,0,0,487940
Linked to ProjectID,0604800M,Joint Strike Fighter (JSF) - EMD,5,System Development & Demonstration,1319N,,2015,Total,0,0,499048,0,0,0
Linked to ProjectID,0604800M,Joint Strike Fighter (JSF) - EMD,5,System Development & Demonstration,1319N,,2015,Total,513021,0,0,0,0,0
Linked to ProjectID,0604800M,Joint Strike Fighter (JSF) - EMD,5,System Development & Demonstration,1319N,,2015,OCO,0,0,0,0,0,0
Linked to ProjectID,0604800M,Joint Strike Fighter (JSF) - EMD,5,System Development & Demonstration,1319N,,2015,OCO,0,0,0,0,0,0
Linked to ProjectID,0604800M,Joint Strike Fighter (JSF) - EMD,5,System Development & Demonstration,1319N,,2016,OCO,0,0,0,0,0,0
Linked to ProjectID,0604800M,Joint Strike Fighter (JSF) - EMD,5,System Development & Demonstration,1319N,,2016,Total,537901,0,0,0,0,0
Linked to ProjectID,0604800M,Joint Strike Fighter (JSF) - EMD,5,System Development & Demonstration,1319N,U,2016,Total,0,0,537901,0,0,0
Linked to ProjectID,0604800M,Joint Strike Fighter (JSF) - EMD,5,System Development & Demonstration,1319N,U,2016,Base,0,0,0,537901,0,0
Linked to ProjectID,0604800M,Joint Strike Fighter (JSF) - EMD,5,System Development & Demonstration,1319N,U,2016,OCO,0,0,0,0,0,0
Linked to ProjectID,0604800M,Joint Strike Fighter (JSF) - EMD,5,System Development & Demonstration,1319N,U,2017,OCO,0,0,0,0,0,0
Linked to ProjectID,0604800M,Joint Strike Fighter (JSF) - EMD,5,System Development & Demonstration,1319N,U,2017,Total,531426,0,0,0,0,0
Linked to ProjectID,0604800M,Joint Strike Fighter (JSF) - EMD,5,System Development & Demonstration,1319N,U,2017,Base,0,531426,0,0,0,0
Linked to ProjectID,0604800N,Joint Strike Fighter (JSF) - EMD,5,System Development & Demonstration,1319N,,1999,Total,0,0,0,0,0,0
Linked to ProjectID,0604800N,Joint Strike Fighter (JSF) - EMD,5,System Development & Demonstration,1319N,,2000,Total,0,0,0,0,0,0
Linked to ProjectID,0604800N,Joint Strike Fighter (JSF) - EMD,5,System Development & Demonstration,1319N,,2000,Total,0,0,0,0,0,0
Linked to ProjectID,0604800N,Joint Strike Fighter (JSF) - EMD,5,System Development & Demonstration,1319N,,2001,Total,0,0,100344,0,0,0
