TableName,ProgramElement,ProgramElementTitle,BudgetActivity,BudgetActivityTitle,AccountDSI,Classified,FiscalYear,OriginType,PBtotal,PBtype,EnactedTotal,EnactedType,SpecialType,ActualTotal
Linked to ProjectID,0207142F,F-35 Squadrons,7,Operational Systems Development,3600F,,2009,Total,0,0,0,0,0,0
Linked to ProjectID,0207142F,F-35 Squadrons,7,Operational Systems Development,3600F,,2010,OCO.Sup,0,0,0,0,0,0
Linked to ProjectID,0207142F,F-35 Squadrons,7,Operational Systems Development,3600F,,2010,Total,0,0,0,0,0,0
Linked to ProjectID,0207142F,F-35 Squadrons,7,Operational Systems Development,3600F,,2010,Total,0,0,0,0,0,0
Linked to ProjectID,0207142F,F-35 Squadrons,7,Operational Systems Development,3600F,,2011,Total,0,0,0,0,0,0
Linked to ProjectID,0207142F,F-35 Squadrons,7,Operational Systems Development,3600F,,2011,CR,0,0,0,0,223245,0
Linked to ProjectID,0207142F,F-35 Squadrons,7,Operational Systems Development,3600F,,2011,CR.OCO,0,0,0,0,0,0
Linked to ProjectID,0207142F,F-35 Squadrons,7,Operational Systems Development,3600F,,2011,Total,217561,0,0,0,0,0
Linked to ProjectID,0207142F,F-35 Squadrons,7,Operational Systems Development,3600F,,2011,OCO,0,0,0,0,0,0
Linked to ProjectID,0207142F,F-35 Squadrons,7,Operational Systems Development,3600F,,2012,Total,47841,0,0,0,0,0
Linked to ProjectID,0207142F,F-35 Squadrons,7,Operational Systems Development,3600F,,2012,OCO,0,0,0,0,0,0
Linked to ProjectID,0207142F,F-35 Squadrons,7,Operational Systems Development,3600F,,2012,Total,0,0,0,0,0,9682
Linked to ProjectID,0207142F,F-35 Squadrons,7,Operational Systems Development,3600F,,2012,Total,0,0,9967,0,0,0
Linked to ProjectID,0207142F,F-35 Squadrons,7,Operational Systems Development,3600F,,2012,OCO,0,0,0,0,0,0
Linked to ProjectID,0207142F,F-35 Squadrons,7,Operational Systems Development,3600F,,2013,Total,8117,0,0,0,0,0
Linked to ProjectID,0207142F,F-35 Squadrons,7,Operational Systems Development,3600F,,2013,OCO,0,0,0,0,0,0
Linked to ProjectID,0207142F,F-35 Squadrons,7,Operational Systems Development,3600F,,2013,Total,0,0,0,0,0,0
Linked to ProjectID,0207142F,F-35 Squadrons,7,Operational Systems Development,3600F,,2013,Total,0,0,8117,0,0,0
Linked to ProjectID,0207142F,F-35 Squadrons,7,Operational Systems Development,3600F,,2013,OCO,0,0,0,0,0,0
Linked to ProjectID,0207142F,F-35 Squadrons,7,Operational Systems Development,3600F,,2014,Total,0,0,0,0,0,3000
Linked to ProjectID,0207142F,F-35 Squadrons,7,Operational Systems Development,3600F,,2014,Total,0,0,3000,0,0,0
Linked to ProjectID,0207142F,F-35 Squadrons,7,Operational Systems Development,3600F,,2014,Total,33000,0,0,0,0,0
Linked to ProjectID,0207142F,F-35 Squadrons,7,Operational Systems Development,3600F,,2014,OCO,0,0,0,0,0,0
Linked to ProjectID,0207142F,F-35 Squadrons,7,Operational Systems Development,3600F,,2014,OCO,0,0,0,0,0,0
Linked to ProjectID,0207142F,F-35 Squadrons,7,Operational Systems Development,3600F,,2015,Total,43666,0,0,0,0,0
Linked to ProjectID,0207142F,F-35 Squadrons,7,Operational Systems Development,3600F,,2015,OCO,0,0,0,0,0,0
Linked to ProjectID,0207142F,F-35 Squadrons,7,Operational Systems Development,3600F,U,2015,Total,0,0,0,0,0,39275
Linked to ProjectID,0207142F,F-35 Squadrons,7,Operational Systems Development,3600F,,2015,OCO,0,0,0,0,0,0
Linked to ProjectID,0207142F,F-35 Squadrons,7,Operational Systems Development,3600F,,2015,Total,0,0,40092,0,0,0
Linked to ProjectID,0207142F,F-35 Squadrons,7,Operational Systems Development,3600F,,2016,Total,115395,0,0,0,0,0
Linked to ProjectID,0207142F,F-35 Squadrons,7,Operational Systems Development,3600F,,2016,OCO,0,0,0,0,0,0
Linked to ProjectID,0207142F,F-35 Squadrons,7,Operational Systems Development,3600F,U,2016,Base,0,0,0,53921,0,0
Linked to ProjectID,0207142F,F-35 Squadrons,7,Operational Systems Development,3600F,U,2016,OCO,0,0,0,0,0,0
Linked to ProjectID,0207142F,F-35 Squadrons,7,Operational Systems Development,3600F,U,2016,Total,0,0,53921,0,0,0
Linked to ProjectID,0207142F,F-35 Squadrons,7,Operational Systems Development,3600F,U,2017,Total,153045,0,0,0,0,0
Linked to ProjectID,0207142F,F-35 Squadrons,7,Operational Systems Development,3600F,U,2017,Base,0,153045,0,0,0,0
Linked to ProjectID,0207142F,F-35 Squadrons,7,Operational Systems Development,3600F,U,2017,OCO,0,0,0,0,0,0
Linked to ProjectID,0603800F,Joint Strike Fighter,4,Advanced Component Development & Prototypes,3600F,,1999,Total,0,0,0,0,0,453600
Linked to ProjectID,0603800F,Joint Strike Fighter,4,Advanced Component Development & Prototypes,3600F,,2000,Total,0,0,249088,0,0,0
Linked to ProjectID,0603800F,Joint Strike Fighter,4,Advanced Component Development & Prototypes,3600F,,2000,Total,0,0,0,0,0,249088
Linked to ProjectID,0603800F,Joint Strike Fighter,4,Advanced Component Development & Prototypes,3600F,,2001,Total,0,0,240821,0,0,0
Linked to ProjectID,0603800F,Joint Strike Fighter,4,Advanced Component Development & Prototypes,3600F,,2001,Total,0,0,0,0,0,341167
Linked to ProjectID,0603800F,Joint Strike Fighter,4,Advanced Component Development & Prototypes,3600F,,2001,Total,129538,0,0,0,0,0
Linked to ProjectID,0603800F,Joint Strike Fighter,4,Advanced Component Development & Prototypes,3600F,,2002,Total,0,0,0,0,0,0
Linked to ProjectID,0603800F,Joint Strike Fighter,4,Advanced Component Development & Prototypes,3600F,,2002,Total,0,0,0,0,0,0
Linked to ProjectID,0603800F,Joint Strike Fighter,4,Advanced Component Development & Prototypes,3600F,,2002,Total,0,0,0,0,0,0
Linked to ProjectID,0603800F,Joint Strike Fighter,4,Advanced Component Development & Prototypes,3600F,,2003,Total,0,0,0,0,0,0
Linked to ProjectID,0603800F,Joint Strike Fighter,4,Advanced Component Development & Prototypes,3600F,,2003,Total,0,0,0,0,0,0
Linked to ProjectID,0603800F,Joint Strike Fighter,4,Advanced Component Development & Prototypes,3600F,,2003,Total,0,0,0,0,0,0
Linked to ProjectID,0603800F,Joint Strike Fighter,4,Advanced Component Development & Prototypes,3600F,,2004,Total,0,0,0,0,0,0
Linked to ProjectID,0603800F,Joint Strike Fighter,4,Advanced Component Development & Prototypes,3600F,,2004,Total,0,0,0,0,0,0
Linked to ProjectID,0603800F,Joint Strike Fighter,4,Advanced Component Development & Prototypes,3600F,,2004,Total,0,0,0,0,0,0
Linked to ProjectID,0603800F,Joint Strike Fighter,4,Advanced Component Development & Prototypes,3600F,,2005,Total,0,0,0,0,0,0
Linked to ProjectID,0603800F,Joint Strike Fighter,4,Advanced Component Development & Prototypes,3600F,,2005,Total,0,0,0,0,0,0
