"Fiscal.Year","Pricing.Mechanism","ProductOrServiceArea","SubCustomer","Query_Run","Action.Obligation","SumOfnumberOfActions","SubCustomer.sum","SubCustomer.detail","SubCustomer.component","Subcustomer.Obsolete","ServicesCategory.detail","ServicesCategory.sum","ProductsCategory.detail","ProductOrServiceArea.DLA","Pricing.Mechanism.Code","Pricing.Mechanism.detail","Pricing.Mechanism.sum","Pricing.Mechanism.hypothesis","Pricing.Mechanism.Incentive","Pricing.Mechanism.Correlation","IsCostBased","IsFixedPrice","IsIncentive","Deflator.2013","Deflator.2012","Deflator.2011","Deflator.2005","Deflator.2014","Obligation.2013","Obligation.2014","LogOfAction.Obligation"
2012-09-30,"Cost Plus Award Fee","Aircraft","Air Force","08:22.5",319357455.3,109,"Air Force","Air Force","Air Force",FALSE,"Products","Products (All)","Aircraft","Aircraft","R","Cost (Other)","Cost+","Cost+","","Other",NA,"Combination 
or Unlabeled",NA,0.980234506,1,1.023166361,1.1704,0.9711,0.3257969938267,0.328861554216868,8.50427705908132
2012-09-30,"Fixed Price Level of Effort","Aircraft","Air Force","08:22.5",9663803,12,"Air Force","Air Force","Air Force",FALSE,"Products","Products (All)","Aircraft","Aircraft","B","Fixed Price (Other)","Fixed","Other","FALSE","Fixed",1,"Other",1,0.980234506,1,1.023166361,1.1704,0.9711,0.00985866437148255,0.0099513984141695,6.98514806812257
2012-09-30,"Combination (two or more)","Electronics & Communications","Air Force","08:22.5",1396085.53,10,"Air Force","Air Force","Air Force",FALSE,"Products","Products (All)","Electronics & Communications","Electronics & Comm.","2","Combination","Combination","Unlabeled","","Other",NA,"Combination 
or Unlabeled",NA,0.980234506,1,1.023166361,1.1704,0.9711,0.00142423626331718,0.00143763312738132,6.14491202578655
2012-09-30,"Cost No Fee","Electronics & Communications","Air Force","08:22.5",37558985.91,255,"Air Force","Air Force","Air Force",FALSE,"Products","Products (All)","Electronics & Communications","Electronics & Comm.","S","Cost (Other)","Cost+","Cost+","","Other",NA,"Combination 
or Unlabeled",NA,0.980234506,1,1.023166361,1.1704,0.9711,0.0383163270422557,0.0386767438059932,7.57471385783165
2012-09-30,"Cost Plus Award Fee","Electronics & Communications","Air Force","08:22.5",22204780.12,29,"Air Force","Air Force","Air Force",FALSE,"Products","Products (All)","Electronics & Communications","Electronics & Comm.","R","Cost (Other)","Cost+","Cost+","","Other",NA,"Combination 
or Unlabeled",NA,0.980234506,1,1.023166361,1.1704,0.9711,0.0226525183352401,0.0228655958397693,7.34644647698533
2012-09-30,"Labor Hours","Aircraft","Air Force","08:22.5",7798377.84,8,"Air Force","Air Force","Air Force",FALSE,"Products","Products (All)","Aircraft","Aircraft","Z","Time/Mat.","Time/Mat.","Other","FALSE","Other",1,"Other",1,0.980234506,1,1.023166361,1.1704,0.9711,0.00795562469211832,0.00803045807846772,6.89200427340797
2012-09-30,"Time and Materials","Aircraft","Air Force","08:22.5",42508300.9,205,"Air Force","Air Force","Air Force",FALSE,"Products","Products (All)","Aircraft","Aircraft","Y","Time/Mat.","Time/Mat.","Other","FALSE","Other",1,"Other",1,0.980234506,1,1.023166361,1.1704,0.9711,0.04336544024905,0.0437733507362784,7.62847374612211
2012-09-30,"Cost Plus Fixed Fee","Electronics & Communications","Air Force","08:22.5",295286780.9,254,"Air Force","Air Force","Air Force",FALSE,"Products","Products (All)","Electronics & Communications","Electronics & Comm.","U","Cost (Other)","Cost+","Cost+","","Other",NA,"Combination 
or Unlabeled",NA,0.980234506,1,1.023166361,1.1704,0.9711,0.301240957232738,0.304074534960354,8.47024400534406
2012-09-30,"Cost Plus Fixed Fee","ERS","Air Force","08:22.5",960971157.5,338,"Air Force","Air Force","Air Force",FALSE,"ERS","Services (Non-R&D)","Services (Non-R&D)","Other Services","U","Cost (Other)","Cost+","Cost+","","Other",NA,"Combination 
or Unlabeled",NA,0.980234506,1,1.023166361,1.1704,0.9711,0.980348224448242,0.989569722479662,8.98271035298949
2012-09-30,"Firm Fixed Price","ERS","Air Force","08:22.5",5450967034,11880,"Air Force","Air Force","Air Force",FALSE,"ERS","Services (Non-R&D)","Services (Non-R&D)","Other Services","J","Fixed Price (Firm)","Fixed","Fixed","FALSE","Fixed",NA,"Combination 
or Unlabeled",NA,0.980234506,1,1.023166361,1.1704,0.9711,5.56088058585442,5.61318817217588,9.73647355553803
