"Fiscal.Year","Pricing.Mechanism","ProductOrServiceArea","SubCustomer","Query_Run","Action.Obligation","SumOfnumberOfActions","SubCustomer.sum","SubCustomer.detail","SubCustomer.component","Subcustomer.Obsolete","ServicesCategory.detail","ServicesCategory.sum","ProductsCategory.detail","ProductOrServiceArea.DLA","Pricing.Mechanism.Code","Pricing.Mechanism.detail","Pricing.Mechanism.sum","Pricing.Mechanism.hypothesis","Pricing.Mechanism.Incentive","Pricing.Mechanism.Correlation","IsCostBased","IsFixedPrice","IsIncentive","Deflator.2013","Deflator.2012","Deflator.2011","Deflator.2005","Deflator.2014","Obligation.2013","Obligation.2014","LogOfAction.Obligation"
2000-09-30,"Fixed Price with Economic Price Adjustment","Aircraft","Navy","08:22.5",4513012,8,"Navy","Navy","Navy",FALSE,"Products","Products (All)","Aircraft","Aircraft","K","Fixed Price (Other)","Fixed","Fixed","FALSE","Fixed",1,"Other",1,0.734505863,0.749316473,0.766675409,0.877,0.7364,0.00614428315325783,0.00612847908745247,6.65446648830119
2000-09-30,"Cost Plus Fixed Fee","Electronics & Communications","Navy","08:22.5",179922436,259,"Navy","Navy","Navy",FALSE,"Products","Products (All)","Electronics & Communications","Electronics & Comm.","U","Cost (Other)","Cost+","Cost+","","Other",NA,"Combination 
or Unlabeled",NA,0.734505863,0.749316473,0.766675409,0.877,0.7364,0.244957113432871,0.244327045084193,8.25508532245312
2000-09-30,"Fixed Price with Economic Price Adjustment","Electronics & Communications","Navy","08:22.5",13473574,57,"Navy","Navy","Navy",FALSE,"Products","Products (All)","Electronics & Communications","Electronics & Comm.","K","Fixed Price (Other)","Fixed","Fixed","FALSE","Fixed",1,"Other",1,0.734505863,0.749316473,0.766675409,0.877,0.7364,0.0183437255966465,0.0182965426398696,7.12948281195135
2000-09-30,"Fixed Price Incentive","Engines & Power Plants","Navy","08:22.5",4512471,3,"Navy","Navy","Navy",FALSE,"Products","Products (All)","Engines & Power Plants","Engines & Power Pl.","L","Fixed Price (Other)","Fixed","Fixed","TRUE","Fixed",1,"Other",1,0.734505863,0.749316473,0.766675409,0.877,0.7364,0.00614354660365727,0.00612774443237371,6.65441442387096
2000-09-30,"Not Reported","Engines & Power Plants","Navy","08:22.5",14109643,79,"Navy","Navy","Navy",FALSE,"Products","Products (All)","Engines & Power Plants","Engines & Power Pl.","NO","Unlabeled","Unlabeled","Unlabeled","Unlabeled","Unlabeled",1,"Other",1,0.734505863,0.749316473,0.766675409,0.877,0.7364,0.0192097077923529,0.0191602973927213,7.1495160254417
2000-09-30,"Cost Plus Award Fee","ERS","Navy","08:22.5",675241511,1989,"Navy","Navy","Navy",FALSE,"ERS","Services (Non-R&D)","Services (Non-R&D)","Other Services","R","Cost (Other)","Cost+","Cost+","","Other",NA,"Combination 
or Unlabeled",NA,0.734505863,0.749316473,0.766675409,0.877,0.7364,0.919313983746921,0.916949363117871,8.82945913303123
2000-09-30,"Labor Hours","ERS","Navy","08:22.5",3382214,10,"Navy","Navy","Navy",FALSE,"ERS","Services (Non-R&D)","Services (Non-R&D)","Other Services","Z","Time/Mat.","Time/Mat.","Other","FALSE","Other",1,"Other",1,0.734505863,0.749316473,0.766675409,0.877,0.7364,0.00460474745046385,0.00459290331341662,6.52920108288291
2000-09-30,"Fixed Price with Economic Price Adjustment","Clothing & Subsistence","Navy","08:22.5",286846,6,"Navy","Navy","Navy",FALSE,"Products","Products (All)","Clothing & Subsistence","Clothing & Sub.","K","Fixed Price (Other)","Fixed","Fixed","FALSE","Fixed",1,"Other",1,0.734505863,0.749316473,0.766675409,0.877,0.7364,0.000390529217599996,0.000389524714828897,5.45764879812629
2000-09-30,"Labor Hours","Clothing & Subsistence","Navy","08:22.5",51563,1,"Navy","Navy","Navy",FALSE,"Products","Products (All)","Clothing & Subsistence","Clothing & Sub.","Z","Time/Mat.","Time/Mat.","Other","FALSE","Other",1,"Other",1,0.734505863,0.749316473,0.766675409,0.877,0.7364,7.02009372524233e-05,7.00203693644758e-05,4.71233817721401
2000-09-30,"Fixed Price Incentive","Electronics & Communications","Navy","08:22.5",43702209,11,"Navy","Navy","Navy",FALSE,"Products","Products (All)","Electronics & Communications","Electronics & Comm.","L","Fixed Price (Other)","Fixed","Fixed","TRUE","Fixed",1,"Other",1,0.734505863,0.749316473,0.766675409,0.877,0.7364,0.0594987885072879,0.0593457482346551,7.64050338965381
