"Fiscal.Year","Pricing.Mechanism","ProductOrServiceArea","SubCustomer","Query_Run","Action.Obligation","SumOfnumberOfActions","SubCustomer.sum","SubCustomer.detail","SubCustomer.component","Subcustomer.Obsolete","ServicesCategory.detail","ServicesCategory.sum","ProductsCategory.detail","ProductOrServiceArea.DLA","Pricing.Mechanism.Code","Pricing.Mechanism.detail","Pricing.Mechanism.sum","Pricing.Mechanism.hypothesis","Pricing.Mechanism.Incentive","Pricing.Mechanism.Correlation","IsCostBased","IsFixedPrice","IsIncentive","Deflator.2013","Deflator.2012","Deflator.2011","Deflator.2005","Deflator.2014","Obligation.2013","Obligation.2014","LogOfAction.Obligation"
2000-09-30,"Fixed Price Redetermination","Aircraft","DLA","08:22.5",5101108,22,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Aircraft","Aircraft","A","Fixed Price (Other)","Fixed","Fixed","FALSE","Fixed",1,"Other",1,0.734505863,0.749316473,0.766675409,0.877,0.7364,0.00694495205139023,0.00692708853883759,6.70766451845523
2000-09-30,"Firm Fixed Price","Engines & Power Plants","DLA","08:22.5",545784988,4129,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Engines & Power Plants","Engines & Power Pl.","J","Fixed Price (Firm)","Fixed","Fixed","FALSE","Fixed",NA,"Combination 
or Unlabeled",NA,0.734505863,0.749316473,0.766675409,0.877,0.7364,0.743064168025572,0.74115288973384,8.73702158608209
2000-09-30,"Firm Fixed Price","ERS","DLA","08:22.5",8663061,95,"Other DoD","DLA","DLA",FALSE,"ERS","Services (Non-R&D)","Services (Non-R&D)","Other Services","J","Fixed Price (Firm)","Fixed","Fixed","FALSE","Fixed",NA,"Combination 
or Unlabeled",NA,0.734505863,0.749316473,0.766675409,0.877,0.7364,0.0117944068745984,0.0117640697990223,6.93767137244704
2000-09-30,"Not Reported","FRS&C","DLA","08:22.5",164645,3,"Other DoD","DLA","DLA",FALSE,"FRS&C","Services (Non-R&D)","Services (Non-R&D)","FRS&C","NO","Unlabeled","Unlabeled","Unlabeled","Unlabeled","Unlabeled",1,"Other",1,0.734505863,0.749316473,0.766675409,0.877,0.7364,0.000224157502742766,0.000223580934274851,5.2165485464334
2000-09-30,"Firm Fixed Price","ICT","DLA","08:22.5",58540676,211,"Other DoD","DLA","DLA",FALSE,"ICT","Services (Non-R&D)","Services (Non-R&D)","ICT","J","Fixed Price (Firm)","Fixed","Fixed","FALSE","Fixed",NA,"Combination 
or Unlabeled",NA,0.734505863,0.749316473,0.766675409,0.877,0.7364,0.0797007606731656,0.0794957577403585,7.76745773315371
2000-09-30,"Fixed Price with Economic Price Adjustment","Launchers & Munitions","DLA","08:22.5",4509565,32,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Launchers & Munitions","Other Platform/Weap.","K","Fixed Price (Other)","Fixed","Fixed","FALSE","Fixed",1,"Other",1,0.734505863,0.749316473,0.766675409,0.877,0.7364,0.00613959020229087,0.00612379820749593,6.65413465114381
2000-09-30,"Firm Fixed Price","Clothing & Subsistence","DLA","08:22.5",2085541869,18335,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Clothing & Subsistence","Clothing & Sub.","J","Fixed Price (Firm)","Fixed","Fixed","FALSE","Fixed",NA,"Combination 
or Unlabeled",NA,0.734505863,0.749316473,0.766675409,0.877,0.7364,2.83938083282529,2.83207749728408,9.31921891309489
2000-09-30,"Fixed Price with Economic Price Adjustment","Electronics & Communications","DLA","08:22.5",54089572,162,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Electronics & Communications","Electronics & Comm.","K","Fixed Price (Other)","Fixed","Fixed","FALSE","Fixed",1,"Other",1,0.734505863,0.749316473,0.766675409,0.877,0.7364,0.0736407627558992,0.0734513470939707,7.73311354497001
2000-09-30,"Firm Fixed Price","Ground Vehicles","DLA","08:22.5",130099047,1384,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Ground Vehicles","Ground Vehicles","J","Fixed Price (Firm)","Fixed","Fixed","FALSE","Fixed",NA,"Combination 
or Unlabeled",NA,0.734505863,0.749316473,0.766675409,0.877,0.7364,0.177124586138259,0.176668993753395,8.11427411528444
2000-09-30,"Time and Materials","ICT","DLA","08:22.5",18043112,23,"Other DoD","DLA","DLA",FALSE,"ICT","Services (Non-R&D)","Services (Non-R&D)","ICT","Y","Time/Mat.","Time/Mat.","Other","FALSE","Other",1,"Other",1,0.734505863,0.749316473,0.766675409,0.877,0.7364,0.0245649666107567,0.0245017816404128,7.25631144495029
2000-09-30,"Firm Fixed Price","Launchers & Munitions","DLA","08:22.5",26083341,267,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Launchers & Munitions","Other Platform/Weap.","J","Fixed Price (Firm)","Fixed","Fixed","FALSE","Fixed",NA,"Combination 
or Unlabeled",NA,0.734505863,0.749316473,0.766675409,0.877,0.7364,0.0355114129293206,0.0354200719717545,7.41636321915086
2000-09-30,"Fixed Price Redetermination","Launchers & Munitions","DLA","08:22.5",449018,7,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Launchers & Munitions","Other Platform/Weap.","A","Fixed Price (Other)","Fixed","Fixed","FALSE","Fixed",1,"Other",1,0.734505863,0.749316473,0.766675409,0.877,0.7364,0.000611319830948715,0.0006097474198805,5.65226375112355
2000-09-30,"Fixed Price Redetermination","Electronics & Communications","DLA","08:22.5",688468,9,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Electronics & Communications","Electronics & Comm.","A","Fixed Price (Other)","Fixed","Fixed","FALSE","Fixed",1,"Other",1,0.734505863,0.749316473,0.766675409,0.877,0.7364,0.000937321313117959,0.000934910374796306,5.83788375904989
2000-09-30,"Time and Materials","Electronics & Communications","DLA","08:22.5",166661,2,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Electronics & Communications","Electronics & Comm.","Y","Time/Mat.","Time/Mat.","Other","FALSE","Other",1,"Other",1,0.734505863,0.749316473,0.766675409,0.877,0.7364,0.000226902205135972,0.000226318576860402,5.22183398335294
2000-09-30,"Fixed Price with Economic Price Adjustment","Engines & Power Plants","DLA","08:22.5",24076552,176,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Engines & Power Plants","Engines & Power Pl.","K","Fixed Price (Other)","Fixed","Fixed","FALSE","Fixed",1,"Other",1,0.734505863,0.749316473,0.766675409,0.877,0.7364,0.0327792509397573,0.0326949375339489,7.38159429178043
2000-09-30,"Cost No Fee","ERS","DLA","08:22.5",6089720,1,"Other DoD","DLA","DLA",FALSE,"ERS","Services (Non-R&D)","Services (Non-R&D)","Other Services","S","Cost (Other)","Cost+","Cost+","","Other",NA,"Combination 
or Unlabeled",NA,0.734505863,0.749316473,0.766675409,0.877,0.7364,0.00829090727081099,0.00826958174904943,6.78459732461145
2000-09-30,"Labor Hours","ICT","DLA","08:22.5",98900,1,"Other DoD","DLA","DLA",FALSE,"ICT","Services (Non-R&D)","Services (Non-R&D)","ICT","Z","Time/Mat.","Time/Mat.","Other","FALSE","Other",1,"Other",1,0.734505863,0.749316473,0.766675409,0.877,0.7364,0.000134648346571469,0.000134302009777295,4.99519629159718
2000-09-30,"Firm Fixed Price","PAMS","DLA","08:22.5",31405672,179,"Other DoD","DLA","DLA",FALSE,"PAMS","Services (Non-R&D)","Services","PAMS","J","Fixed Price (Firm)","Fixed","Fixed","FALSE","Fixed",NA,"Combination 
or Unlabeled",NA,0.734505863,0.749316473,0.766675409,0.877,0.7364,0.042757551140201,0.0426475719717545,7.49700809061605
2000-09-30,"Cost Plus Fixed Fee","R&D","DLA","08:22.5",80567046,252,"Other DoD","DLA","DLA",FALSE,"R&D","R&D","R&D","Other Services","U","Cost (Other)","Cost+","Cost+","","Other",NA,"Combination 
or Unlabeled",NA,0.734505863,0.749316473,0.766675409,0.877,0.7364,0.109688771810389,0.109406634980989,7.90615744047887
2000-09-30,"Firm Fixed Price","Aircraft","DLA","08:22.5",471680913,4560,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Aircraft","Aircraft","J","Fixed Price (Firm)","Fixed","Fixed","FALSE","Fixed",NA,"Combination 
or Unlabeled",NA,0.734505863,0.749316473,0.766675409,0.877,0.7364,0.642174469613458,0.640522695545899,8.67364830247743
2000-09-30,"Firm Fixed Price","Fuels","DLA","08:22.5",71893095,156,"Other DoD","DLA","DLA",FALSE,"Fuels","Products (All)","Fuels","Fuels","J","Fixed Price (Firm)","Fixed","Fixed","FALSE","Fixed",NA,"Combination 
or Unlabeled",NA,0.734505863,0.749316473,0.766675409,0.877,0.7364,0.0978795386416133,0.0976277770233569,7.85668718040509
2000-09-30,"Firm Fixed Price","MED","DLA","08:22.5",1515739,6,"Other DoD","DLA","DLA",FALSE,"MED","Services (Non-R&D)","Services (Non-R&D)","Other Services","J","Fixed Price (Firm)","Fixed","Fixed","FALSE","Fixed",NA,"Combination 
or Unlabeled",NA,0.734505863,0.749316473,0.766675409,0.877,0.7364,0.00206361729205149,0.00205830934274851,6.18062442516256
2000-09-30,"Cost Plus Fixed Fee","Other","DLA","08:22.5",25500,1,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products","U","Cost (Other)","Cost+","Cost+","","Other",NA,"Combination 
or Unlabeled",NA,0.734505863,0.749316473,0.766675409,0.877,0.7364,3.47172177712079e-05,3.46279196089082e-05,4.40654018043396
2000-09-30,"Fixed Price Redetermination","Other","DLA","08:22.5",7381109,136,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products","A","Fixed Price (Other)","Fixed","Fixed","FALSE","Fixed",1,"Other",1,0.734505863,0.749316473,0.766675409,0.877,0.7364,0.0100490811194519,0.0100232332971211,6.86812161878732
2000-09-30,"Time and Materials","PAMS","DLA","08:22.5",8093790,31,"Other DoD","DLA","DLA",FALSE,"PAMS","Services (Non-R&D)","Services","PAMS","Y","Time/Mat.","Time/Mat.","Other","FALSE","Other",1,"Other",1,0.734505863,0.749316473,0.766675409,0.877,0.7364,0.0110193674519382,0.0109910239000543,6.90815193207626
2000-09-30,"Fixed Price with Economic Price Adjustment","Clothing & Subsistence","DLA","08:22.5",222582354,117,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Clothing & Subsistence","Clothing & Sub.","K","Fixed Price (Other)","Fixed","Fixed","FALSE","Fixed",1,"Other",1,0.734505863,0.749316473,0.766675409,0.877,0.7364,0.303036864935141,0.302257406300923,8.34749073113886
2000-09-30,"Not Reported","Clothing & Subsistence","DLA","08:22.5",51504614,132,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Clothing & Subsistence","Clothing & Sub.","NO","Unlabeled","Unlabeled","Unlabeled","Unlabeled","Unlabeled",1,"Other",1,0.734505863,0.749316473,0.766675409,0.877,0.7364,0.0701214470768629,0.0699410836501901,7.71184613671072
2000-09-30,"Fixed Price Redetermination","Ground Vehicles","DLA","08:22.5",671675,9,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Ground Vehicles","Ground Vehicles","A","Fixed Price (Other)","Fixed","Fixed","FALSE","Fixed",1,"Other",1,0.734505863,0.749316473,0.766675409,0.877,0.7364,0.000914458323391218,0.000912106192286801,5.82715918399305
2000-09-30,"Not Reported","MED","DLA","08:22.5",66480,1,"Other DoD","DLA","DLA",FALSE,"MED","Services (Non-R&D)","Services (Non-R&D)","Other Services","NO","Unlabeled","Unlabeled","Unlabeled","Unlabeled","Unlabeled",1,"Other",1,0.734505863,0.749316473,0.766675409,0.877,0.7364,9.05098289188197e-05,9.02770233568713e-05,4.82269101077605
2000-09-30,"Fixed Price with Economic Price Adjustment","Other","DLA","08:22.5",583742735,770,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products","K","Fixed Price (Other)","Fixed","Fixed","FALSE","Fixed",1,"Other",1,0.734505863,0.749316473,0.766675409,0.877,0.7364,0.794742104053157,0.792697901955459,8.76622148857366
2000-09-30,"Firm Fixed Price","Ships","DLA","08:22.5",21258893,195,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Ships","Other Platform/Weap.","J","Fixed Price (Firm)","Fixed","Fixed","FALSE","Fixed",NA,"Combination 
or Unlabeled",NA,0.734505863,0.749316473,0.766675409,0.877,0.7364,0.0289431222688552,0.0288686759913091,7.32754064605235
2000-09-30,"Fixed Price Incentive","Unlabeled","DLA","08:22.5",0,NA,"Other DoD","DLA","DLA",FALSE,"Unlabeled","Unlabeled","Unlabeled","Unlabeled","L","Fixed Price (Other)","Fixed","Fixed","TRUE","Fixed",1,"Other",1,0.734505863,0.749316473,0.766675409,0.877,0.7364,0,0,0
2000-09-30,"Not Reported","Aircraft","DLA","08:22.5",4113973,2,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Aircraft","Aircraft","NO","Unlabeled","Unlabeled","Unlabeled","Unlabeled","Unlabeled",1,"Other",1,0.734505863,0.749316473,0.766675409,0.877,0.7364,0.00560100770768116,0.0055866010320478,6.61426143709388
2000-09-30,"Not Reported","Electronics & Communications","DLA","08:22.5",98388772,516,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Electronics & Communications","Electronics & Comm.","NO","Unlabeled","Unlabeled","Unlabeled","Unlabeled","Unlabeled",1,"Other",1,0.734505863,0.749316473,0.766675409,0.877,0.7364,0.133952330343754,0.133607783813145,7.99294554013187
2000-09-30,"Cost Plus Fixed Fee","ICT","DLA","08:22.5",242518,1,"Other DoD","DLA","DLA",FALSE,"ICT","Services (Non-R&D)","Services (Non-R&D)","ICT","U","Cost (Other)","Cost+","Cost+","","Other",NA,"Combination 
or Unlabeled",NA,0.734505863,0.749316473,0.766675409,0.877,0.7364,0.000330178439977953,0.000329329168929929,5.38474397803338
2000-09-30,"Not Reported","PAMS","DLA","08:22.5",27540846,78,"Other DoD","DLA","DLA",FALSE,"PAMS","Services (Non-R&D)","Services","PAMS","NO","Unlabeled","Unlabeled","Unlabeled","Unlabeled","Unlabeled",1,"Other",1,0.734505863,0.749316473,0.766675409,0.877,0.7364,0.0374957469876588,0.0373993020097773,7.43997727678832
2000-09-30,"Cost No Fee","R&D","DLA","08:22.5",1876953,17,"Other DoD","DLA","DLA",FALSE,"R&D","R&D","R&D","Other Services","S","Cost (Other)","Cost+","Cost+","","Other",NA,"Combination 
or Unlabeled",NA,0.734505863,0.749316473,0.766675409,0.877,0.7364,0.00255539553126753,0.0025488226507333,6.27345339776988
2000-09-30,"Fixed Price with Economic Price Adjustment","Ships","DLA","08:22.5",1651196,14,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Ships","Other Platform/Weap.","K","Fixed Price (Other)","Fixed","Fixed","FALSE","Fixed",1,"Other",1,0.734505863,0.749316473,0.766675409,0.877,0.7364,0.00224803651431166,0.00224225420966866,6.21779862787588
2000-09-30,"Fixed Price with Economic Price Adjustment","Aircraft","DLA","08:22.5",5542154,65,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Aircraft","Aircraft","K","Fixed Price (Other)","Fixed","Fixed","FALSE","Fixed",1,"Other",1,0.734505863,0.749316473,0.766675409,0.877,0.7364,0.007545418327042,0.007526010320478,6.74367858936772
2000-09-30,"Firm Fixed Price","Electronics & Communications","DLA","08:22.5",317789177,3904,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Electronics & Communications","Electronics & Comm.","J","Fixed Price (Firm)","Fixed","Fixed","FALSE","Fixed",NA,"Combination 
or Unlabeled",NA,0.734505863,0.749316473,0.766675409,0.877,0.7364,0.432657100519292,0.431544238185769,8.50213910228226
2000-09-30,"Not Reported","Engines & Power Plants","DLA","08:22.5",203414,1,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Engines & Power Plants","Engines & Power Pl.","NO","Unlabeled","Unlabeled","Unlabeled","Unlabeled","Unlabeled",1,"Other",1,0.734505863,0.749316473,0.766675409,0.877,0.7364,0.000276939926890686,0.000276227593699077,5.30838084000024
2000-09-30,"Not Reported","ERS","DLA","08:22.5",32340534,239,"Other DoD","DLA","DLA",FALSE,"ERS","Services (Non-R&D)","Services (Non-R&D)","Other Services","NO","Unlabeled","Unlabeled","Unlabeled","Unlabeled","Unlabeled",1,"Other",1,0.734505863,0.749316473,0.766675409,0.877,0.7364,0.0440303279103982,0.0439170749592613,7.50974718660745
2000-09-30,"Firm Fixed Price","FRS&C","DLA","08:22.5",157836373.9,629,"Other DoD","DLA","DLA",FALSE,"FRS&C","Services (Non-R&D)","Services (Non-R&D)","FRS&C","J","Fixed Price (Firm)","Fixed","Fixed","FALSE","Fixed",NA,"Combination 
or Unlabeled",NA,0.734505863,0.749316473,0.766675409,0.877,0.7364,0.214887833917808,0.214335108500815,8.19820709496771
2000-09-30,"Fixed Price with Economic Price Adjustment","Fuels","DLA","08:22.5",3423035262,470,"Other DoD","DLA","DLA",FALSE,"Fuels","Products (All)","Fuels","Fuels","K","Fixed Price (Other)","Fixed","Fixed","FALSE","Fixed",1,"Other",1,0.734505863,0.749316473,0.766675409,0.877,0.7364,4.66032394625011,4.64833685768604,9.53441137299506
2000-09-30,"Fixed Price with Economic Price Adjustment","Ground Vehicles","DLA","08:22.5",32721695,278,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Ground Vehicles","Ground Vehicles","K","Fixed Price (Other)","Fixed","Fixed","FALSE","Fixed",1,"Other",1,0.734505863,0.749316473,0.766675409,0.877,0.7364,0.0445492631826684,0.044434675448126,7.51483579225114
2000-09-30,"Fixed Price with Economic Price Adjustment","Missiles & Space","DLA","08:22.5",150750,2,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Missiles & Space","Other Platform/Weap.","K","Fixed Price (Other)","Fixed","Fixed","FALSE","Fixed",1,"Other",1,0.734505863,0.749316473,0.766675409,0.877,0.7364,0.000205240022706259,0.000204712112982075,5.17825732081219
2000-09-30,"Not Reported","Other","DLA","08:22.5",28767017,183,"Other DoD","DLA","DLA",FALSE,"Products","Products (All)","Other","Other Products","NO","Unlabeled","Unlabeled","Unlabeled","Unlabeled","Unlabeled",1,"Other",1,0.734505863,0.749316473,0.766675409,0.877,0.7364,0.0391651291692957,0.0390643902770234,7.45889482999579
